rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.101,0.0499,0.299,0.003,0.143,0.47826086956521735,0.04,10827.0,0.5136
1000.0,0.1072896,0.0255,0.0506,0.0996,0.0503,0.302,0.003,0.141,0.466887417218543,0.04,10835.0,0.4984
1000.0,0.2145792,0.0511,0.0988,0.098,0.0507,0.304,0.003,0.139,0.4572368421052632,0.04,10844.0,0.4829
1000.0,0.3263392,0.0766,0.1447,0.0963,0.051,0.306,0.003,0.136,0.4444444444444445,0.04,10854.0,0.4672
1000.0,0.4336288,0.1022,0.1882,0.0944,0.0513,0.308,0.003,0.134,0.4350649350649351,0.04,10864.0,0.4514
1000.0,0.5409184,0.1277,0.2293,0.0924,0.0515,0.309,0.003,0.131,0.42394822006472493,0.04,10876.0,0.4353
1000.0,0.648208,0.1533,0.2681,0.0902,0.0516,0.309,0.003,0.128,0.41423948220064727,0.04,10888.0,0.4191
1000.0,0.7554976,0.1788,0.3045,0.0879,0.0516,0.31,0.003,0.125,0.40322580645161293,0.04,10901.0,0.4027
1000.0,0.8672576,0.2044,0.3386,0.0853,0.0515,0.309,0.003,0.121,0.39158576051779936,0.04,10915.0,0.3862
1000.0,0.9745472000000001,0.2299,0.3703,0.0826,0.0513,0.308,0.003,0.117,0.3798701298701299,0.04,10930.0,0.3694
1000.0,1.0818368,0.2555,0.3996,0.0797,0.051,0.306,0.003,0.113,0.369281045751634,0.04,10945.0,0.3524
1000.0,1.1891264000000001,0.281,0.4264,0.0767,0.0505,0.303,0.003,0.109,0.35973597359735976,0.04,10962.0,0.3352
1000.0,1.296416,0.3066,0.4506,0.0734,0.0499,0.3,0.003,0.104,0.3466666666666667,0.04,10980.0,0.3177
1000.0,1.4081759999999999,0.3321,0.4722,0.0699,0.0492,0.295,0.003,0.099,0.3355932203389831,0.04,10998.0,0.3
1000.0,1.5154656,0.3577,0.4909,0.0663,0.0483,0.29,0.003,0.094,0.3241379310344828,0.04,11018.0,0.2819
1000.0,1.6227551999999998,0.3832,0.5064,0.0625,0.0473,0.284,0.003,0.089,0.31338028169014087,0.04,11038.0,0.2636
1000.0,1.7300448,0.4088,0.5186,0.0586,0.0462,0.277,0.003,0.083,0.2996389891696751,0.04,11060.0,0.245
1000.0,1.8373344,0.4343,0.527,0.0545,0.0449,0.27,0.003,0.077,0.28518518518518515,0.04,11082.0,0.2261
1000.0,1.944624,0.4599,0.5312,0.0503,0.0436,0.262,0.002,0.071,0.2709923664122137,0.04,11106.0,0.2068
1000.0,2.056384,0.4854,0.5308,0.0461,0.0421,0.253,0.002,0.065,0.25691699604743085,0.04,11130.0,0.1872
1000.0,2.1636736,0.5109,0.5251,0.0417,0.0405,0.243,0.002,0.059,0.24279835390946503,0.04,11156.0,0.1674
1000.0,2.2709632,0.5365,0.5133,0.0372,0.0389,0.233,0.002,0.053,0.22746781115879827,0.04,11182.0,0.1472
1000.0,2.3782528000000003,0.562,0.4945,0.0326,0.0371,0.223,0.002,0.046,0.20627802690582958,0.04,11209.0,0.1268
1000.0,2.4855424,0.5876,0.4674,0.028,0.0353,0.212,0.002,0.04,0.18867924528301888,0.04,11238.0,0.1063
1000.0,2.5973024,0.6131,0.4307,0.0234,0.0333,0.2,0.002,0.033,0.165,0.04,11267.0,0.0857
1000.0,2.704592,0.6387,0.3823,0.0187,0.0313,0.188,0.002,0.027,0.14361702127659573,0.04,11297.0,0.0654
1000.0,2.8118816,0.6642,0.3197,0.0141,0.0292,0.175,0.002,0.02,0.1142857142857143,0.04,11328.0,0.0455
1000.0,2.9191712,0.6898,0.2396,0.0094,0.0271,0.162,0.002,0.013,0.08024691358024691,0.04,11361.0,0.0269
1000.0,3.0264607999999997,0.7153,0.1377,0.0048,0.0249,0.149,0.001,0.007,0.04697986577181208,0.04,11394.0,0.0106
1000.0,3.1382207999999996,0.7409,0.0076,0.0002,0.0226,0.136,0.001,0.0,0.0,0.04,11428.0,0.0001
2000.0,0.0,0.0,0.0,0.1014,0.0447,2.148,0.01,0.575,0.2676908752327746,0.08,21654.0,0.576
2000.0,0.22352,0.0263,0.058,0.0999,0.0452,2.172,0.01,0.567,0.26104972375690605,0.08,21671.0,0.5571
2000.0,0.44704,0.0526,0.1131,0.0983,0.0457,2.194,0.01,0.557,0.2538742023701003,0.08,21689.0,0.538
2000.0,0.6660896,0.0788,0.165,0.0965,0.0461,2.213,0.011,0.547,0.2471757794848622,0.08,21709.0,0.5189
2000.0,0.8896096,0.1051,0.2141,0.0946,0.0465,2.23,0.011,0.536,0.24035874439461885,0.08,21731.0,0.4997
2000.0,1.1131296000000002,0.1314,0.2602,0.0925,0.0467,2.243,0.011,0.524,0.23361569326794474,0.08,21755.0,0.4805
2000.0,1.3366496,0.1577,0.3034,0.0902,0.0469,2.252,0.011,0.512,0.22735346358792188,0.08,21780.0,0.4612
2000.0,1.5556992,0.184,0.3438,0.0878,0.047,2.256,0.011,0.498,0.22074468085106386,0.08,21807.0,0.4418
2000.0,1.7792192,0.2102,0.3814,0.0852,0.047,2.254,0.011,0.483,0.21428571428571427,0.08,21836.0,0.4224
2000.0,2.0027392,0.2365,0.4162,0.0824,0.0468,2.247,0.011,0.467,0.20783266577659104,0.08,21867.0,0.403
2000.0,2.2262592000000003,0.2628,0.4484,0.0793,0.0465,2.232,0.011,0.45,0.20161290322580644,0.08,21900.0,0.3834
2000.0,2.4497792,0.2891,0.4778,0.0761,0.046,2.21,0.011,0.431,0.19502262443438914,0.08,21935.0,0.3637
2000.0,2.6688288,0.3154,0.5043,0.0727,0.0454,2.181,0.01,0.412,0.18890417239798257,0.08,21972.0,0.344
2000.0,2.8923487999999997,0.3416,0.528,0.069,0.0447,2.145,0.01,0.391,0.1822843822843823,0.08,22011.0,0.324
