rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1409,0.0979,0.946,0.009,0.292,0.3086680761099366,0.04,15141.0,0.4309
1000.0,0.2145792,0.0465,0.0658,0.1404,0.0993,0.96,0.009,0.291,0.303125,0.04,15161.0,0.4228
1000.0,0.4336288,0.093,0.129,0.14,0.1009,0.975,0.009,0.291,0.29846153846153844,0.04,15186.0,0.414
1000.0,0.648208,0.1396,0.1894,0.1395,0.1028,0.993,0.009,0.29,0.29204431017119836,0.04,15214.0,0.4046
1000.0,0.8672576,0.1861,0.2467,0.139,0.1049,1.013,0.01,0.289,0.28529121421520237,0.04,15246.0,0.3945
1000.0,1.0818368,0.2326,0.3007,0.1385,0.1071,1.035,0.01,0.287,0.2772946859903382,0.04,15282.0,0.3838
1000.0,1.3008864,0.2791,0.3511,0.1379,0.1096,1.059,0.01,0.286,0.2700661000944287,0.04,15323.0,0.3727
1000.0,1.5154656,0.3256,0.3979,0.1371,0.1122,1.084,0.01,0.284,0.2619926199261992,0.04,15368.0,0.361
1000.0,1.7345152,0.3721,0.4412,0.1361,0.1148,1.109,0.011,0.282,0.25428313796212804,0.04,15418.0,0.3489
1000.0,1.9490944000000001,0.4187,0.4809,0.1348,0.1174,1.134,0.011,0.28,0.24691358024691362,0.04,15474.0,0.3365
1000.0,2.168144,0.4652,0.5172,0.1332,0.1198,1.158,0.011,0.276,0.23834196891191714,0.04,15534.0,0.3238
1000.0,2.3827232,0.5117,0.5503,0.1312,0.122,1.179,0.011,0.272,0.23070398642917728,0.04,15599.0,0.3108
1000.0,2.5973024,0.5582,0.5804,0.1287,0.1238,1.196,0.011,0.267,0.22324414715719065,0.04,15670.0,0.2976
1000.0,2.8163519999999997,0.6047,0.6077,0.1256,0.125,1.208,0.012,0.261,0.21605960264900664,0.04,15746.0,0.2841
1000.0,3.0309312,0.6513,0.6323,0.1219,0.1255,1.213,0.012,0.253,0.2085737840065952,0.04,15827.0,0.2705
1000.0,3.2499808,0.6978,0.6545,0.1175,0.1253,1.211,0.012,0.244,0.2014863748967795,0.04,15913.0,0.2565
