rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0576,0.0232,0.225,0.002,0.12,0.5333333333333333,0.04,13302.0,0.4751
1000.0,0.0759968,0.016,0.0391,0.057,0.0233,0.226,0.002,0.118,0.5221238938053097,0.04,13307.0,0.4647
1000.0,0.1475232,0.0321,0.0769,0.0562,0.0234,0.226,0.002,0.117,0.5176991150442478,0.04,13312.0,0.4538
1000.0,0.22352,0.0481,0.1134,0.0554,0.0235,0.227,0.002,0.115,0.5066079295154186,0.04,13317.0,0.4425
1000.0,0.2995168,0.0641,0.1484,0.0545,0.0235,0.228,0.002,0.113,0.4956140350877193,0.04,13322.0,0.4307
1000.0,0.3755136,0.0802,0.1819,0.0535,0.0236,0.228,0.002,0.111,0.4868421052631579,0.04,13328.0,0.4186
1000.0,0.44704,0.0962,0.214,0.0524,0.0235,0.228,0.002,0.109,0.4780701754385965,0.04,13335.0,0.4061
1000.0,0.5230368,0.1122,0.2445,0.0512,0.0235,0.227,0.002,0.106,0.46696035242290745,0.04,13342.0,0.3931
1000.0,0.5990336,0.1283,0.2734,0.0499,0.0234,0.226,0.002,0.103,0.4557522123893805,0.04,13349.0,0.3798
1000.0,0.67056,0.1443,0.3008,0.0484,0.0232,0.225,0.002,0.101,0.4488888888888889,0.04,13357.0,0.366
1000.0,0.7465567999999999,0.1604,0.3264,0.0469,0.023,0.223,0.002,0.097,0.4349775784753363,0.04,13365.0,0.3518
1000.0,0.8225536,0.1764,0.3503,0.0453,0.0228,0.22,0.002,0.094,0.42727272727272725,0.04,13373.0,0.3372
1000.0,0.89408,0.1924,0.3724,0.0435,0.0225,0.217,0.002,0.09,0.4147465437788018,0.04,13382.0,0.3221
1000.0,0.9700768,0.2085,0.3926,0.0416,0.0221,0.214,0.002,0.086,0.40186915887850466,0.04,13392.0,0.3067
1000.0,1.0460736,0.2245,0.4108,0.0397,0.0217,0.209,0.002,0.082,0.39234449760765555,0.04,13402.0,0.2907
1000.0,1.1220704,0.2405,0.4268,0.0376,0.0212,0.205,0.002,0.078,0.3804878048780488,0.04,13412.0,0.2743
1000.0,1.1935968,0.2566,0.4403,0.0353,0.0206,0.199,0.002,0.073,0.36683417085427134,0.04,13423.0,0.2575
1000.0,1.2695935999999999,0.2726,0.4514,0.033,0.02,0.193,0.002,0.069,0.35751295336787564,0.04,13434.0,0.2402
1000.0,1.3455903999999999,0.2886,0.4595,0.0307,0.0193,0.186,0.002,0.064,0.34408602150537637,0.04,13446.0,0.2224
1000.0,1.4171167999999998,0.3047,0.4644,0.0282,0.0185,0.179,0.002,0.059,0.329608938547486,0.04,13458.0,0.2043
1000.0,1.4931135999999998,0.3207,0.4656,0.0257,0.0177,0.171,0.002,0.053,0.30994152046783624,0.04,13471.0,0.1857
1000.0,1.5691103999999998,0.3367,0.4625,0.0231,0.0168,0.163,0.002,0.048,0.294478527607362,0.04,13484.0,0.1667
1000.0,1.6406368,0.3528,0.4543,0.0205,0.0159,0.154,0.001,0.043,0.2792207792207792,0.04,13498.0,0.1471
1000.0,1.7166336,0.3688,0.4397,0.0178,0.0149,0.144,0.001,0.037,0.2569444444444445,0.04,13512.0,0.127
1000.0,1.7926304,0.3848,0.4173,0.0151,0.0139,0.134,0.001,0.031,0.23134328358208953,0.04,13526.0,0.1062
1000.0,1.8686272,0.4009,0.3846,0.0123,0.0128,0.124,0.001,0.026,0.2096774193548387,0.04,13541.0,0.0849
1000.0,1.9401536,0.4169,0.3381,0.0095,0.0117,0.113,0.001,0.02,0.17699115044247787,0.04,13557.0,0.0629
1000.0,2.0161504,0.4329,0.2725,0.0066,0.0104,0.101,0.001,0.014,0.1386138613861386,0.04,13573.0,0.0407
1000.0,2.0921472,0.449,0.1785,0.0036,0.0092,0.089,0.001,0.008,0.08988764044943821,0.04,13590.0,0.0192
1000.0,2.1636736,0.465,0.0398,0.0007,0.0078,0.076,0.001,0.001,0.013157894736842106,0.04,13607.0,0.0018
2000.0,0.0,0.0,0.0,0.0578,0.0216,1.67,0.008,0.479,0.2868263473053892,0.09,26604.0,0.5127
2000.0,0.1519936,0.0162,0.0425,0.0571,0.0217,1.679,0.008,0.474,0.2823108993448481,0.09,26613.0,0.5009
2000.0,0.2995168,0.0323,0.0834,0.0563,0.0218,1.687,0.008,0.468,0.27741553052756374,0.09,26623.0,0.4886
2000.0,0.4515104,0.0485,0.1228,0.0555,0.0219,1.694,0.008,0.461,0.2721369539551358,0.09,26634.0,0.4759
2000.0,0.603504,0.0646,0.1605,0.0546,0.022,1.699,0.008,0.453,0.266627427898764,0.09,26645.0,0.4628
2000.0,0.7510272,0.0808,0.1966,0.0536,0.022,1.702,0.008,0.445,0.26145710928319627,0.09,26657.0,0.4493
2000.0,0.9030208,0.097,0.2311,0.0524,0.022,1.702,0.008,0.435,0.2555816686251469,0.09,26670.0,0.4354
2000.0,1.0550144,0.1131,0.2638,0.0512,0.022,1.699,0.008,0.425,0.25014714537963506,0.09,26684.0,0.4211
2000.0,1.2025375999999999,0.1293,0.2947,0.0499,0.0219,1.693,0.008,0.414,0.2445363260484347,0.09,26699.0,0.4064
2000.0,1.3545311999999998,0.1455,0.3239,0.0485,0.0218,1.683,0.008,0.402,0.23885918003565063,0.09,26714.0,0.3913
2000.0,1.5065248,0.1616,0.3513,0.0469,0.0216,1.669,0.008,0.39,0.2336728579988017,0.09,26731.0,0.3758
2000.0,1.654048,0.1778,0.3769,0.0453,0.0214,1.651,0.008,0.376,0.22774076317383404,0.09,26748.0,0.3599
2000.0,1.8060416,0.1939,0.4005,0.0435,0.0211,1.628,0.008,0.361,0.22174447174447176,0.09,26766.0,0.3436
2000.0,1.9580351999999999,0.2101,0.4221,0.0416,0.0207,1.601,0.008,0.345,0.21549031855090567,0.09,26785.0,0.3269
2000.0,2.1055584,0.2263,0.4416,0.0396,0.0203,1.568,0.007,0.329,0.20982142857142858,0.09,26806.0,0.3097
2000.0,2.257552,0.2424,0.4588,0.0374,0.0198,1.53,0.007,0.311,0.20326797385620915,0.09,26827.0,0.2922
