rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1399,0.0808,1.206,0.012,0.411,0.3407960199004975,0.05,22113.0,0.517
1000.0,0.1743456,0.0342,0.0577,0.1386,0.0821,1.225,0.012,0.407,0.3322448979591836,0.05,22136.0,0.5017
1000.0,0.3486912,0.0683,0.1124,0.1371,0.0833,1.244,0.012,0.403,0.3239549839228296,0.05,22162.0,0.4862
1000.0,0.5185664,0.1025,0.1642,0.1354,0.0845,1.262,0.012,0.398,0.31537242472266247,0.05,22191.0,0.4704
1000.0,0.692912,0.1367,0.213,0.1335,0.0857,1.279,0.012,0.393,0.3072713057075841,0.05,22224.0,0.4544
1000.0,0.8672576,0.1708,0.2588,0.1314,0.0868,1.295,0.012,0.386,0.2980694980694981,0.05,22259.0,0.4383
1000.0,1.0416032,0.205,0.3017,0.1291,0.0877,1.31,0.013,0.379,0.28931297709923665,0.05,22298.0,0.422
1000.0,1.2159488,0.2391,0.3418,0.1265,0.0885,1.322,0.013,0.372,0.2813918305597579,0.05,22341.0,0.4056
1000.0,1.3902944,0.2733,0.3791,0.1236,0.0891,1.331,0.013,0.363,0.2727272727272727,0.05,22386.0,0.3892
1000.0,1.5601696,0.3075,0.4137,0.1205,0.0895,1.337,0.013,0.354,0.2647718773373224,0.05,22436.0,0.3726
1000.0,1.7345152,0.3416,0.4456,0.117,0.0897,1.339,0.013,0.344,0.256908140403286,0.05,22489.0,0.356
1000.0,1.9088607999999998,0.3758,0.4749,0.1132,0.0896,1.337,0.013,0.333,0.24906507105459988,0.05,22546.0,0.3393
1000.0,2.0832064,0.41,0.5016,0.1091,0.0891,1.331,0.013,0.321,0.24117205108940648,0.05,22607.0,0.3224
1000.0,2.257552,0.4441,0.5257,0.1046,0.0883,1.319,0.013,0.307,0.23275208491281274,0.05,22671.0,0.3054
1000.0,2.4318976,0.4783,0.5471,0.0997,0.0872,1.302,0.012,0.293,0.22503840245775728,0.05,22738.0,0.2882
1000.0,2.6017728,0.5125,0.5657,0.0945,0.0856,1.278,0.012,0.278,0.21752738654147105,0.05,22810.0,0.2707
1000.0,2.7761184,0.5466,0.5813,0.0889,0.0836,1.248,0.012,0.261,0.2091346153846154,0.05,22885.0,0.253
1000.0,2.9504639999999998,0.5808,0.5939,0.083,0.0812,1.212,0.012,0.244,0.20132013201320131,0.05,22963.0,0.2351
1000.0,3.1248096,0.6149,0.6029,0.0769,0.0784,1.171,0.011,0.226,0.19299743808710504,0.05,23046.0,0.2169
1000.0,3.2991552,0.6491,0.6081,0.0705,0.0752,1.123,0.011,0.207,0.18432769367764915,0.05,23131.0,0.1985
1000.0,3.4690304,0.6833,0.6088,0.0639,0.0717,1.071,0.01,0.188,0.17553688141923438,0.05,23220.0,0.1797
1000.0,3.643376,0.7174,0.6042,0.0572,0.0679,1.014,0.01,0.168,0.16568047337278108,0.05,23313.0,0.1607
1000.0,3.8177215999999996,0.7516,0.5933,0.0503,0.0638,0.952,0.009,0.148,0.15546218487394958,0.05,23409.0,0.1413
1000.0,3.9920671999999997,0.7858,0.5743,0.0434,0.0593,0.886,0.008,0.127,0.1433408577878104,0.05,23509.0,0.1214
1000.0,4.1664128,0.8199,0.5452,0.0363,0.0546,0.815,0.008,0.107,0.13128834355828223,0.05,23611.0,0.1011
1000.0,4.3407584,0.8541,0.5023,0.0291,0.0495,0.74,0.007,0.086,0.11621621621621621,0.05,23718.0,0.0801
1000.0,4.5106336,0.8882,0.4403,0.0219,0.0442,0.66,0.006,0.064,0.09696969696969697,0.05,23827.0,0.0586
1000.0,4.6849792,0.9224,0.3502,0.0147,0.0386,0.577,0.006,0.043,0.07452339688041594,0.05,23940.0,0.0367
1000.0,4.8593247999999996,0.9566,0.2161,0.0074,0.0328,0.49,0.005,0.022,0.044897959183673466,0.05,24056.0,0.0155
1000.0,5.0336704,0.9907,0.0068,0.0002,0.0268,0.4,0.004,0.001,0.0025,0.05,24175.0,0.0001
2000.0,0.0,0.0,0.0,0.1406,0.0726,8.674,0.041,1.653,0.1905695181000692,0.1,44225.0,0.5794
2000.0,0.3486912,0.0345,0.0649,0.1393,0.074,8.835,0.042,1.638,0.1853989813242784,0.1,44272.0,0.5609
2000.0,0.7018528,0.0689,0.1262,0.1378,0.0753,8.996,0.043,1.621,0.18019119608714984,0.1,44325.0,0.5421
2000.0,1.050544,0.1034,0.1838,0.1362,0.0766,9.154,0.044,1.601,0.17489622023159274,0.1,44384.0,0.5232
2000.0,1.3992352,0.1379,0.2377,0.1343,0.0779,9.305,0.044,1.579,0.16969371305749598,0.1,44450.0,0.5041
2000.0,1.7523967999999999,0.1724,0.2882,0.1322,0.0791,9.446,0.045,1.554,0.16451408003387677,0.1,44522.0,0.485
2000.0,2.101088,0.2068,0.3352,0.1299,0.0801,9.574,0.046,1.527,0.15949446417380406,0.1,44600.0,0.466
2000.0,2.4497792,0.2413,0.3789,0.1273,0.0811,9.683,0.046,1.496,0.1544975730661985,0.1,44686.0,0.4469
2000.0,2.8029407999999996,0.2758,0.4194,0.1244,0.0818,9.771,0.047,1.463,0.14972878927438338,0.1,44780.0,0.4279
2000.0,3.1516319999999998,0.3102,0.4568,0.1212,0.0823,9.833,0.047,1.425,0.14492016678531475,0.1,44880.0,0.409
2000.0,3.5003232,0.3447,0.4913,0.1177,0.0826,9.864,0.047,1.384,0.1403081914030819,0.1,44988.0,0.3902
2000.0,3.8534847999999995,0.3792,0.523,0.1139,0.0826,9.861,0.047,1.339,0.13578744549234356,0.1,45103.0,0.3714
2000.0,4.202176,0.4137,0.5519,0.1097,0.0822,9.82,0.047,1.29,0.13136456211812628,0.1,45226.0,0.3526
