rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1208,0.0779,1.163,0.011,0.355,0.3052450558899398,0.05,17443.0,0.4299
1000.0,0.21904959999999998,0.0427,0.0649,0.1204,0.0794,1.185,0.011,0.354,0.29873417721518986,0.05,17463.0,0.42
1000.0,0.4336288,0.0855,0.1266,0.12,0.081,1.21,0.012,0.353,0.29173553719008266,0.05,17486.0,0.4094
1000.0,0.6526784,0.1282,0.1851,0.1196,0.0828,1.237,0.012,0.351,0.28375101050929663,0.05,17513.0,0.3982
1000.0,0.8672576,0.171,0.2401,0.119,0.0848,1.266,0.012,0.35,0.2764612954186414,0.05,17543.0,0.3865
1000.0,1.0863072,0.2137,0.2915,0.1184,0.0868,1.297,0.012,0.348,0.2683114880493446,0.05,17578.0,0.3744
1000.0,1.3008864,0.2565,0.3391,0.1177,0.089,1.329,0.013,0.346,0.26034612490594433,0.05,17617.0,0.3619
1000.0,1.519936,0.2992,0.3831,0.1167,0.0912,1.361,0.013,0.343,0.25202057310800885,0.05,17661.0,0.349
1000.0,1.7389856000000001,0.342,0.4236,0.1156,0.0933,1.393,0.013,0.34,0.24407753050969133,0.05,17709.0,0.3359
1000.0,1.9535648,0.3847,0.4606,0.1141,0.0953,1.423,0.014,0.335,0.2354181307097681,0.05,17762.0,0.3227
1000.0,2.1726144,0.4275,0.4944,0.1123,0.0971,1.45,0.014,0.33,0.22758620689655173,0.05,17819.0,0.3092
1000.0,2.3871936,0.4702,0.525,0.1101,0.0987,1.473,0.014,0.324,0.219959266802444,0.05,17882.0,0.2956
1000.0,2.6062432,0.513,0.5527,0.1075,0.0998,1.49,0.014,0.316,0.2120805369127517,0.05,17950.0,0.2819
1000.0,2.8252928,0.5557,0.5775,0.1044,0.1004,1.5,0.014,0.307,0.20466666666666666,0.05,18022.0,0.2679
1000.0,3.039872,0.5985,0.5996,0.1007,0.1005,1.501,0.014,0.296,0.1972018654230513,0.05,18100.0,0.2537
1000.0,3.2589216,0.6412,0.6189,0.0965,0.0999,1.492,0.014,0.284,0.1903485254691689,0.05,18182.0,0.2392
1000.0,3.4735007999999996,0.684,0.6355,0.0916,0.0986,1.472,0.014,0.269,0.18274456521739132,0.05,18270.0,0.2243
1000.0,3.6925504,0.7267,0.6491,0.0862,0.0965,1.44,0.014,0.253,0.17569444444444446,0.05,18361.0,0.2092
1000.0,3.9071296,0.7695,0.6595,0.0802,0.0936,1.397,0.013,0.236,0.16893342877594844,0.05,18458.0,0.1937
1000.0,4.1261792,0.8122,0.6663,0.0739,0.09,1.344,0.013,0.217,0.16145833333333331,0.05,18559.0,0.1779
1000.0,4.3452288,0.855,0.6689,0.0672,0.0859,1.282,0.012,0.197,0.15366614664586584,0.05,18664.0,0.1618
1000.0,4.559807999999999,0.8977,0.6665,0.0603,0.0812,1.212,0.012,0.177,0.14603960396039603,0.05,18774.0,0.1454
1000.0,4.778857599999999,0.9405,0.6578,0.0531,0.0759,1.134,0.011,0.156,0.1375661375661376,0.05,18887.0,0.1286
1000.0,4.9934368,0.9832,0.6413,0.0458,0.0702,1.049,0.01,0.135,0.12869399428026693,0.05,19005.0,0.1114
1000.0,5.2124864,1.026,0.6142,0.0384,0.0641,0.957,0.009,0.113,0.11807732497387671,0.05,19127.0,0.0936
1000.0,5.427065600000001,1.0687,0.5728,0.0308,0.0576,0.859,0.008,0.091,0.1059371362048894,0.05,19253.0,0.0751
1000.0,5.6461152000000006,1.1115,0.5103,0.0232,0.0506,0.755,0.007,0.068,0.09006622516556292,0.05,19383.0,0.0558
1000.0,5.8651648,1.1542,0.4155,0.0156,0.0433,0.646,0.006,0.046,0.07120743034055728,0.05,19517.0,0.0358
1000.0,6.079744,1.197,0.2658,0.0079,0.0356,0.531,0.005,0.023,0.04331450094161958,0.05,19654.0,0.0158
1000.0,6.2987936,1.2397,0.012,0.0003,0.0276,0.413,0.004,0.001,0.002421307506053269,0.05,19795.0,0.0001
2000.0,0.0,0.0,0.0,0.1214,0.0698,8.344,0.04,1.427,0.1710210930009588,0.1,34886.0,0.4829
2000.0,0.43809919999999997,0.0432,0.0732,0.121,0.0714,8.524,0.041,1.423,0.16694040356640077,0.1,34926.0,0.4708
2000.0,0.8761983999999999,0.0864,0.1427,0.1207,0.073,8.726,0.042,1.419,0.16261746504698602,0.1,34973.0,0.4578
