rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0913,0.0398,0.594,0.006,0.268,0.45117845117845123,0.05,14810.0,0.5528
1000.0,0.11176,0.0219,0.049,0.0897,0.04,0.598,0.006,0.264,0.44147157190635455,0.05,14819.0,0.536
1000.0,0.22352,0.0437,0.0959,0.0881,0.0402,0.6,0.006,0.259,0.4316666666666667,0.05,14829.0,0.519
1000.0,0.33528,0.0656,0.1404,0.0863,0.0403,0.602,0.006,0.254,0.42192691029900337,0.05,14840.0,0.5018
1000.0,0.4425696,0.0875,0.1827,0.0845,0.0404,0.604,0.006,0.248,0.4105960264900662,0.05,14851.0,0.4844
1000.0,0.5543296,0.1093,0.2227,0.0825,0.0405,0.605,0.006,0.242,0.4,0.05,14863.0,0.4668
1000.0,0.6660896,0.1312,0.2604,0.0804,0.0405,0.605,0.006,0.236,0.39008264462809916,0.05,14876.0,0.449
1000.0,0.7778496,0.1531,0.2958,0.0781,0.0404,0.604,0.006,0.23,0.38079470198675497,0.05,14890.0,0.431
1000.0,0.8896096,0.1749,0.3289,0.0757,0.0403,0.602,0.006,0.223,0.3704318936877077,0.05,14904.0,0.4128
1000.0,1.0013696,0.1968,0.3596,0.0732,0.0401,0.598,0.006,0.215,0.3595317725752508,0.05,14920.0,0.3944
1000.0,1.1131296000000002,0.2187,0.3878,0.0706,0.0398,0.594,0.006,0.207,0.3484848484848485,0.05,14936.0,0.3759
1000.0,1.2204192,0.2405,0.4135,0.0678,0.0394,0.589,0.006,0.199,0.3378607809847199,0.05,14953.0,0.3571
1000.0,1.3321792,0.2624,0.4366,0.0648,0.039,0.582,0.006,0.191,0.3281786941580756,0.05,14971.0,0.338
1000.0,1.4439392,0.2843,0.457,0.0618,0.0384,0.574,0.005,0.182,0.3170731707317073,0.05,14990.0,0.3188
1000.0,1.5556992,0.3062,0.4744,0.0586,0.0378,0.564,0.005,0.172,0.3049645390070922,0.05,15010.0,0.2992
1000.0,1.6674592,0.328,0.4887,0.0552,0.0371,0.554,0.005,0.162,0.2924187725631769,0.05,15031.0,0.2794
1000.0,1.7792192,0.3499,0.4996,0.0518,0.0362,0.541,0.005,0.152,0.28096118299445466,0.05,15053.0,0.2592
1000.0,1.8865087999999999,0.3718,0.5067,0.0482,0.0353,0.528,0.005,0.142,0.2689393939393939,0.05,15076.0,0.2387
1000.0,1.9982688,0.3936,0.5098,0.0445,0.0343,0.513,0.005,0.131,0.2553606237816764,0.05,15100.0,0.2179
1000.0,2.1100288,0.4155,0.5082,0.0407,0.0332,0.496,0.005,0.119,0.23991935483870966,0.05,15124.0,0.1968
1000.0,2.2217887999999997,0.4374,0.5015,0.0368,0.0321,0.479,0.005,0.108,0.2254697286012526,0.05,15150.0,0.1754
1000.0,2.3335488,0.4592,0.4888,0.0328,0.0308,0.46,0.004,0.096,0.20869565217391303,0.05,15177.0,0.1538
1000.0,2.4453088,0.4811,0.4694,0.0288,0.0295,0.44,0.004,0.085,0.1931818181818182,0.05,15205.0,0.1321
1000.0,2.5570687999999997,0.503,0.4421,0.0247,0.0281,0.419,0.004,0.073,0.17422434367541767,0.05,15233.0,0.1102
1000.0,2.6643584,0.5248,0.4056,0.0206,0.0266,0.398,0.004,0.06,0.1507537688442211,0.05,15263.0,0.0885
1000.0,2.7761184,0.5467,0.3581,0.0164,0.0251,0.375,0.004,0.048,0.128,0.05,15294.0,0.067
1000.0,2.8878784,0.5686,0.2972,0.0123,0.0235,0.351,0.003,0.036,0.10256410256410256,0.05,15325.0,0.0462
1000.0,2.9996384,0.5904,0.2202,0.0082,0.0219,0.326,0.003,0.024,0.0736196319018405,0.05,15358.0,0.0269
1000.0,3.1113984,0.6123,0.123,0.0041,0.0202,0.301,0.003,0.012,0.0398671096345515,0.05,15392.0,0.0102
1000.0,3.2231584,0.6342,0.0003,0.0,0.0184,0.275,0.003,0.0,0.0,0.05,15426.0,0.0
2000.0,0.0,0.0,0.0,0.0916,0.0358,4.278,0.02,1.077,0.25175315568022444,0.1,29620.0,0.6177
2000.0,0.22352,0.022,0.0549,0.0901,0.0361,4.309,0.021,1.059,0.24576467857971684,0.1,29639.0,0.5979
2000.0,0.44704,0.044,0.1072,0.0884,0.0363,4.337,0.021,1.04,0.23979709476596728,0.1,29658.0,0.5778
2000.0,0.67056,0.066,0.1567,0.0867,0.0365,4.36,0.021,1.019,0.2337155963302752,0.1,29680.0,0.5577
2000.0,0.89408,0.088,0.2036,0.0848,0.0366,4.377,0.021,0.997,0.22778158556088646,0.1,29703.0,0.5375
2000.0,1.1176,0.11,0.2479,0.0828,0.0367,4.389,0.021,0.973,0.22169059011164272,0.1,29727.0,0.5172
2000.0,1.34112,0.132,0.2895,0.0806,0.0368,4.394,0.021,0.948,0.21574874829312699,0.1,29753.0,0.4968
2000.0,1.56464,0.154,0.3285,0.0784,0.0368,4.39,0.021,0.922,0.2100227790432802,0.1,29781.0,0.4764
2000.0,1.78816,0.176,0.3649,0.076,0.0367,4.379,0.021,0.893,0.20392783740580042,0.1,29810.0,0.4559
2000.0,2.01168,0.198,0.3987,0.0735,0.0365,4.358,0.021,0.864,0.19825608077099588,0.1,29841.0,0.4353
2000.0,2.2352,0.22,0.4299,0.0708,0.0362,4.328,0.021,0.832,0.1922365988909427,0.1,29874.0,0.4147
2000.0,2.45872,0.242,0.4584,0.068,0.0359,4.287,0.02,0.799,0.18637742010730116,0.1,29909.0,0.3939
2000.0,2.68224,0.264,0.4842,0.065,0.0354,4.234,0.02,0.764,0.18044402456306094,0.1,29945.0,0.3731
2000.0,2.90576,0.286,0.5073,0.0619,0.0349,4.171,0.02,0.728,0.17453847998081992,0.1,29984.0,0.3521
