rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.112,0.055,0.821,0.008,0.329,0.40073081607795374,0.05,15309.0,0.5438
1000.0,0.1475232,0.0295,0.0585,0.1108,0.0558,0.833,0.008,0.326,0.39135654261704683,0.05,15321.0,0.5277
1000.0,0.2995168,0.0589,0.1141,0.1095,0.0565,0.844,0.008,0.322,0.3815165876777251,0.05,15336.0,0.5112
1000.0,0.44704,0.0884,0.1666,0.108,0.0573,0.855,0.008,0.317,0.3707602339181287,0.05,15351.0,0.4946
1000.0,0.5990336,0.1178,0.2162,0.1064,0.058,0.866,0.008,0.313,0.36143187066974597,0.05,15368.0,0.4777
1000.0,0.7465567999999999,0.1473,0.2629,0.1046,0.0586,0.875,0.008,0.308,0.352,0.05,15387.0,0.4607
1000.0,0.8985503999999999,0.1767,0.3067,0.1026,0.0591,0.883,0.008,0.302,0.3420158550396376,0.05,15407.0,0.4436
1000.0,1.0460736,0.2062,0.3476,0.1005,0.0596,0.89,0.008,0.295,0.33146067415730335,0.05,15429.0,0.4265
1000.0,1.1980672,0.2356,0.3858,0.0981,0.0599,0.894,0.009,0.288,0.3221476510067114,0.05,15452.0,0.4092
1000.0,1.3455903999999999,0.2651,0.4214,0.0955,0.06,0.897,0.009,0.281,0.31326644370122636,0.05,15477.0,0.3919
1000.0,1.497584,0.2945,0.4543,0.0926,0.06,0.896,0.009,0.272,0.3035714285714286,0.05,15504.0,0.3745
1000.0,1.6451072,0.324,0.4845,0.0895,0.0598,0.893,0.009,0.263,0.2945128779395297,0.05,15533.0,0.357
1000.0,1.7971007999999997,0.3534,0.5122,0.0861,0.0594,0.887,0.008,0.253,0.2852311161217587,0.05,15564.0,0.3393
1000.0,1.944624,0.3829,0.5373,0.0824,0.0587,0.877,0.008,0.242,0.2759407069555302,0.05,15597.0,0.3215
1000.0,2.0966176,0.4123,0.5596,0.0785,0.0579,0.864,0.008,0.231,0.2673611111111111,0.05,15631.0,0.3035
1000.0,2.2441408,0.4418,0.5791,0.0743,0.0567,0.847,0.008,0.218,0.25737898465171194,0.05,15667.0,0.2851
1000.0,2.391664,0.4712,0.5954,0.0698,0.0553,0.825,0.008,0.205,0.24848484848484848,0.05,15705.0,0.2664
1000.0,2.5436576,0.5007,0.6083,0.0651,0.0536,0.801,0.008,0.191,0.23845193508114856,0.05,15745.0,0.2474
1000.0,2.6911807999999997,0.5301,0.6172,0.0602,0.0517,0.772,0.007,0.177,0.2292746113989637,0.05,15787.0,0.228
