rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1049,0.0634,1.413,0.013,0.425,0.30077848549186126,0.05,17067.0,0.4276
1000.0,0.22352,0.0409,0.0663,0.1047,0.0646,1.44,0.014,0.424,0.29444444444444445,0.05,17084.0,0.4179
1000.0,0.4515104,0.0818,0.1294,0.1044,0.066,1.471,0.014,0.423,0.28755948334466347,0.05,17105.0,0.4075
1000.0,0.6750304,0.1228,0.1891,0.1041,0.0676,1.505,0.014,0.421,0.279734219269103,0.05,17128.0,0.3965
1000.0,0.9030208,0.1637,0.2452,0.1037,0.0692,1.543,0.015,0.42,0.27219701879455604,0.05,17155.0,0.385
1000.0,1.1265408,0.2046,0.2976,0.1033,0.071,1.583,0.015,0.418,0.2640555906506633,0.05,17186.0,0.373
1000.0,1.3500608,0.2455,0.3461,0.1028,0.0729,1.625,0.016,0.416,0.256,0.05,17221.0,0.3606
1000.0,1.5780512,0.2864,0.3907,0.1022,0.0749,1.669,0.016,0.414,0.24805272618334331,0.05,17259.0,0.3478
1000.0,1.8015712000000002,0.3274,0.4315,0.1014,0.0769,1.713,0.016,0.41,0.23934617629889082,0.05,17302.0,0.3348
1000.0,2.0250912,0.3683,0.4687,0.1003,0.0788,1.756,0.017,0.406,0.23120728929384968,0.05,17349.0,0.3216
1000.0,2.2530816,0.4092,0.5024,0.099,0.0806,1.796,0.017,0.401,0.2232739420935412,0.05,17400.0,0.3082
1000.0,2.4766016,0.4501,0.5328,0.0973,0.0822,1.831,0.017,0.394,0.21518296013107593,0.05,17455.0,0.2946
1000.0,2.704592,0.491,0.56,0.0951,0.0834,1.859,0.018,0.385,0.20710059171597633,0.05,17516.0,0.2807
1000.0,2.928112,0.532,0.5843,0.0925,0.0842,1.876,0.018,0.374,0.19936034115138593,0.05,17580.0,0.2665
1000.0,3.1516319999999998,0.5729,0.6058,0.0892,0.0844,1.88,0.018,0.361,0.1920212765957447,0.05,17650.0,0.252
1000.0,3.3796223999999997,0.6138,0.6245,0.0854,0.0839,1.869,0.018,0.346,0.18512573568753343,0.05,17723.0,0.2372
1000.0,3.6031424000000003,0.6547,0.6405,0.0809,0.0827,1.843,0.018,0.328,0.17797069994574066,0.05,17801.0,0.222
1000.0,3.8266624,0.6957,0.6535,0.076,0.0809,1.802,0.017,0.308,0.1709211986681465,0.05,17884.0,0.2066
1000.0,4.0546528,0.7366,0.6634,0.0707,0.0785,1.748,0.017,0.286,0.16361556064073227,0.05,17970.0,0.191
1000.0,4.2781728,0.7775,0.6695,0.065,0.0755,1.681,0.016,0.263,0.15645449137418205,0.05,18061.0,0.1751
1000.0,4.5061632,0.8184,0.6713,0.059,0.072,1.603,0.015,0.239,0.14909544603867747,0.05,18155.0,0.159
1000.0,4.7296832,0.8593,0.668,0.0529,0.068,1.515,0.014,0.214,0.14125412541254126,0.05,18254.0,0.1426
1000.0,4.9532032,0.9003,0.6584,0.0465,0.0636,1.418,0.014,0.188,0.13258110014104374,0.05,18356.0,0.1259
1000.0,5.1811936,0.9412,0.6407,0.0401,0.0589,1.311,0.013,0.162,0.12356979405034325,0.05,18462.0,0.1087
1000.0,5.4047136,0.9821,0.6123,0.0335,0.0537,1.196,0.011,0.136,0.1137123745819398,0.05,18572.0,0.091
1000.0,5.6282336,1.023,0.5694,0.0268,0.0482,1.074,0.01,0.109,0.10148975791433891,0.05,18686.0,0.0727
1000.0,5.856224,1.0639,0.5052,0.0201,0.0423,0.944,0.009,0.081,0.08580508474576272,0.05,18803.0,0.0537
1000.0,6.079744,1.1049,0.4085,0.0134,0.0362,0.807,0.008,0.054,0.06691449814126393,0.05,18924.0,0.0341
1000.0,6.307734399999999,1.1458,0.2572,0.0067,0.0298,0.664,0.006,0.027,0.04066265060240964,0.05,19048.0,0.0146
1000.0,6.5312544,1.1867,0.0031,0.0001,0.0232,0.517,0.005,0.0,0.0,0.06,19174.0,0.0
2000.0,0.0,0.0,0.0,0.1054,0.0565,10.073,0.048,1.707,0.16946292067904298,0.1,34134.0,0.483
2000.0,0.4559808,0.0413,0.0752,0.1052,0.0578,10.298,0.049,1.703,0.1653719168770635,0.1,34169.0,0.471
2000.0,0.9074911999999999,0.0826,0.1464,0.1049,0.0592,10.552,0.05,1.699,0.16101213040181958,0.1,34211.0,0.4581
2000.0,1.3634719999999998,0.1239,0.2133,0.1047,0.0608,10.834,0.052,1.695,0.1564519106516522,0.1,34258.0,0.4445
2000.0,1.8194528,0.1652,0.2758,0.1044,0.0625,11.142,0.053,1.69,0.15167833423083826,0.1,34313.0,0.4303
2000.0,2.2709632,0.2065,0.3335,0.104,0.0644,11.475,0.055,1.684,0.14675381263616558,0.1,34375.0,0.4156
2000.0,2.7269439999999996,0.2478,0.3866,0.1035,0.0664,11.828,0.056,1.677,0.14178221170104838,0.1,34445.0,0.4005
2000.0,3.1829248,0.2891,0.4349,0.1029,0.0684,12.193,0.058,1.667,0.13671778889526778,0.1,34523.0,0.3851
2000.0,3.6344352000000004,0.3304,0.4788,0.1021,0.0705,12.562,0.06,1.654,0.1316669320171947,0.1,34610.0,0.3696
2000.0,4.090416,0.3716,0.5183,0.1011,0.0725,12.923,0.062,1.638,0.1267507544687766,0.1,34705.0,0.3539
2000.0,4.5463968,0.4129,0.5538,0.0998,0.0744,13.262,0.063,1.616,0.12185190770622832,0.1,34809.0,0.338
2000.0,4.9979072,0.4542,0.5856,0.0981,0.0761,13.562,0.065,1.588,0.11709187435481494,0.1,34923.0,0.3222
2000.0,5.453887999999999,0.4955,0.6139,0.0959,0.0774,13.801,0.066,1.553,0.11252807767553075,0.1,35045.0,0.3061
2000.0,5.9098688,0.5368,0.639,0.0932,0.0783,13.956,0.067,1.509,0.10812553740326741,0.1,35177.0,0.29
2000.0,6.3613792,0.5781,0.6613,0.0899,0.0786,14.005,0.067,1.456,0.10396287040342733,0.1,35317.0,0.2736
2000.0,6.81736,0.6194,0.6809,0.0859,0.0782,13.933,0.067,1.391,0.09983492428048518,0.11,35467.0,0.2571
2000.0,7.2733408,0.6607,0.6978,0.0814,0.0771,13.734,0.066,1.318,0.09596621523227028,0.11,35626.0,0.2404
2000.0,7.724851200000001,0.702,0.7121,0.0763,0.0753,13.415,0.064,1.236,0.09213566902720835,0.11,35793.0,0.2236
2000.0,8.180832,0.7433,0.7235,0.0709,0.0728,12.982,0.062,1.148,0.08843013403173625,0.11,35969.0,0.2068
2000.0,8.6368128,0.7846,0.7317,0.0651,0.0698,12.447,0.059,1.055,0.08475937977022575,0.11,36153.0,0.1899
2000.0,9.0883232,0.8259,0.7362,0.0591,0.0663,11.817,0.056,0.957,0.08098502157908098,0.11,36346.0,0.1729
2000.0,9.544304,0.8672,0.7362,0.0529,0.0623,11.099,0.053,0.856,0.0771240652311019,0.11,36546.0,0.1558
2000.0,10.000284800000001,0.9085,0.7307,0.0465,0.0578,10.299,0.049,0.753,0.07311389455286922,0.11,36754.0,0.1384
2000.0,10.4517952,0.9498,0.718,0.04,0.0528,9.42,0.045,0.647,0.06868365180467091,0.11,36970.0,0.1206
2000.0,10.907775999999998,0.9911,0.6955,0.0333,0.0475,8.468,0.04,0.54,0.06376948512045348,0.11,37193.0,0.1022
2000.0,11.3637568,1.0324,0.6589,0.0267,0.0418,7.446,0.036,0.432,0.05801772763900081,0.11,37424.0,0.0832
2000.0,11.8152672,1.0736,0.6004,0.02,0.0357,6.36,0.03,0.323,0.050786163522012574,0.11,37662.0,0.063
2000.0,12.271248,1.1149,0.505,0.0133,0.0293,5.216,0.025,0.215,0.04121932515337423,0.11,37908.0,0.0416
2000.0,12.727228799999999,1.1562,0.3384,0.0066,0.0226,4.021,0.019,0.107,0.02661029594628202,0.11,38160.0,0.019
2000.0,13.1787392,1.1975,0.0023,0.0,0.0156,2.782,0.013,0.0,0.0,0.11,38415.0,0.0
3000.0,0.0,0.0,0.0,0.1056,0.0537,32.296,0.103,3.848,0.11914788209066138,0.15,51201.0,0.51
3000.0,0.6839712,0.0415,0.0795,0.1054,0.055,33.064,0.105,3.84,0.11613839825792402,0.15,51254.0,0.4968
3000.0,1.3679424,0.0829,0.1546,0.1052,0.0564,33.929,0.108,3.833,0.11297120457425801,0.15,51316.0,0.4826
3000.0,2.0519136,0.1244,0.225,0.1049,0.058,34.892,0.111,3.824,0.1095953227100768,0.15,51388.0,0.4677
3000.0,2.7358848,0.1658,0.2904,0.1047,0.0598,35.948,0.114,3.814,0.10609769667297207,0.15,51471.0,0.4521
3000.0,3.4198560000000002,0.2073,0.3507,0.1043,0.0617,37.088,0.118,3.801,0.10248597929249353,0.16,51564.0,0.4361
3000.0,4.1038272,0.2487,0.4058,0.1039,0.0637,38.298,0.122,3.785,0.09883022612146848,0.16,51670.0,0.4196
3000.0,4.7922688,0.2902,0.4559,0.1033,0.0658,39.554,0.126,3.764,0.09516104565909894,0.16,51788.0,0.4029
3000.0,5.47624,0.3316,0.501,0.1025,0.0679,40.827,0.13,3.736,0.09150807063952777,0.16,51918.0,0.386
3000.0,6.1602112,0.3731,0.5416,0.1015,0.0699,42.076,0.134,3.7,0.08793611560034224,0.16,52062.0,0.3691
3000.0,6.8441824,0.4145,0.5778,0.1002,0.0719,43.253,0.138,3.652,0.08443344970291078,0.16,52220.0,0.3521
3000.0,7.5281536,0.456,0.6101,0.0985,0.0736,44.297,0.141,3.59,0.08104386301555411,0.16,52391.0,0.3351
3000.0,8.2121248,0.4974,0.6388,0.0964,0.075,45.137,0.144,3.511,0.07778540886634025,0.16,52576.0,0.3181
3000.0,8.896096,0.5389,0.6643,0.0936,0.076,45.692,0.145,3.412,0.07467390352796989,0.16,52775.0,0.301
3000.0,9.5800672,0.5803,0.6869,0.0903,0.0763,45.885,0.146,3.29,0.07170099160945843,0.16,52987.0,0.2838
3000.0,10.2640384,0.6218,0.7068,0.0863,0.0759,45.663,0.145,3.144,0.06885224361080088,0.16,53214.0,0.2664
3000.0,10.948009599999999,0.6632,0.7242,0.0817,0.0748,45.01,0.143,2.977,0.06614085758720284,0.16,53453.0,0.2491
3000.0,11.6319808,0.7047,0.7392,0.0766,0.073,43.942,0.14,2.792,0.0635383004870056,0.16,53706.0,0.2317
3000.0,12.315952,0.7461,0.7515,0.0711,0.0706,42.486,0.135,2.592,0.06100833215647508,0.16,53972.0,0.2143
3000.0,13.0043936,0.7876,0.7609,0.0653,0.0676,40.674,0.129,2.38,0.05851403845208241,0.16,54250.0,0.197
3000.0,13.6883648,0.829,0.7669,0.0593,0.0641,38.532,0.123,2.159,0.05603135056576352,0.16,54541.0,0.1797
3000.0,14.372335999999999,0.8705,0.7688,0.053,0.06,36.083,0.115,1.93,0.053487792035030346,0.16,54843.0,0.1622
3000.0,15.0563072,0.9119,0.7658,0.0466,0.0554,33.345,0.106,1.696,0.050862198230619285,0.16,55157.0,0.1446
3000.0,15.7402784,0.9534,0.7563,0.04,0.0504,30.333,0.097,1.458,0.04806646226881614,0.16,55483.0,0.1266
3000.0,16.4242496,0.9948,0.7378,0.0334,0.045,27.062,0.086,1.216,0.044933855590865414,0.16,55821.0,0.1081
3000.0,17.1082208,1.0363,0.7061,0.0267,0.0391,23.547,0.075,0.972,0.04127914383997961,0.16,56170.0,0.0888
3000.0,17.792192,1.0777,0.6531,0.02,0.0329,19.806,0.063,0.727,0.03670604867211956,0.16,56529.0,0.0683
3000.0,18.4761632,1.1192,0.5624,0.0133,0.0264,15.861,0.05,0.483,0.03045205220351806,0.16,56900.0,0.0462
3000.0,19.1601344,1.1606,0.3928,0.0066,0.0195,11.739,0.037,0.241,0.02052985773916006,0.16,57280.0,0.0219
3000.0,19.8441056,1.2021,0.0039,0.0,0.0124,7.459,0.024,0.001,0.0001340662287169862,0.17,57662.0,0.0
4000.0,0.0,0.0,0.0,0.1058,0.0521,74.329,0.177,6.851,0.09217129249687202,0.21,68267.0,0.5264
4000.0,0.9164319999999999,0.0415,0.0821,0.1056,0.0534,76.157,0.182,6.838,0.08978820069067847,0.21,68338.0,0.5124
4000.0,1.8283935999999998,0.0831,0.1596,0.1054,0.0549,78.219,0.187,6.825,0.08725501476623328,0.21,68421.0,0.4975
4000.0,2.7448256,0.1246,0.232,0.1051,0.0565,80.515,0.192,6.811,0.08459293299385208,0.21,68518.0,0.4818
4000.0,3.6567871999999997,0.1661,0.2992,0.1049,0.0582,83.037,0.198,6.794,0.0818189481797271,0.21,68628.0,0.4654
4000.0,4.5732192000000005,0.2077,0.361,0.1046,0.0601,85.765,0.205,6.773,0.07897160846499154,0.21,68753.0,0.4485
4000.0,5.485180799999999,0.2492,0.4174,0.1041,0.0622,88.664,0.212,6.746,0.07608499503744474,0.21,68894.0,0.4312
4000.0,6.4016128,0.2907,0.4684,0.1036,0.0643,91.681,0.219,6.71,0.07318855597124814,0.21,69052.0,0.4137
4000.0,7.313574399999999,0.3323,0.5143,0.1029,0.0664,94.743,0.226,6.662,0.07031654053597627,0.21,69227.0,0.3961
4000.0,8.2300064,0.3738,0.5554,0.1019,0.0686,97.756,0.233,6.599,0.06750480788902984,0.21,69419.0,0.3784
4000.0,9.141968,0.4153,0.5921,0.1006,0.0706,100.602,0.24,6.515,0.0647601439335202,0.21,69630.0,0.3608
