rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1702,0.0947,5.509,0.053,1.484,0.26937738246505716,0.06,27875.0,0.5913
1000.0,0.2279904,0.0343,0.06,0.1687,0.0963,5.602,0.053,1.472,0.26276329882184934,0.06,27909.0,0.574
1000.0,0.4559808,0.0686,0.117,0.1671,0.0979,5.695,0.054,1.457,0.255838454784899,0.06,27946.0,0.5563
1000.0,0.6839712,0.1028,0.1707,0.1652,0.0995,5.787,0.055,1.441,0.2490063936409193,0.06,27986.0,0.5383
1000.0,0.9164319999999999,0.1371,0.2214,0.1631,0.101,5.875,0.056,1.422,0.24204255319148935,0.06,28031.0,0.5201
1000.0,1.1444224,0.1714,0.2689,0.1607,0.1024,5.957,0.057,1.402,0.2353533657881484,0.06,28079.0,0.5017
1000.0,1.3724128,0.2057,0.3134,0.158,0.1037,6.031,0.058,1.378,0.22848615486652296,0.06,28132.0,0.4832
1000.0,1.6004032,0.24,0.3549,0.155,0.1048,6.093,0.058,1.351,0.22172985393074018,0.06,28189.0,0.4645
1000.0,1.8283935999999998,0.2743,0.3935,0.1515,0.1056,6.142,0.059,1.322,0.21523933572126344,0.06,28250.0,0.4456
1000.0,2.056384,0.3085,0.4293,0.1477,0.1062,6.174,0.059,1.288,0.20861678004535147,0.06,28316.0,0.4267
1000.0,2.2843744,0.3428,0.4623,0.1435,0.1064,6.186,0.059,1.251,0.20223084384093112,0.06,28387.0,0.4076
1000.0,2.5123648,0.3771,0.4927,0.1388,0.1062,6.176,0.059,1.21,0.195919689119171,0.06,28462.0,0.3884
1000.0,2.7448256,0.4114,0.5205,0.1336,0.1056,6.139,0.059,1.165,0.18977032089916923,0.06,28541.0,0.369
1000.0,2.972816,0.4457,0.5458,0.1279,0.1045,6.075,0.058,1.116,0.1837037037037037,0.06,28625.0,0.3495
1000.0,3.2008064,0.4799,0.5684,0.1218,0.1029,5.982,0.057,1.062,0.17753259779338015,0.06,28714.0,0.3298
1000.0,3.4287967999999998,0.5142,0.5883,0.1153,0.1008,5.86,0.056,1.006,0.17167235494880545,0.06,28807.0,0.31
1000.0,3.6567871999999997,0.5485,0.6055,0.1084,0.0982,5.711,0.055,0.945,0.16547014533356677,0.06,28905.0,0.29
1000.0,3.8847775999999996,0.5828,0.6196,0.1012,0.0952,5.535,0.053,0.883,0.15953026196928635,0.06,29007.0,0.2698
1000.0,4.112768,0.6171,0.6304,0.0937,0.0917,5.334,0.051,0.817,0.15316835395575554,0.06,29114.0,0.2495
1000.0,4.3407584,0.6514,0.6374,0.086,0.0878,5.108,0.049,0.75,0.14682850430696948,0.06,29225.0,0.2289
1000.0,4.5732192000000005,0.6856,0.6402,0.078,0.0835,4.858,0.046,0.68,0.13997529847673942,0.06,29340.0,0.2081
1000.0,4.8012096,0.7199,0.6378,0.0698,0.0788,4.583,0.044,0.609,0.13288239144665065,0.06,29460.0,0.1868
1000.0,5.0292,0.7542,0.6293,0.0615,0.0737,4.286,0.041,0.536,0.12505832944470371,0.06,29584.0,0.1651
1000.0,5.2571904,0.7885,0.6128,0.053,0.0682,3.965,0.038,0.462,0.11651954602774275,0.06,29712.0,0.1428
1000.0,5.485180799999999,0.8228,0.5861,0.0444,0.0623,3.621,0.035,0.387,0.10687655343827672,0.06,29845.0,0.1197
1000.0,5.7131712,0.8571,0.5452,0.0356,0.056,3.255,0.031,0.311,0.09554531490015361,0.06,29982.0,0.0958
1000.0,5.941161599999999,0.8913,0.4839,0.0268,0.0493,2.867,0.027,0.233,0.08126961981164982,0.06,30123.0,0.0709
1000.0,6.1736224,0.9256,0.3912,0.0179,0.0423,2.459,0.023,0.156,0.0634404229361529,0.07,30268.0,0.0451
1000.0,6.4016128,0.9599,0.2459,0.0089,0.0349,2.031,0.019,0.078,0.03840472673559822,0.07,30417.0,0.0193
1000.0,6.6296032,0.9942,0.0012,0.0,0.0273,1.585,0.015,0.0,0.0,0.07,30570.0,0.0
2000.0,0.0,0.0,0.0,0.171,0.0867,40.323,0.193,5.966,0.14795526126528286,0.12,55750.0,0.6511
2000.0,0.4604512,0.0345,0.0663,0.1696,0.0884,41.104,0.196,5.916,0.14392759828727134,0.12,55817.0,0.6306
2000.0,0.9209024,0.0691,0.1288,0.168,0.09,41.891,0.2,5.86,0.13988684920388628,0.12,55892.0,0.6099
2000.0,1.3813536,0.1036,0.1876,0.1661,0.0917,42.669,0.204,5.795,0.13581288523283883,0.13,55974.0,0.589
2000.0,1.8418048,0.1381,0.2427,0.164,0.0933,43.422,0.207,5.722,0.13177651881534708,0.13,56064.0,0.5679
2000.0,2.3022560000000003,0.1726,0.2942,0.1617,0.0949,44.131,0.211,5.64,0.12780131880084294,0.13,56162.0,0.5467
2000.0,2.7627072,0.2072,0.3422,0.159,0.0962,44.774,0.214,5.546,0.12386652968240497,0.13,56268.0,0.5254
2000.0,3.2231584,0.2417,0.3868,0.1559,0.0974,45.33,0.216,5.44,0.12000882417824842,0.13,56383.0,0.5041
2000.0,3.6836096,0.2762,0.4281,0.1525,0.0984,45.774,0.219,5.32,0.11622318346659676,0.13,56508.0,0.4829
2000.0,4.1440608,0.3108,0.4664,0.1487,0.0991,46.082,0.22,5.186,0.11253851829347684,0.13,56641.0,0.4617
2000.0,4.604512000000001,0.3453,0.5017,0.1444,0.0994,46.229,0.221,5.037,0.10895758073936274,0.13,56783.0,0.4405
2000.0,5.0649632,0.3798,0.5341,0.1396,0.0993,46.188,0.221,4.871,0.10546029271672296,0.13,56935.0,0.4193
2000.0,5.5254144,0.4144,0.5639,0.1344,0.0987,45.936,0.219,4.688,0.10205503308951584,0.13,57096.0,0.3981
2000.0,5.9858656,0.4489,0.5911,0.1287,0.0977,45.453,0.217,4.488,0.0987393571381427,0.13,57266.0,0.3768
2000.0,6.4463168,0.4834,0.6157,0.1225,0.0962,44.731,0.214,4.272,0.09550423643558159,0.13,57446.0,0.3556
2000.0,6.906768,0.5179,0.6377,0.1159,0.0941,43.773,0.209,4.042,0.09234002695725675,0.13,57635.0,0.3344
2000.0,7.3672192,0.5525,0.6571,0.1089,0.0915,42.584,0.203,3.798,0.0891884275784332,0.13,57833.0,0.3132
2000.0,7.827670400000001,0.587,0.6738,0.1016,0.0885,41.173,0.197,3.544,0.08607582639108154,0.13,58040.0,0.2919
2000.0,8.2881216,0.6215,0.6874,0.094,0.085,39.546,0.189,3.28,0.08294138471653265,0.13,58256.0,0.2706
2000.0,8.7485728,0.6561,0.6977,0.0862,0.0811,37.707,0.18,3.007,0.07974646617338955,0.13,58480.0,0.2491
2000.0,9.209024000000001,0.6906,0.7043,0.0782,0.0767,35.661,0.17,2.727,0.07647009337932194,0.13,58714.0,0.2275
2000.0,9.669475199999999,0.7251,0.7062,0.0699,0.0718,33.409,0.16,2.44,0.07303421233799276,0.13,58956.0,0.2055
2000.0,10.1299264,0.7597,0.7027,0.0615,0.0665,30.954,0.148,2.147,0.06936098727143503,0.13,59208.0,0.1831
2000.0,10.5903776,0.7942,0.692,0.053,0.0608,28.299,0.135,1.849,0.06533799780910986,0.13,59468.0,0.1601
2000.0,11.0508288,0.8287,0.6716,0.0443,0.0547,25.447,0.121,1.547,0.060793020788305105,0.13,59736.0,0.1361
2000.0,11.51128,0.8632,0.6373,0.0356,0.0482,22.401,0.107,1.24,0.055354671666443464,0.13,60013.0,0.1111
2000.0,11.9717312,0.8978,0.5817,0.0267,0.0412,19.17,0.092,0.931,0.04856546687532603,0.13,60299.0,0.0845
2000.0,12.432182399999999,0.9323,0.4897,0.0178,0.0339,15.76,0.075,0.621,0.03940355329949238,0.13,60594.0,0.0559
2000.0,12.8926336,0.9668,0.328,0.0089,0.0262,12.185,0.058,0.31,0.0254411161263849,0.13,60896.0,0.0255
2000.0,13.3530848,1.0014,-0.0002,0.0,0.0182,8.456,0.04,0.0,0.0,0.13,61205.0,0.0
3000.0,0.0,0.0,0.0,0.1716,0.0835,131.047,0.417,13.467,0.10276465695513824,0.19,83622.0,0.6793
