rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1539,0.0879,4.007,0.038,1.104,0.2755178437733966,0.06,23168.0,0.5479
1000.0,0.2369312,0.0375,0.0639,0.1531,0.0898,4.09,0.039,1.099,0.2687041564792176,0.06,23195.0,0.5326
1000.0,0.4738624,0.0749,0.1243,0.1522,0.0917,4.178,0.04,1.092,0.2613690761129727,0.06,23226.0,0.5168
1000.0,0.715264,0.1124,0.1813,0.1511,0.0937,4.268,0.041,1.085,0.2542174320524836,0.06,23260.0,0.5005
1000.0,0.9521951999999999,0.1498,0.2347,0.1498,0.0957,4.359,0.042,1.075,0.24661619637531543,0.06,23298.0,0.4838
1000.0,1.1891264000000001,0.1873,0.2845,0.1483,0.0976,4.449,0.042,1.064,0.23915486626208138,0.06,23341.0,0.4668
1000.0,1.4260576,0.2247,0.3307,0.1465,0.0995,4.536,0.043,1.051,0.23170194003527336,0.06,23387.0,0.4495
1000.0,1.6629888000000002,0.2622,0.3736,0.1443,0.1013,4.616,0.044,1.036,0.22443674176776432,0.06,23439.0,0.432
1000.0,1.9043903999999998,0.2996,0.4131,0.1418,0.1028,4.686,0.045,1.017,0.2170294494238156,0.06,23494.0,0.4142
1000.0,2.1413216,0.3371,0.4494,0.1388,0.1041,4.742,0.045,0.996,0.21003795866722902,0.06,23555.0,0.3963
1000.0,2.3782528000000003,0.3745,0.4826,0.1352,0.1049,4.781,0.046,0.97,0.20288642543400962,0.06,23620.0,0.3781
1000.0,2.6151839999999997,0.412,0.5129,0.1311,0.1053,4.796,0.046,0.94,0.1959966638865721,0.06,23690.0,0.3597
1000.0,2.8521152,0.4494,0.5404,0.1263,0.105,4.786,0.046,0.906,0.18930213121604683,0.06,23765.0,0.341
1000.0,3.0935167999999997,0.4869,0.5651,0.1209,0.1042,4.747,0.045,0.868,0.18285232778597008,0.06,23844.0,0.322
1000.0,3.330448,0.5243,0.587,0.115,0.1027,4.68,0.045,0.825,0.1762820512820513,0.06,23929.0,0.3029
1000.0,3.5673792,0.5618,0.6061,0.1086,0.1006,4.586,0.044,0.779,0.16986480593109463,0.06,24018.0,0.2836
1000.0,3.8043104,0.5992,0.622,0.1017,0.098,4.465,0.043,0.73,0.16349384098544234,0.06,24112.0,0.2641
1000.0,4.041241599999999,0.6367,0.6346,0.0945,0.0948,4.32,0.041,0.678,0.15694444444444444,0.06,24210.0,0.2445
1000.0,4.2826432,0.6741,0.6434,0.087,0.0911,4.152,0.04,0.624,0.15028901734104047,0.06,24313.0,0.2246
1000.0,4.5195744,0.7116,0.6479,0.0792,0.0869,3.961,0.038,0.568,0.1433981317849028,0.06,24420.0,0.2044
1000.0,4.7565056000000006,0.749,0.6473,0.0711,0.0823,3.749,0.036,0.51,0.13603627634035742,0.06,24532.0,0.1839
1000.0,4.9934368,0.7865,0.6406,0.0628,0.0771,3.515,0.034,0.451,0.1283072546230441,0.06,24648.0,0.1629
1000.0,5.2303679999999995,0.8239,0.6262,0.0544,0.0716,3.261,0.031,0.39,0.11959521619135234,0.06,24768.0,0.1414
