rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.105,0.0446,5.056,0.048,1.563,0.3091376582278481,0.07,32617.0,0.6089
1000.0,0.2145792,0.028,0.0643,0.1038,0.0453,5.135,0.049,1.545,0.3008763388510224,0.07,32642.0,0.5892
1000.0,0.4291584,0.0561,0.125,0.1025,0.046,5.213,0.05,1.525,0.29253788605409553,0.07,32670.0,0.5693
1000.0,0.6392671999999999,0.0841,0.1822,0.101,0.0466,5.287,0.05,1.503,0.28428220162663137,0.07,32701.0,0.5492
1000.0,0.8538464,0.1122,0.2359,0.0994,0.0472,5.357,0.051,1.479,0.27608736232966213,0.07,32735.0,0.5291
1000.0,1.0684256,0.1402,0.2862,0.0976,0.0478,5.421,0.052,1.452,0.267847260653016,0.07,32772.0,0.5089
1000.0,1.2830048,0.1682,0.3332,0.0956,0.0483,5.477,0.052,1.423,0.2598137666605806,0.07,32812.0,0.4886
1000.0,1.497584,0.1963,0.3769,0.0935,0.0487,5.522,0.053,1.391,0.25190148496921405,0.07,32855.0,0.4685
1000.0,1.7076928,0.2243,0.4175,0.0912,0.049,5.555,0.053,1.357,0.2442844284428443,0.07,32902.0,0.4483
1000.0,1.922272,0.2524,0.455,0.0886,0.0492,5.574,0.053,1.319,0.23663437387872263,0.07,32952.0,0.4283
1000.0,2.1368512,0.2804,0.4897,0.0859,0.0492,5.576,0.053,1.278,0.2291965566714491,0.07,33006.0,0.4083
1000.0,2.3514304,0.3084,0.5214,0.0829,0.049,5.559,0.053,1.233,0.22180248246087428,0.07,33063.0,0.3883
1000.0,2.5660096,0.3365,0.5505,0.0797,0.0487,5.522,0.053,1.186,0.21477725461789204,0.07,33123.0,0.3684
1000.0,2.7761184,0.3645,0.5767,0.0762,0.0482,5.464,0.052,1.134,0.20754026354319177,0.07,33188.0,0.3485
1000.0,2.9906976000000003,0.3926,0.6001,0.0725,0.0475,5.381,0.051,1.08,0.20070618844081026,0.07,33256.0,0.3285
1000.0,3.2052768,0.4206,0.6207,0.0686,0.0465,5.274,0.05,1.021,0.19359120212362532,0.07,33327.0,0.3085
1000.0,3.4198560000000002,0.4487,0.6382,0.0645,0.0453,5.14,0.049,0.96,0.1867704280155642,0.07,33403.0,0.2882
1000.0,3.6344352000000004,0.4767,0.6525,0.0601,0.0439,4.98,0.048,0.895,0.17971887550200802,0.07,33482.0,0.2678
1000.0,3.844544,0.5047,0.6631,0.0556,0.0423,4.795,0.046,0.827,0.17247132429614181,0.07,33564.0,0.247
1000.0,4.0591232,0.5328,0.6695,0.0508,0.0404,4.586,0.044,0.756,0.1648495420846053,0.07,33651.0,0.226
1000.0,4.2737024,0.5608,0.6711,0.046,0.0384,4.355,0.042,0.684,0.15706084959816302,0.07,33740.0,0.2047
1000.0,4.4882816,0.5889,0.667,0.041,0.0362,4.102,0.039,0.61,0.1487079473427596,0.07,33834.0,0.1829
1000.0,4.7028608,0.6169,0.6558,0.0359,0.0338,3.83,0.037,0.534,0.13942558746736292,0.07,33931.0,0.1607
1000.0,4.9129696,0.6449,0.6357,0.0308,0.0312,3.54,0.034,0.458,0.12937853107344632,0.07,34032.0,0.138
1000.0,5.1275488000000005,0.673,0.6043,0.0256,0.0285,3.232,0.031,0.381,0.11788366336633663,0.07,34136.0,0.1146
1000.0,5.342128,0.701,0.5574,0.0204,0.0257,2.909,0.028,0.304,0.10450326572705397,0.07,34244.0,0.0906
1000.0,5.5567072,0.7291,0.4891,0.0152,0.0227,2.572,0.025,0.226,0.08786936236391912,0.07,34355.0,0.066
1000.0,5.7712864,0.7571,0.389,0.0101,0.0196,2.224,0.021,0.15,0.06744604316546762,0.07,34470.0,0.0412
1000.0,5.981395200000001,0.7851,0.2392,0.005,0.0165,1.866,0.018,0.075,0.04019292604501607,0.07,34588.0,0.0172
1000.0,6.1959744,0.8132,0.0038,0.0001,0.0132,1.502,0.014,0.001,0.0006657789613848203,0.07,34710.0,0.0
2000.0,0.0,0.0,0.0,0.1054,0.0416,37.693,0.18,6.272,0.16639694372960498,0.14,65232.0,0.6568
2000.0,0.4291584,0.0282,0.0694,0.1042,0.0423,38.367,0.183,6.201,0.16162326999765422,0.14,65284.0,0.6343
