rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0773,0.0306,3.472,0.033,1.15,0.331221198156682,0.07,38475.0,0.56
1000.0,0.1430528,0.0189,0.0466,0.0757,0.0307,3.482,0.033,1.126,0.3233773693279724,0.07,38495.0,0.5409
1000.0,0.2861056,0.0378,0.091,0.074,0.0308,3.489,0.033,1.101,0.31556319862424764,0.07,38516.0,0.5216
1000.0,0.4336288,0.0568,0.133,0.0722,0.0308,3.492,0.033,1.074,0.3075601374570447,0.07,38538.0,0.5023
1000.0,0.5766816,0.0757,0.1727,0.0703,0.0308,3.492,0.033,1.046,0.2995418098510882,0.07,38561.0,0.4829
1000.0,0.7197344,0.0946,0.2102,0.0683,0.0308,3.487,0.033,1.017,0.2916547175222254,0.07,38586.0,0.4634
1000.0,0.8627872,0.1135,0.2453,0.0663,0.0307,3.478,0.033,0.986,0.28349626221966645,0.07,38612.0,0.4438
1000.0,1.0103103999999998,0.1324,0.278,0.0641,0.0305,3.464,0.033,0.954,0.2754041570438799,0.07,38639.0,0.4242
1000.0,1.1533632,0.1513,0.3085,0.0619,0.0304,3.445,0.033,0.921,0.2673439767779391,0.07,38668.0,0.4046
1000.0,1.296416,0.1703,0.3365,0.0596,0.0302,3.42,0.033,0.887,0.25935672514619884,0.07,38698.0,0.385
1000.0,1.4394688,0.1892,0.3621,0.0572,0.0299,3.39,0.032,0.851,0.2510324483775811,0.07,38730.0,0.3653
1000.0,1.586992,0.2081,0.3853,0.0548,0.0296,3.353,0.032,0.815,0.2430659111243662,0.07,38764.0,0.3457
1000.0,1.7300448,0.227,0.4059,0.0522,0.0292,3.311,0.032,0.777,0.23467230443974632,0.07,38799.0,0.326
1000.0,1.8730976000000001,0.2459,0.4239,0.0496,0.0288,3.262,0.031,0.738,0.22624156958920907,0.07,38835.0,0.3063
1000.0,2.0161504,0.2649,0.4392,0.0469,0.0283,3.207,0.031,0.698,0.21764889304646087,0.07,38874.0,0.2866
1000.0,2.1636736,0.2838,0.4517,0.0441,0.0277,3.144,0.03,0.657,0.20896946564885496,0.07,38913.0,0.2668
1000.0,2.3067264,0.3027,0.4611,0.0413,0.0271,3.075,0.029,0.615,0.19999999999999998,0.07,38955.0,0.2471
1000.0,2.4497792,0.3216,0.4673,0.0384,0.0264,2.998,0.029,0.572,0.19079386257505002,0.07,38998.0,0.2273
1000.0,2.592832,0.3405,0.47,0.0355,0.0257,2.914,0.028,0.528,0.18119423472889498,0.07,39044.0,0.2074
1000.0,2.7403551999999998,0.3595,0.4688,0.0325,0.0249,2.821,0.027,0.483,0.17121588089330023,0.07,39091.0,0.1875
1000.0,2.883408,0.3784,0.4633,0.0294,0.024,2.721,0.026,0.437,0.16060271958838662,0.07,39139.0,0.1675
1000.0,3.0264607999999997,0.3973,0.4528,0.0263,0.023,2.613,0.025,0.391,0.14963643321852277,0.07,39190.0,0.1474
1000.0,3.1695135999999997,0.4162,0.4366,0.0231,0.022,2.496,0.024,0.344,0.1378205128205128,0.07,39242.0,0.1272
1000.0,3.3170368,0.4351,0.4137,0.0199,0.0209,2.371,0.023,0.296,0.12484183888654575,0.07,39297.0,0.107
1000.0,3.4600896,0.454,0.3826,0.0166,0.0197,2.238,0.021,0.248,0.11081322609472744,0.07,39353.0,0.0867
1000.0,3.6031424000000003,0.473,0.3416,0.0134,0.0185,2.097,0.02,0.199,0.09489747257987602,0.07,39411.0,0.0666
1000.0,3.7461952000000003,0.4919,0.2878,0.01,0.0172,1.947,0.019,0.15,0.07704160246533127,0.07,39471.0,0.0468
1000.0,3.8937184000000005,0.5108,0.2177,0.0067,0.0158,1.789,0.017,0.1,0.05589714924538849,0.07,39532.0,0.0279
1000.0,4.0367712,0.5297,0.1253,0.0034,0.0143,1.622,0.015,0.05,0.030826140567200986,0.07,39596.0,0.011
1000.0,4.179824,0.5486,0.0013,0.0,0.0128,1.448,0.014,0.0,0.0,0.07,39659.0,0.0
2000.0,0.0,0.0,0.0,0.0777,0.027,24.479,0.117,4.624,0.18889660525348256,0.14,76949.0,0.6402
2000.0,0.2950464,0.0193,0.0543,0.076,0.0271,24.582,0.117,4.525,0.1840777804897893,0.14,76990.0,0.6172
2000.0,0.5900928,0.0387,0.1057,0.0743,0.0272,24.659,0.118,4.421,0.17928545358692569,0.14,77032.0,0.5942
2000.0,0.8851392,0.058,0.1543,0.0724,0.0272,24.706,0.118,4.312,0.1745325022261799,0.14,77078.0,0.5712
2000.0,1.1801856,0.0774,0.2002,0.0705,0.0273,24.72,0.118,4.197,0.16978155339805825,0.14,77126.0,0.5483
2000.0,1.4752319999999999,0.0967,0.2433,0.0685,0.0272,24.697,0.118,4.077,0.16508077904198892,0.14,77176.0,0.5254
2000.0,1.7702784,0.116,0.2837,0.0664,0.0272,24.634,0.118,3.952,0.16042867581391573,0.14,77230.0,0.5026
2000.0,2.0653248,0.1354,0.3214,0.0642,0.027,24.528,0.117,3.821,0.15578114807566865,0.14,77287.0,0.48
2000.0,2.3559007999999997,0.1547,0.3564,0.0619,0.0269,24.378,0.116,3.685,0.1511608827631471,0.14,77346.0,0.4574
2000.0,2.6509471999999996,0.1741,0.3888,0.0595,0.0267,24.179,0.115,3.544,0.1465734728483395,0.14,77409.0,0.4349
2000.0,2.9459936,0.1934,0.4185,0.0571,0.0264,23.931,0.114,3.398,0.14199155906564706,0.14,77475.0,0.4125
2000.0,3.24104,0.2127,0.4454,0.0545,0.026,23.63,0.113,3.246,0.1373677528565383,0.14,77544.0,0.3902
2000.0,3.5360864,0.2321,0.4697,0.0519,0.0257,23.274,0.111,3.091,0.13280914324997853,0.14,77616.0,0.3679
2000.0,3.8311328000000002,0.2514,0.4911,0.0492,0.0252,22.86,0.109,2.93,0.12817147856517935,0.14,77692.0,0.3458
2000.0,4.1261792,0.2708,0.5097,0.0465,0.0247,22.387,0.107,2.765,0.12350917943449323,0.14,77771.0,0.3237
2000.0,4.4212256000000005,0.2901,0.5252,0.0436,0.0241,21.851,0.104,2.596,0.1188046313669855,0.14,77854.0,0.3017
2000.0,4.716272,0.3094,0.5376,0.0407,0.0234,21.251,0.101,2.423,0.11401816385111288,0.14,77940.0,0.2797
2000.0,5.0113184,0.3288,0.5465,0.0377,0.0227,20.585,0.098,2.245,0.10905999514209376,0.14,78031.0,0.2576
2000.0,5.3063648,0.3481,0.5517,0.0347,0.0219,19.851,0.095,2.064,0.10397461085083876,0.14,78124.0,0.2355
2000.0,5.601411199999999,0.3675,0.5527,0.0316,0.021,19.046,0.091,1.88,0.09870839021316812,0.14,78222.0,0.2133
2000.0,5.8964576,0.3868,0.549,0.0284,0.02,18.169,0.087,1.692,0.09312565358577797,0.14,78323.0,0.1909
2000.0,6.191504,0.4061,0.5396,0.0252,0.019,17.22,0.082,1.501,0.08716608594657375,0.14,78428.0,0.1683
2000.0,6.48208,0.4255,0.5235,0.022,0.0179,16.196,0.077,1.308,0.08076068164979007,0.14,78537.0,0.1455
2000.0,6.7771264,0.4448,0.499,0.0187,0.0166,15.098,0.072,1.111,0.07358590541793615,0.14,78650.0,0.1223
2000.0,7.0721728,0.4642,0.4639,0.0153,0.0154,13.924,0.066,0.913,0.06557023843723069,0.14,78767.0,0.0988
2000.0,7.3672192,0.4835,0.4146,0.012,0.014,12.676,0.061,0.713,0.056248027769012304,0.14,78888.0,0.0749
2000.0,7.6622656000000005,0.5028,0.3455,0.0086,0.0125,11.354,0.054,0.512,0.0450942399154483,0.14,79012.0,0.0508
2000.0,7.957312,0.5222,0.2476,0.0052,0.011,9.959,0.048,0.31,0.031127623255346924,0.14,79141.0,0.0273
2000.0,8.2523584,0.5415,0.1042,0.0018,0.0094,8.492,0.041,0.107,0.012600094206311821,0.14,79272.0,0.0065
3000.0,0.0,0.0,0.0,0.0781,0.0256,78.251,0.249,10.457,0.13363407496389823,0.21,115421.0,0.6811
3000.0,0.4336288,0.0191,0.0567,0.0764,0.0257,78.624,0.25,10.238,0.13021469271469271,0.21,115481.0,0.6567
3000.0,0.871728,0.0381,0.1105,0.0747,0.0258,78.91,0.251,10.007,0.1268153592700545,0.21,115544.0,0.6323
3000.0,1.3053568,0.0572,0.1614,0.0729,0.0258,79.096,0.252,9.764,0.1234449276828158,0.21,115611.0,0.608
3000.0,1.743456,0.0763,0.2094,0.071,0.0259,79.171,0.252,9.51,0.120119740814187,0.21,115682.0,0.5839
3000.0,2.1770848,0.0953,0.2546,0.069,0.0258,79.124,0.252,9.244,0.11682928062281989,0.21,115757.0,0.5598
3000.0,2.6151839999999997,0.1144,0.297,0.0669,0.0258,78.945,0.251,8.966,0.1135727405155488,0.21,115836.0,0.536
3000.0,3.0488128,0.1334,0.3366,0.0648,0.0257,78.625,0.25,8.676,0.11034658187599364,0.21,115920.0,0.5123
3000.0,3.486912,0.1525,0.3736,0.0625,0.0255,78.154,0.249,8.375,0.107160222125547,0.21,116007.0,0.4888
3000.0,3.9205408,0.1716,0.4079,0.0602,0.0253,77.525,0.247,8.062,0.1039922605611093,0.21,116100.0,0.4654
3000.0,4.35864,0.1906,0.4395,0.0578,0.0251,76.728,0.244,7.739,0.10086278803044521,0.21,116196.0,0.4422
3000.0,4.7922688,0.2097,0.4685,0.0553,0.0247,75.755,0.241,7.404,0.09773612302818296,0.21,116298.0,0.4192
3000.0,5.2303679999999995,0.2288,0.4949,0.0527,0.0244,74.598,0.237,7.059,0.09462720180165689,0.21,116404.0,0.3963
3000.0,5.6639968,0.2478,0.5185,0.0501,0.0239,73.25,0.233,6.704,0.0915221843003413,0.21,116516.0,0.3735
3000.0,6.102096,0.2669,0.5394,0.0473,0.0234,71.701,0.228,6.339,0.08840880880322452,0.21,116632.0,0.3509
3000.0,6.5357248,0.286,0.5575,0.0445,0.0228,69.944,0.223,5.965,0.08528251172366465,0.22,116753.0,0.3283
3000.0,6.973824,0.305,0.5726,0.0417,0.0222,67.973,0.216,5.582,0.08212084209906875,0.22,116880.0,0.3058
3000.0,7.4074528,0.3241,0.5845,0.0387,0.0215,65.779,0.209,5.189,0.07888535854908102,0.22,117012.0,0.2833
3000.0,7.8455520000000005,0.3431,0.593,0.0358,0.0207,63.355,0.202,4.789,0.07558992976087128,0.22,117149.0,0.2607
3000.0,8.279180799999999,0.3622,0.5976,0.0327,0.0198,60.696,0.193,4.381,0.07217938579148545,0.22,117292.0,0.2381
