rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0911,0.0356,7.734,0.074,2.28,0.29480217222653216,0.08,45241.0,0.6159
1000.0,0.2056384,0.0235,0.0585,0.0896,0.036,7.821,0.075,2.244,0.28691983122362874,0.08,45270.0,0.5947
1000.0,0.4068064,0.047,0.1138,0.0881,0.0364,7.902,0.075,2.205,0.27904328018223234,0.08,45301.0,0.5734
1000.0,0.6124448,0.0705,0.1659,0.0864,0.0367,7.975,0.076,2.163,0.2712225705329154,0.08,45336.0,0.5519
1000.0,0.8136128,0.094,0.2148,0.0846,0.037,8.038,0.077,2.117,0.2633739736252799,0.08,45372.0,0.5305
1000.0,1.0192511999999998,0.1175,0.2607,0.0826,0.0372,8.089,0.077,2.069,0.25577945357893433,0.08,45412.0,0.509
1000.0,1.2248896,0.141,0.3036,0.0805,0.0374,8.125,0.078,2.016,0.24812307692307692,0.08,45455.0,0.4876
1000.0,1.4260576,0.1645,0.3434,0.0783,0.0375,8.145,0.078,1.96,0.24063842848373235,0.08,45500.0,0.4662
1000.0,1.631696,0.188,0.3803,0.0759,0.0375,8.146,0.078,1.899,0.23312054996317208,0.08,45549.0,0.4447
1000.0,1.8328639999999998,0.2114,0.4144,0.0733,0.0374,8.126,0.078,1.835,0.22581836081713022,0.08,45600.0,0.4233
1000.0,2.0385023999999996,0.2349,0.4456,0.0706,0.0372,8.083,0.077,1.766,0.2184832364221205,0.08,45655.0,0.402
1000.0,2.2441408,0.2584,0.474,0.0677,0.0369,8.016,0.077,1.694,0.21132734530938124,0.08,45713.0,0.3806
1000.0,2.4453088,0.2819,0.4995,0.0646,0.0365,7.925,0.076,1.618,0.2041640378548896,0.08,45774.0,0.3594
1000.0,2.6509471999999996,0.3054,0.5222,0.0615,0.0359,7.809,0.075,1.539,0.1970802919708029,0.08,45839.0,0.3382
1000.0,2.8565856,0.3289,0.542,0.0582,0.0353,7.669,0.073,1.456,0.18985526144216977,0.08,45907.0,0.3171
1000.0,3.0577536,0.3524,0.5588,0.0548,0.0345,7.502,0.072,1.371,0.18275126632897895,0.08,45978.0,0.296
1000.0,3.263392,0.3759,0.5724,0.0512,0.0336,7.31,0.07,1.283,0.17551299589603284,0.08,46053.0,0.275
1000.0,3.46456,0.3994,0.5827,0.0476,0.0326,7.092,0.068,1.192,0.16807670614777215,0.08,46131.0,0.254
1000.0,3.6701984000000003,0.4229,0.5893,0.0439,0.0315,6.848,0.065,1.1,0.16063084112149534,0.08,46212.0,0.233
1000.0,3.8758368,0.4464,0.5919,0.0401,0.0303,6.577,0.063,1.005,0.15280523034818305,0.08,46297.0,0.212
1000.0,4.077004799999999,0.4699,0.5898,0.0363,0.0289,6.279,0.06,0.908,0.14460901417423158,0.08,46386.0,0.1908
1000.0,4.2826432,0.4934,0.5824,0.0324,0.0274,5.954,0.057,0.81,0.13604299630500505,0.08,46478.0,0.1694
1000.0,4.4838112,0.5169,0.5686,0.0284,0.0258,5.602,0.053,0.71,0.12674044983934307,0.08,46574.0,0.1478
1000.0,4.6894496,0.5404,0.5469,0.0243,0.024,5.223,0.05,0.609,0.11659965537047674,0.08,46673.0,0.126
1000.0,4.895087999999999,0.5639,0.5152,0.0203,0.0222,4.818,0.046,0.507,0.10523038605230386,0.08,46776.0,0.1038
1000.0,5.096256,0.5874,0.4703,0.0162,0.0202,4.387,0.042,0.405,0.0923182129017552,0.08,46882.0,0.0812
1000.0,5.301894399999999,0.6108,0.4072,0.0121,0.0181,3.932,0.038,0.302,0.0768056968463886,0.08,46992.0,0.0584
1000.0,5.5030624,0.6343,0.3181,0.008,0.0159,3.454,0.033,0.2,0.05790387955993052,0.08,47105.0,0.0357
1000.0,5.7087008,0.6578,0.1887,0.0039,0.0136,2.954,0.028,0.098,0.03317535545023697,0.08,47221.0,0.0143
