rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0966,0.0383,8.327,0.08,2.42,0.2906208718626156,0.08,47571.0,0.6255
1000.0,0.201168,0.0231,0.0568,0.095,0.0387,8.406,0.08,2.379,0.2830121341898644,0.08,47602.0,0.6041
1000.0,0.402336,0.0463,0.1107,0.0933,0.039,8.479,0.081,2.335,0.2753862483783465,0.08,47637.0,0.5825
1000.0,0.603504,0.0694,0.1615,0.0914,0.0393,8.542,0.082,2.289,0.26797003043783657,0.08,47674.0,0.5609
1000.0,0.804672,0.0926,0.2093,0.0894,0.0396,8.595,0.082,2.239,0.260500290866783,0.08,47713.0,0.5393
1000.0,1.00584,0.1157,0.2542,0.0873,0.0397,8.635,0.082,2.185,0.25303995367689636,0.08,47756.0,0.5177
1000.0,1.207008,0.1389,0.2962,0.085,0.0399,8.66,0.083,2.128,0.24572748267898384,0.08,47801.0,0.496
1000.0,1.4081759999999999,0.162,0.3353,0.0826,0.0399,8.667,0.083,2.067,0.23849082727587403,0.08,47849.0,0.4744
1000.0,1.6048736,0.1852,0.3717,0.08,0.0398,8.655,0.083,2.002,0.2313113807047949,0.08,47901.0,0.4528
1000.0,1.8060416,0.2083,0.4053,0.0772,0.0397,8.622,0.082,1.933,0.2241939225237764,0.08,47955.0,0.4313
1000.0,2.0072096,0.2315,0.4361,0.0743,0.0394,8.565,0.082,1.86,0.21716287215411562,0.08,48012.0,0.4097
1000.0,2.2083776,0.2546,0.4643,0.0712,0.0391,8.485,0.081,1.783,0.21013553329404833,0.08,48073.0,0.3883
1000.0,2.4095456,0.2778,0.4897,0.068,0.0386,8.38,0.08,1.702,0.20310262529832934,0.08,48137.0,0.3668
1000.0,2.6107136,0.3009,0.5124,0.0647,0.038,8.249,0.079,1.619,0.19626621408655592,0.08,48204.0,0.3454
1000.0,2.8118816,0.3241,0.5322,0.0612,0.0373,8.093,0.077,1.532,0.18929939453849007,0.08,48275.0,0.3241
1000.0,3.0130496,0.3472,0.5491,0.0576,0.0364,7.912,0.076,1.442,0.18225480283114256,0.08,48349.0,0.3028
1000.0,3.2142176,0.3704,0.563,0.0539,0.0355,7.705,0.074,1.349,0.17508111615833874,0.08,48426.0,0.2816
1000.0,3.4153856,0.3935,0.5735,0.0501,0.0344,7.471,0.071,1.255,0.1679828670860661,0.08,48507.0,0.2603
1000.0,3.6165536,0.4167,0.5805,0.0462,0.0332,7.21,0.069,1.157,0.16047156726768377,0.08,48591.0,0.239
1000.0,3.8177215999999996,0.4398,0.5834,0.0423,0.0319,6.923,0.066,1.058,0.15282392026578073,0.08,48679.0,0.2176
1000.0,4.0188896,0.4629,0.5819,0.0382,0.0304,6.608,0.063,0.957,0.14482445520581114,0.08,48770.0,0.1961
1000.0,4.2200576,0.4861,0.5751,0.0341,0.0288,6.265,0.06,0.854,0.13631284916201117,0.08,48865.0,0.1744
1000.0,4.4212256000000005,0.5092,0.5621,0.0299,0.0271,5.895,0.056,0.75,0.1272264631043257,0.08,48964.0,0.1524
1000.0,4.6223936,0.5324,0.5412,0.0257,0.0253,5.498,0.053,0.644,0.11713350309203346,0.08,49066.0,0.1301
1000.0,4.8190912,0.5555,0.5105,0.0215,0.0234,5.073,0.048,0.537,0.10585452395032525,0.08,49171.0,0.1074
1000.0,5.0202592,0.5787,0.4667,0.0172,0.0213,4.622,0.044,0.43,0.09303331890956296,0.08,49281.0,0.0843
1000.0,5.2214272,0.6018,0.405,0.0128,0.0191,4.144,0.04,0.321,0.07746138996138996,0.08,49393.0,0.0608
1000.0,5.4225952,0.625,0.3174,0.0085,0.0168,3.642,0.035,0.213,0.05848434925864909,0.08,49510.0,0.0374
1000.0,5.6237632,0.6481,0.1897,0.0042,0.0143,3.117,0.03,0.105,0.03368623676612127,0.08,49630.0,0.0151
1000.0,5.8249312,0.6713,-0.0064,-0.0001,0.0118,2.566,0.025,-0.003,-0.0011691348402182386,0.08,49750.0,0.0
2000.0,0.0,0.0,0.0,0.0971,0.0349,60.677,0.29,9.727,0.16030785965027936,0.16,95139.0,0.692
2000.0,0.402336,0.0233,0.0629,0.0955,0.0353,61.372,0.293,9.565,0.1558528319103174,0.16,95203.0,0.6671
2000.0,0.8091424,0.0465,0.1222,0.0938,0.0357,62.012,0.296,9.39,0.15142230536025286,0.16,95272.0,0.6422
2000.0,1.2114784,0.0698,0.1781,0.0919,0.036,62.58,0.299,9.203,0.14705976350271652,0.16,95347.0,0.6174
2000.0,1.6138143999999999,0.093,0.2305,0.0899,0.0363,63.061,0.301,9.002,0.14275066998620384,0.16,95426.0,0.5928
2000.0,2.0161504,0.1163,0.2795,0.0878,0.0365,63.437,0.303,8.787,0.13851537746110315,0.16,95512.0,0.5683
2000.0,2.4229568,0.1395,0.3254,0.0855,0.0366,63.692,0.304,8.558,0.1343653834076493,0.16,95603.0,0.5439
2000.0,2.8252928,0.1628,0.368,0.083,0.0367,63.806,0.305,8.312,0.13026988057549446,0.16,95700.0,0.5198
2000.0,3.2276287999999997,0.186,0.4077,0.0804,0.0367,63.761,0.304,8.051,0.126268408588322,0.16,95803.0,0.4958
2000.0,3.6344352000000004,0.2093,0.4443,0.0776,0.0366,63.539,0.303,7.773,0.12233431435811076,0.16,95913.0,0.472
2000.0,4.0367712,0.2325,0.4781,0.0747,0.0363,63.126,0.301,7.478,0.11846148971897474,0.16,96029.0,0.4483
2000.0,4.4391072,0.2558,0.5091,0.0716,0.036,62.514,0.298,7.168,0.11466231564129635,0.16,96151.0,0.4249
