rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0881,0.034,7.397,0.071,2.205,0.2980938218196566,0.08,45252.0,0.6125
1000.0,0.1966976,0.0227,0.0573,0.0866,0.0344,7.472,0.071,2.169,0.29028372591006424,0.08,45280.0,0.5915
1000.0,0.3933952,0.0455,0.1114,0.0851,0.0347,7.541,0.072,2.13,0.2824559077045484,0.08,45310.0,0.5703
1000.0,0.5900928,0.0682,0.1625,0.0834,0.035,7.603,0.073,2.088,0.27462843614362753,0.08,45342.0,0.5491
1000.0,0.7912608,0.0909,0.2106,0.0816,0.0352,7.655,0.073,2.043,0.26688438928804703,0.08,45378.0,0.5279
1000.0,0.9879584,0.1137,0.2557,0.0797,0.0354,7.697,0.074,1.995,0.25919189294530337,0.08,45415.0,0.5066
1000.0,1.184656,0.1364,0.2978,0.0776,0.0356,7.726,0.074,1.944,0.2516179135387005,0.08,45456.0,0.4853
1000.0,1.3813536,0.1591,0.337,0.0754,0.0356,7.739,0.074,1.889,0.24408838351208167,0.08,45499.0,0.4641
1000.0,1.5780512,0.1819,0.3734,0.0731,0.0356,7.736,0.074,1.83,0.23655635987590487,0.08,45545.0,0.4428
1000.0,1.7747488,0.2046,0.4069,0.0706,0.0355,7.714,0.074,1.768,0.22919367383977182,0.08,45593.0,0.4216
1000.0,1.9714464,0.2273,0.4376,0.068,0.0353,7.672,0.073,1.702,0.2218456725755996,0.08,45645.0,0.4004
1000.0,2.168144,0.2501,0.4656,0.0652,0.035,7.607,0.073,1.632,0.21453924017352435,0.08,45700.0,0.3792
1000.0,2.369312,0.2728,0.4907,0.0623,0.0346,7.521,0.072,1.559,0.20728626512431858,0.08,45758.0,0.3581
1000.0,2.5660096,0.2956,0.513,0.0592,0.0341,7.412,0.071,1.483,0.20008094981111713,0.08,45818.0,0.337
1000.0,2.7627072,0.3183,0.5325,0.0561,0.0335,7.28,0.07,1.403,0.19271978021978023,0.08,45882.0,0.316
1000.0,2.9594048,0.341,0.5489,0.0528,0.0328,7.125,0.068,1.321,0.18540350877192982,0.08,45949.0,0.2951
1000.0,3.1561024,0.3638,0.5622,0.0494,0.032,6.946,0.066,1.237,0.17808810826374893,0.08,46020.0,0.2741
1000.0,3.3528,0.3865,0.5722,0.0459,0.031,6.743,0.064,1.15,0.1705472341687676,0.08,46093.0,0.2532
1000.0,3.5494976,0.4092,0.5785,0.0424,0.03,6.516,0.062,1.061,0.16282995702885206,0.08,46170.0,0.2322
1000.0,3.7506656,0.432,0.5808,0.0388,0.0288,6.264,0.06,0.97,0.15485312899106002,0.08,46250.0,0.2112
1000.0,3.9473632,0.4547,0.5785,0.0351,0.0276,5.987,0.057,0.878,0.14665107733422414,0.08,46333.0,0.1901
1000.0,4.1440608,0.4774,0.5709,0.0313,0.0262,5.685,0.054,0.783,0.13773087071240106,0.08,46420.0,0.1688
1000.0,4.3407584,0.5002,0.557,0.0275,0.0247,5.359,0.051,0.688,0.128382160850905,0.08,46510.0,0.1472
1000.0,4.537456,0.5229,0.5352,0.0236,0.023,5.007,0.048,0.591,0.11803475134811264,0.08,46603.0,0.1254
1000.0,4.7341536,0.5456,0.5037,0.0197,0.0213,4.63,0.044,0.493,0.10647948164146868,0.08,46700.0,0.1033
1000.0,4.930851199999999,0.5684,0.4592,0.0157,0.0195,4.229,0.04,0.394,0.0931662331520454,0.08,46800.0,0.0808
1000.0,5.1320192,0.5911,0.3971,0.0118,0.0175,3.805,0.036,0.295,0.07752956636005255,0.08,46903.0,0.0582
1000.0,5.3287168,0.6138,0.3099,0.0078,0.0155,3.359,0.032,0.195,0.058052991961893424,0.08,47010.0,0.0356
1000.0,5.5254144,0.6366,0.1845,0.0039,0.0133,2.892,0.028,0.097,0.03354080221300138,0.08,47119.0,0.0144
1000.0,5.722112,0.6593,-0.0046,-0.0001,0.0111,2.404,0.023,-0.002,-0.0008319467554076539,0.08,47229.0,0.0
2000.0,0.0,0.0,0.0,0.0885,0.0308,53.503,0.255,8.864,0.16567295291852796,0.16,90501.0,0.6826
2000.0,0.3978656,0.0228,0.0638,0.0871,0.0312,54.164,0.259,8.719,0.16097407872387562,0.16,90558.0,0.6578
2000.0,0.7912608,0.0457,0.1239,0.0855,0.0315,54.779,0.262,8.563,0.15631902736450098,0.16,90619.0,0.6331
2000.0,1.1891264000000001,0.0685,0.1804,0.0838,0.0318,55.334,0.264,8.396,0.15173311164925724,0.16,90684.0,0.6084
2000.0,1.586992,0.0914,0.2334,0.082,0.0321,55.815,0.266,8.216,0.14720057332258352,0.16,90755.0,0.5839
2000.0,1.9803871999999998,0.1142,0.2829,0.0801,0.0323,56.208,0.268,8.023,0.14273768858525476,0.16,90831.0,0.5596
2000.0,2.3782528000000003,0.137,0.3291,0.0781,0.0325,56.495,0.27,7.817,0.13836622709974336,0.16,90912.0,0.5354
2000.0,2.7761184,0.1599,0.372,0.0759,0.0326,56.661,0.271,7.596,0.1340604648700164,0.16,90999.0,0.5113
2000.0,3.1695135999999997,0.1827,0.4117,0.0735,0.0326,56.688,0.271,7.36,0.12983347445667515,0.16,91092.0,0.4875
2000.0,3.5673792,0.2055,0.4484,0.071,0.0325,56.56,0.27,7.109,0.1256895332390382,0.16,91190.0,0.4638
2000.0,3.9652448,0.2284,0.4821,0.0683,0.0324,56.263,0.269,6.843,0.12162522439258483,0.16,91294.0,0.4403
2000.0,4.35864,0.2512,0.5129,0.0655,0.0321,55.786,0.266,6.563,0.11764600437385724,0.16,91405.0,0.4171
2000.0,4.7565056000000006,0.2741,0.5409,0.0626,0.0317,55.124,0.263,6.268,0.11370727813656482,0.16,91521.0,0.394
2000.0,5.1543712,0.2969,0.566,0.0595,0.0312,54.272,0.259,5.961,0.10983564268867925,0.16,91644.0,0.3711
2000.0,5.5477663999999995,0.3197,0.5882,0.0563,0.0306,53.226,0.254,5.642,0.10600082666366062,0.16,91772.0,0.3484
2000.0,5.945632,0.3426,0.6076,0.053,0.0299,51.984,0.248,5.312,0.10218528778085564,0.16,91908.0,0.3259
2000.0,6.3434976,0.3654,0.6239,0.0496,0.0291,50.54,0.241,4.972,0.09837752275425407,0.16,92049.0,0.3035
2000.0,6.7368928,0.3882,0.6371,0.0462,0.0281,48.893,0.233,4.622,0.09453295972838648,0.16,92198.0,0.2813
2000.0,7.1347584,0.4111,0.6468,0.0426,0.0271,47.039,0.225,4.264,0.09064818554816216,0.16,92352.0,0.2591
2000.0,7.532624,0.4339,0.6528,0.0389,0.0259,44.974,0.215,3.898,0.08667229955085161,0.16,92514.0,0.2369
2000.0,7.9260192,0.4568,0.6546,0.0352,0.0246,42.697,0.204,3.525,0.08255849357097687,0.16,92681.0,0.2146
2000.0,8.3238848,0.4796,0.6514,0.0314,0.0231,40.206,0.192,3.146,0.078247027806795,0.16,92856.0,0.1921
2000.0,8.721750400000001,0.5024,0.6421,0.0276,0.0216,37.499,0.179,2.761,0.07362863009680258,0.16,93038.0,0.1693
2000.0,9.1151456,0.5253,0.6252,0.0237,0.0199,34.578,0.165,2.371,0.06856961073514951,0.16,93226.0,0.1461
2000.0,9.513011200000001,0.5481,0.5983,0.0197,0.0181,31.444,0.15,1.978,0.06290548276300725,0.17,93421.0,0.1224
2000.0,9.9108768,0.5709,0.5576,0.0158,0.0162,28.104,0.134,1.581,0.05625533731853117,0.17,93622.0,0.0979
2000.0,10.304272000000001,0.5938,0.4967,0.0118,0.0141,24.564,0.117,1.184,0.048200618791727726,0.17,93831.0,0.0726
2000.0,10.7021376,0.6166,0.404,0.0079,0.012,20.835,0.099,0.787,0.03777297816174706,0.17,94046.0,0.0463
2000.0,11.1000032,0.6395,0.2564,0.0039,0.0097,16.931,0.081,0.391,0.023093733388459037,0.17,94267.0,0.02
2000.0,11.4933984,0.6623,-0.0038,0.0,0.0074,12.829,0.061,-0.004,-0.0003117935926416712,0.17,94482.0,0.0
3000.0,0.0,0.0,0.0,0.089,0.0296,173.395,0.552,20.056,0.115666541711122,0.24,135748.0,0.7169
3000.0,0.5945632000000001,0.0229,0.0669,0.0876,0.03,175.724,0.559,19.73,0.11227834558739842,0.24,135832.0,0.6902
3000.0,1.1935968,0.0458,0.1298,0.086,0.0303,177.896,0.566,19.379,0.10893443360165492,0.24,135924.0,0.6637
3000.0,1.78816,0.0687,0.1889,0.0843,0.0307,179.863,0.573,19.001,0.10564151604276589,0.24,136023.0,0.6373
3000.0,2.3827232,0.0916,0.2441,0.0825,0.031,181.578,0.578,18.596,0.10241328795338642,0.24,136130.0,0.6112
3000.0,2.9817568,0.1145,0.2957,0.0806,0.0312,182.991,0.582,18.16,0.09923985332611986,0.24,136244.0,0.5853
3000.0,3.57632,0.1373,0.3438,0.0785,0.0314,184.045,0.586,17.694,0.09613953109293923,0.24,136367.0,0.5597
3000.0,4.1708832,0.1602,0.3884,0.0763,0.0315,184.681,0.588,17.195,0.09310649173439606,0.24,136498.0,0.5343
3000.0,4.7654464,0.1831,0.4298,0.074,0.0315,184.841,0.588,16.662,0.09014233855042982,0.24,136637.0,0.5092
3000.0,5.36448,0.206,0.4679,0.0714,0.0314,184.466,0.587,16.094,0.08724643023646635,0.24,136786.0,0.4844
3000.0,5.9590432,0.2289,0.5031,0.0688,0.0313,183.509,0.584,15.491,0.08441547825992186,0.24,136943.0,0.4598
3000.0,6.5536064,0.2518,0.5353,0.0659,0.031,181.933,0.579,14.856,0.08165643396195303,0.24,137109.0,0.4355
3000.0,7.15264,0.2747,0.5646,0.063,0.0306,179.716,0.572,14.189,0.07895234703643526,0.24,137284.0,0.4116
3000.0,7.7472031999999995,0.2976,0.5911,0.0599,0.0301,176.842,0.563,13.492,0.07629409303219824,0.25,137469.0,0.3878
3000.0,8.3417664,0.3205,0.6148,0.0567,0.0295,173.297,0.552,12.77,0.0736885231712032,0.25,137664.0,0.3644
3000.0,8.9408,0.3434,0.6356,0.0534,0.0288,169.067,0.538,12.022,0.07110790396706632,0.25,137867.0,0.3412
3000.0,9.535363199999999,0.3662,0.6536,0.0499,0.028,164.14,0.522,11.251,0.06854514438893627,0.25,138081.0,0.3182
3000.0,10.1299264,0.3891,0.6685,0.0464,0.027,158.504,0.505,10.459,0.06598571644879625,0.25,138304.0,0.2953
3000.0,10.72896,0.412,0.6803,0.0428,0.0259,152.146,0.484,9.648,0.06341277457179288,0.25,138537.0,0.2726
3000.0,11.323523199999999,0.4349,0.6884,0.0391,0.0247,145.056,0.462,8.819,0.06079720935362894,0.25,138780.0,0.2499
3000.0,11.9180864,0.4578,0.6926,0.0354,0.0234,137.224,0.437,7.974,0.058109368623564396,0.25,139033.0,0.2271
3000.0,12.51712,0.4807,0.6922,0.0316,0.0219,128.645,0.409,7.115,0.05530724085662093,0.25,139297.0,0.2042
3000.0,13.1116832,0.5036,0.686,0.0277,0.0203,119.316,0.38,6.243,0.052323242482148244,0.25,139570.0,0.1809
3000.0,13.7062464,0.5265,0.6726,0.0238,0.0186,109.24,0.348,5.36,0.049066276089344565,0.25,139853.0,0.1572
3000.0,14.3008096,0.5494,0.6494,0.0198,0.0168,98.424,0.313,4.469,0.04540559213200032,0.25,140147.0,0.1328
3000.0,14.8998432,0.5723,0.6125,0.0159,0.0148,86.887,0.277,3.572,0.041110868139077196,0.25,140451.0,0.1075
3000.0,15.494406399999999,0.5951,0.5547,0.0119,0.0127,74.655,0.238,2.673,0.03580470162748644,0.25,140765.0,0.081
3000.0,16.088969600000002,0.618,0.4622,0.0079,0.0105,61.768,0.197,1.774,0.028720373008677632,0.25,141089.0,0.0529
3000.0,16.6880032,0.6409,0.3042,0.0039,0.0082,48.271,0.154,0.88,0.018230407491040167,0.25,141421.0,0.0237
3000.0,17.282566399999997,0.6638,-0.0088,-0.0001,0.0058,34.025,0.108,-0.017,-0.0004996326230712712,0.25,141737.0,0.0
4000.0,0.0,0.0,0.0,0.0897,0.029,403.488,0.963,35.91,0.08899892933618843,0.33,180988.0,0.7381
4000.0,0.7957312,0.0229,0.0687,0.0882,0.0294,409.171,0.977,35.331,0.08634776169376618,0.33,181102.0,0.7103
4000.0,1.5914624,0.0459,0.1333,0.0866,0.0298,414.475,0.989,34.706,0.08373484528620544,0.33,181225.0,0.6827
4000.0,2.3871936,0.0688,0.1938,0.085,0.0302,419.289,1.001,34.033,0.08116835881694966,0.33,181358.0,0.6553
4000.0,3.1829248,0.0917,0.2504,0.0832,0.0305,423.496,1.011,33.309,0.07865245480476793,0.33,181500.0,0.6282
4000.0,3.978656,0.1146,0.3032,0.0812,0.0307,426.974,1.019,32.532,0.07619199295507455,0.33,181654.0,0.6014
