rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1042,0.0415,9.012,0.086,2.609,0.289502885042166,0.08,46791.0,0.6473
1000.0,0.21904959999999998,0.0253,0.0619,0.1026,0.042,9.115,0.087,2.569,0.2818431157432803,0.08,46826.0,0.6252
1000.0,0.43809919999999997,0.0506,0.1205,0.1009,0.0424,9.211,0.088,2.526,0.27423732493757463,0.08,46863.0,0.6031
1000.0,0.6571488,0.0759,0.1757,0.099,0.0428,9.296,0.089,2.479,0.2666738382099828,0.08,46904.0,0.581
1000.0,0.8806688,0.1013,0.2277,0.097,0.0431,9.37,0.089,2.428,0.25912486659551764,0.08,46948.0,0.5589
1000.0,1.0997184,0.1266,0.2766,0.0948,0.0434,9.429,0.09,2.374,0.25177643440449676,0.08,46995.0,0.5369
1000.0,1.3187680000000002,0.1519,0.3223,0.0925,0.0436,9.471,0.09,2.316,0.244535951853025,0.08,47045.0,0.5149
1000.0,1.5378176,0.1772,0.365,0.09,0.0437,9.494,0.091,2.253,0.23730777333052455,0.08,47099.0,0.493
1000.0,1.7568672,0.2025,0.4047,0.0873,0.0437,9.496,0.091,2.187,0.23030749789385002,0.08,47157.0,0.4713
1000.0,1.9759168,0.2278,0.4416,0.0845,0.0436,9.473,0.09,2.116,0.2233716879552412,0.08,47218.0,0.4496
1000.0,2.1949664,0.2531,0.4756,0.0815,0.0434,9.424,0.09,2.04,0.21646859083191852,0.08,47283.0,0.428
1000.0,2.4184864,0.2785,0.5069,0.0783,0.043,9.346,0.089,1.96,0.20971538626150224,0.08,47352.0,0.4064
1000.0,2.6375360000000003,0.3038,0.5354,0.0749,0.0425,9.237,0.088,1.876,0.2030962433690592,0.08,47424.0,0.3849
1000.0,2.8565856,0.3291,0.5611,0.0714,0.0419,9.093,0.087,1.786,0.19641482459034423,0.08,47501.0,0.3634
1000.0,3.0756352,0.3544,0.5839,0.0676,0.041,8.913,0.085,1.692,0.18983507236620664,0.08,47582.0,0.3418
1000.0,3.2946848,0.3797,0.6038,0.0637,0.04,8.698,0.083,1.594,0.1832605196596919,0.08,47666.0,0.3201
1000.0,3.5137344,0.405,0.6206,0.0596,0.0389,8.448,0.081,1.491,0.17649147727272727,0.08,47755.0,0.2984
1000.0,3.7327839999999997,0.4304,0.6339,0.0554,0.0376,8.165,0.078,1.386,0.16974892835272506,0.08,47848.0,0.2765
1000.0,3.956304,0.4557,0.6435,0.051,0.0361,7.848,0.075,1.277,0.16271661569826706,0.08,47944.0,0.2545
1000.0,4.1753536,0.481,0.6489,0.0466,0.0345,7.499,0.072,1.166,0.15548739831977595,0.08,48045.0,0.2323
1000.0,4.3944032,0.5063,0.6494,0.042,0.0328,7.118,0.068,1.052,0.14779432424838437,0.08,48150.0,0.2098
1000.0,4.6134528,0.5316,0.6442,0.0374,0.0309,6.707,0.064,0.937,0.1397047860444312,0.08,48259.0,0.187
1000.0,4.8325024,0.5569,0.632,0.0327,0.0288,6.266,0.06,0.819,0.13070539419087135,0.08,48372.0,0.1638
1000.0,5.051552,0.5822,0.6112,0.028,0.0267,5.797,0.055,0.701,0.12092461618078316,0.08,48489.0,0.1402
1000.0,5.270601599999999,0.6076,0.5792,0.0233,0.0244,5.302,0.051,0.582,0.10976989815164089,0.08,48610.0,0.116
1000.0,5.4941216,0.6329,0.5322,0.0185,0.022,4.782,0.046,0.463,0.09682141363446257,0.08,48735.0,0.0913
1000.0,5.7131712,0.6582,0.4645,0.0138,0.0195,4.239,0.04,0.345,0.08138711960368011,0.08,48865.0,0.0661
1000.0,5.9322208,0.6835,0.3664,0.0091,0.0169,3.677,0.035,0.227,0.061735110144139245,0.08,48998.0,0.0407
1000.0,6.1512704,0.7088,0.2207,0.0044,0.0143,3.098,0.03,0.111,0.035829567462879276,0.08,49136.0,0.0166
1000.0,6.3703199999999995,0.7341,-0.0067,-0.0001,0.0115,2.506,0.024,-0.003,-0.001197126895450918,0.08,49276.0,0.0
2000.0,0.0,0.0,0.0,0.1046,0.0389,67.689,0.323,10.479,0.15481097371803396,0.16,93580.0,0.6936
2000.0,0.4425696,0.0254,0.0663,0.103,0.0395,68.58,0.327,10.319,0.15046660834062411,0.16,93650.0,0.6689
2000.0,0.8806688,0.0508,0.1289,0.1013,0.0399,69.411,0.331,10.144,0.14614398294218495,0.16,93725.0,0.6442
2000.0,1.3232384,0.0762,0.1877,0.0994,0.0404,70.163,0.335,9.956,0.14189815144734405,0.16,93807.0,0.6197
2000.0,1.765808,0.1016,0.2429,0.0974,0.0407,70.819,0.338,9.754,0.13773139976559962,0.16,93895.0,0.5953
2000.0,2.2039071999999997,0.127,0.2946,0.0952,0.0411,71.358,0.341,9.536,0.1336360324000112,0.16,93989.0,0.5711
2000.0,2.6464768,0.1524,0.3429,0.0929,0.0413,71.761,0.343,9.302,0.12962472652276305,0.16,94091.0,0.5471
2000.0,3.084576,0.1778,0.388,0.0904,0.0414,72.008,0.344,9.051,0.12569436729252306,0.16,94199.0,0.5233
2000.0,3.5271456,0.2032,0.4299,0.0877,0.0415,72.077,0.344,8.783,0.12185579311014609,0.16,94315.0,0.4998
2000.0,3.9697152000000004,0.2287,0.4687,0.0849,0.0414,71.948,0.344,8.498,0.11811308167009507,0.16,94438.0,0.4765
2000.0,4.4078143999999995,0.2541,0.5047,0.0818,0.0412,71.601,0.342,8.194,0.11443974246169747,0.16,94569.0,0.4534
2000.0,4.850384,0.2795,0.5377,0.0786,0.0409,71.015,0.339,7.873,0.11086390199253679,0.16,94708.0,0.4305
2000.0,5.2929536,0.3049,0.568,0.0752,0.0404,70.167,0.335,7.532,0.10734390810494962,0.16,94854.0,0.4077
2000.0,5.7310528,0.3303,0.5955,0.0716,0.0397,69.035,0.33,7.171,0.10387484609256176,0.16,95009.0,0.385
2000.0,6.1736224,0.3557,0.6202,0.0678,0.0389,67.604,0.323,6.792,0.10046742796284243,0.16,95171.0,0.3623
2000.0,6.616192,0.3811,0.6421,0.0639,0.0379,65.875,0.315,6.395,0.09707779886148007,0.16,95342.0,0.3398
2000.0,7.0542912,0.4065,0.6611,0.0598,0.0367,63.854,0.305,5.984,0.09371378457105271,0.16,95520.0,0.3172
2000.0,7.496860799999999,0.4319,0.677,0.0555,0.0354,61.546,0.294,5.558,0.09030643746141098,0.16,95707.0,0.2946
2000.0,7.939430400000001,0.4573,0.6894,0.0511,0.0339,58.956,0.281,5.121,0.08686138815387746,0.16,95901.0,0.272
2000.0,8.377529599999999,0.4827,0.698,0.0467,0.0323,56.089,0.268,4.673,0.08331401879156342,0.16,96104.0,0.2492
2000.0,8.8200992,0.5081,0.7021,0.0421,0.0305,52.953,0.253,4.216,0.07961777425263913,0.16,96315.0,0.2262
2000.0,9.2581984,0.5335,0.701,0.0375,0.0285,49.553,0.237,3.751,0.07569672875507033,0.16,96534.0,0.2029
2000.0,9.700768,0.5589,0.6934,0.0328,0.0264,45.899,0.219,3.281,0.07148303884616222,0.17,96762.0,0.1792
2000.0,10.1433376,0.5843,0.6777,0.028,0.0242,42.002,0.201,2.807,0.06683015094519308,0.17,96997.0,0.1549
2000.0,10.5814368,0.6097,0.6511,0.0233,0.0218,37.875,0.181,2.33,0.06151815181518152,0.17,97241.0,0.13
2000.0,11.0240064,0.6351,0.6093,0.0185,0.0193,33.534,0.16,1.853,0.05525735074849407,0.17,97493.0,0.1041
2000.0,11.466576,0.6606,0.545,0.0138,0.0167,29.0,0.138,1.379,0.04755172413793103,0.17,97754.0,0.0772
2000.0,11.9046752,0.686,0.4452,0.0091,0.014,24.298,0.116,0.909,0.037410486459790934,0.17,98022.0,0.0493
2000.0,12.3472448,0.7114,0.2828,0.0045,0.0112,19.456,0.093,0.446,0.022923519736842105,0.17,98299.0,0.0212
2000.0,12.7898144,0.7368,-0.0074,-0.0001,0.0083,14.494,0.069,-0.008,-0.000551952532082241,0.17,98580.0,0.0
3000.0,0.0,0.0,0.0,0.1051,0.038,222.767,0.709,23.687,0.10633082997032775,0.24,140366.0,0.7162
3000.0,0.6616192,0.0254,0.0684,0.1035,0.0385,225.886,0.719,23.326,0.10326447854227354,0.24,140471.0,0.6902
3000.0,1.3232384,0.0509,0.1328,0.1018,0.039,228.802,0.728,22.934,0.10023513780473947,0.24,140584.0,0.6643
3000.0,1.9848576000000002,0.0763,0.1932,0.0999,0.0395,231.452,0.737,22.511,0.09725990702175828,0.24,140707.0,0.6386
3000.0,2.6509471999999996,0.1017,0.2499,0.0979,0.0399,233.773,0.744,22.055,0.09434365816411647,0.24,140839.0,0.6131
3000.0,3.3125664,0.1272,0.3029,0.0957,0.0402,235.699,0.75,21.563,0.09148532662421138,0.24,140981.0,0.5879
3000.0,3.9741856,0.1526,0.3524,0.0934,0.0404,237.159,0.755,21.036,0.08869998608528457,0.24,141134.0,0.563
3000.0,4.6358048,0.178,0.3985,0.0909,0.0406,238.084,0.758,20.47,0.08597805816434535,0.24,141297.0,0.5383
3000.0,5.2974239999999995,0.2035,0.4414,0.0882,0.0406,238.401,0.759,19.866,0.08333018737337511,0.24,141471.0,0.514
3000.0,5.9590432,0.2289,0.4812,0.0853,0.0406,238.039,0.758,19.221,0.08074727250576587,0.24,141657.0,0.4899
3000.0,6.6206624000000005,0.2543,0.5181,0.0823,0.0404,236.926,0.754,18.535,0.07823117766728853,0.24,141854.0,0.4661
3000.0,7.282281599999999,0.2798,0.552,0.079,0.0401,234.99,0.748,17.808,0.07578194816800715,0.24,142062.0,0.4426
3000.0,7.9483712,0.3052,0.5831,0.0756,0.0396,232.157,0.739,17.037,0.07338568296454553,0.25,142282.0,0.4192
3000.0,8.609990400000001,0.3307,0.6116,0.072,0.0389,228.341,0.727,16.222,0.07104287009341292,0.25,142515.0,0.396
3000.0,9.2716096,0.3561,0.6373,0.0682,0.0381,223.495,0.711,15.363,0.06873979283652878,0.25,142759.0,0.3729
3000.0,9.9332288,0.3815,0.6603,0.0642,0.0371,217.618,0.693,14.466,0.06647428062016929,0.25,143015.0,0.3499
3000.0,10.594847999999999,0.407,0.6805,0.0601,0.0359,210.727,0.671,13.534,0.06422527725445719,0.25,143284.0,0.327
3000.0,11.2564672,0.4324,0.6977,0.0558,0.0346,202.838,0.646,12.571,0.061975566708407696,0.25,143564.0,0.3041
3000.0,11.9180864,0.4578,0.7117,0.0514,0.0331,193.968,0.617,11.581,0.059705724655613295,0.25,143857.0,0.2812
3000.0,12.5797056,0.4833,0.7221,0.0469,0.0314,184.134,0.586,10.568,0.057392985543137064,0.25,144162.0,0.2582
3000.0,13.2457952,0.5087,0.7283,0.0423,0.0296,173.357,0.552,9.534,0.05499633703859666,0.25,144479.0,0.235
3000.0,13.9074144,0.5341,0.7297,0.0377,0.0276,161.66,0.515,8.483,0.052474328838302615,0.25,144809.0,0.2115
3000.0,14.569033600000001,0.5596,0.7251,0.0329,0.0254,149.074,0.475,7.419,0.049767229698002326,0.25,145151.0,0.1876
3000.0,15.2306528,0.585,0.7127,0.0282,0.0231,135.637,0.432,6.347,0.04679401638196068,0.25,145505.0,0.1631
3000.0,15.892271999999998,0.6104,0.6899,0.0234,0.0207,121.394,0.386,5.27,0.043412359754188834,0.25,145872.0,0.1379
3000.0,16.5538912,0.6359,0.6522,0.0186,0.0181,106.404,0.339,4.192,0.039397015149806404,0.25,146251.0,0.1116
3000.0,17.2155104,0.6613,0.592,0.0138,0.0155,90.738,0.289,3.12,0.034384712028036765,0.25,146642.0,0.084
3000.0,17.8816,0.6867,0.494,0.0091,0.0127,74.485,0.237,2.058,0.0276297241055246,0.25,147046.0,0.0549
3000.0,18.5432192,0.7122,0.3254,0.0045,0.0098,57.744,0.184,1.013,0.017542948185092822,0.25,147462.0,0.0245
3000.0,19.2048384,0.7376,-0.0054,-0.0001,0.0069,40.575,0.129,-0.012,-0.0002957486136783734,0.25,147883.0,0.0
4000.0,0.0,0.0,0.0,0.1058,0.0376,522.481,1.247,42.359,0.0810728045613142,0.33,187146.0,0.7302
4000.0,0.8851392,0.0254,0.0695,0.1042,0.0381,530.068,1.265,41.718,0.07870310978968736,0.33,187286.0,0.7035
4000.0,1.765808,0.0509,0.1349,0.1024,0.0386,537.171,1.282,41.023,0.07636860515552775,0.33,187437.0,0.6769
4000.0,2.6509471999999996,0.0763,0.1963,0.1005,0.0391,543.637,1.298,40.271,0.0740770035887918,0.33,187601.0,0.6506
4000.0,3.531616,0.1018,0.2538,0.0985,0.0395,549.315,1.311,39.459,0.07183310122607248,0.33,187778.0,0.6245
4000.0,4.4167552,0.1272,0.3076,0.0963,0.0398,554.044,1.323,38.585,0.06964248326847687,0.33,187968.0,0.5987
4000.0,5.301894399999999,0.1527,0.3578,0.094,0.0401,557.656,1.331,37.645,0.06750577416902177,0.33,188172.0,0.5732
4000.0,6.1825632,0.1781,0.4046,0.0915,0.0403,559.98,1.337,36.636,0.0654237651344691,0.33,188391.0,0.548
4000.0,7.0677024,0.2036,0.4481,0.0888,0.0403,560.84,1.339,35.558,0.06340132658155623,0.33,188624.0,0.5232
4000.0,7.9483712,0.229,0.4884,0.0859,0.0403,560.063,1.337,34.407,0.061434160085561795,0.33,188872.0,0.4987
4000.0,8.8335104,0.2545,0.5258,0.0828,0.0401,557.477,1.331,33.182,0.05952173811655011,0.33,189135.0,0.4745
4000.0,9.718649599999999,0.2799,0.5603,0.0796,0.0398,552.91,1.32,31.882,0.05766218733609449,0.33,189413.0,0.4506
4000.0,10.5993184,0.3054,0.592,0.0762,0.0393,546.178,1.304,30.504,0.055849924383625855,0.33,189708.0,0.4269
4000.0,11.4844576,0.3308,0.6211,0.0725,0.0386,537.079,1.282,29.046,0.054081429361416106,0.33,190018.0,0.4034
4000.0,12.3695968,0.3563,0.6475,0.0687,0.0378,525.488,1.255,27.511,0.052353241177724316,0.33,190345.0,0.38
4000.0,13.2502656,0.3817,0.6712,0.0647,0.0368,511.405,1.221,25.905,0.05065456927484088,0.33,190687.0,0.3568
4000.0,14.1354048,0.4072,0.6922,0.0605,0.0356,494.863,1.181,24.236,0.048975170905887086,0.33,191046.0,0.3337
4000.0,15.016073600000002,0.4326,0.7104,0.0562,0.0342,475.901,1.136,22.512,0.04730395607489793,0.33,191421.0,0.3106
4000.0,15.9012128,0.4581,0.7255,0.0518,0.0327,454.556,1.085,20.739,0.04562474150599707,0.33,191812.0,0.2875
4000.0,16.786351999999997,0.4835,0.7372,0.0472,0.031,430.871,1.029,18.924,0.04392033810583678,0.33,192219.0,0.2644
4000.0,17.6670208,0.509,0.7449,0.0426,0.0291,404.893,0.967,17.072,0.042164226104180615,0.33,192643.0,0.2411
4000.0,18.55216,0.5344,0.7481,0.0379,0.0271,376.68,0.899,15.19,0.040326006159074015,0.33,193083.0,0.2175
4000.0,19.4328288,0.5599,0.7455,0.0332,0.0249,346.304,0.827,13.285,0.03836224819811496,0.33,193539.0,0.1935
4000.0,20.317968,0.5853,0.7356,0.0284,0.0226,313.854,0.749,11.363,0.03620473213659855,0.33,194012.0,0.1689
4000.0,21.203107199999998,0.6108,0.7157,0.0236,0.0201,279.447,0.667,9.434,0.03375953221898965,0.33,194501.0,0.1435
4000.0,22.083776,0.6362,0.6814,0.0187,0.0175,243.222,0.581,7.504,0.030852472227018934,0.33,195008.0,0.117
4000.0,22.9689152,0.6617,0.6246,0.0139,0.0148,205.355,0.49,5.584,0.027191935915853036,0.33,195530.0,0.0889
