rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0963,0.0388,8.435,0.081,2.411,0.2858328393598103,0.08,39187.0,0.6141
1000.0,0.24140160000000002,0.0279,0.0673,0.0952,0.0395,8.579,0.082,2.383,0.27777130201655204,0.08,39216.0,0.5933
1000.0,0.48280320000000004,0.0558,0.1306,0.0939,0.0401,8.721,0.083,2.352,0.26969384244926037,0.08,39248.0,0.5724
1000.0,0.7286752,0.0837,0.1901,0.0926,0.0408,8.857,0.085,2.318,0.2617138986112679,0.08,39283.0,0.5513
1000.0,0.9700768,0.1116,0.2457,0.0911,0.0414,8.986,0.086,2.28,0.2537280213665702,0.08,39322.0,0.5301
1000.0,1.2114784,0.1395,0.2977,0.0894,0.0419,9.105,0.087,2.238,0.2457990115321252,0.08,39364.0,0.509
1000.0,1.45288,0.1674,0.346,0.0876,0.0424,9.209,0.088,2.193,0.23813660549462484,0.08,39410.0,0.488
1000.0,1.6942816,0.1953,0.3908,0.0856,0.0428,9.296,0.089,2.143,0.23052925989672976,0.08,39460.0,0.467
1000.0,1.9356832,0.2232,0.4322,0.0834,0.0431,9.361,0.089,2.088,0.22305309261831,0.08,39514.0,0.4462
1000.0,2.1815552,0.2511,0.4703,0.0811,0.0433,9.402,0.09,2.029,0.21580514784088492,0.08,39571.0,0.4255
1000.0,2.4229568,0.279,0.5054,0.0785,0.0433,9.415,0.09,1.965,0.20870950610727565,0.08,39633.0,0.4049
1000.0,2.6643584,0.3069,0.5374,0.0757,0.0432,9.396,0.09,1.896,0.20178799489144314,0.08,39699.0,0.3845
1000.0,2.90576,0.3348,0.5665,0.0727,0.043,9.341,0.089,1.821,0.19494700781500912,0.08,39769.0,0.3641
1000.0,3.1471616,0.3627,0.5927,0.0696,0.0426,9.247,0.088,1.741,0.18827727911755165,0.08,39844.0,0.3439
1000.0,3.3885632,0.3906,0.6161,0.0661,0.0419,9.112,0.087,1.656,0.18173836698858647,0.08,39923.0,0.3236
1000.0,3.6344352000000004,0.4185,0.6365,0.0625,0.0411,8.931,0.085,1.565,0.1752323368043892,0.08,40006.0,0.3034
1000.0,3.8758368,0.4464,0.6538,0.0587,0.0401,8.703,0.083,1.469,0.16879237044697232,0.08,40094.0,0.283
1000.0,4.117238400000001,0.4743,0.6678,0.0546,0.0388,8.429,0.08,1.367,0.1621781943291019,0.08,40185.0,0.2625
1000.0,4.35864,0.5023,0.6782,0.0504,0.0373,8.11,0.077,1.262,0.15561035758323058,0.08,40282.0,0.2419
