rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0949,0.0386,8.378,0.08,2.377,0.2837192647409883,0.08,37544.0,0.6054
1000.0,0.2503424,0.0288,0.0688,0.0939,0.0393,8.533,0.081,2.352,0.2756357670221493,0.08,37572.0,0.585
1000.0,0.5006848,0.0575,0.1335,0.0928,0.04,8.687,0.083,2.324,0.26752618855761484,0.08,37603.0,0.5643
1000.0,0.7465567999999999,0.0863,0.1942,0.0916,0.0407,8.839,0.084,2.292,0.2593053512840819,0.08,37638.0,0.5435
1000.0,0.9968992,0.115,0.2509,0.0902,0.0413,8.983,0.086,2.258,0.2513636869642658,0.08,37676.0,0.5226
1000.0,1.2472416,0.1438,0.3037,0.0886,0.042,9.117,0.087,2.219,0.2433914664911703,0.08,37717.0,0.5016
1000.0,1.497584,0.1726,0.3527,0.0869,0.0425,9.238,0.088,2.176,0.2355488200909288,0.08,37763.0,0.4808
1000.0,1.7479264,0.2013,0.398,0.085,0.043,9.341,0.089,2.128,0.2278128680012847,0.08,37812.0,0.46
1000.0,1.9982688,0.2301,0.4399,0.0829,0.0434,9.423,0.09,2.076,0.22031200254695957,0.08,37866.0,0.4393
1000.0,2.2441408,0.2588,0.4784,0.0806,0.0436,9.478,0.091,2.019,0.21301962439333194,0.08,37924.0,0.4188
1000.0,2.4944832,0.2876,0.5137,0.0781,0.0437,9.504,0.091,1.956,0.2058080808080808,0.08,37985.0,0.3984
1000.0,2.7448256,0.3163,0.5458,0.0754,0.0437,9.497,0.091,1.888,0.1987996209329262,0.08,38052.0,0.3781
1000.0,2.995168,0.3451,0.575,0.0725,0.0435,9.452,0.09,1.815,0.19202285230639018,0.08,38122.0,0.3579
1000.0,3.2455103999999997,0.3739,0.6012,0.0693,0.0431,9.366,0.089,1.736,0.18535127055306427,0.08,38197.0,0.3379
1000.0,3.4958528,0.4026,0.6245,0.0659,0.0425,9.236,0.088,1.651,0.17875703767864876,0.08,38277.0,0.3178
1000.0,3.7417247999999996,0.4314,0.6449,0.0623,0.0417,9.059,0.087,1.561,0.17231482503587592,0.08,38361.0,0.2978
1000.0,3.9920671999999997,0.4601,0.6622,0.0585,0.0407,8.833,0.084,1.465,0.1658553152949168,0.08,38449.0,0.2777
1000.0,4.2424096,0.4889,0.6762,0.0545,0.0394,8.558,0.082,1.364,0.15938303341902316,0.08,38542.0,0.2576
1000.0,4.492752,0.5177,0.6867,0.0503,0.0379,8.236,0.079,1.259,0.15286546867411363,0.08,38640.0,0.2373
1000.0,4.7430943999999995,0.5464,0.6931,0.0459,0.0362,7.868,0.075,1.15,0.14616166751398066,0.08,38741.0,0.2169
1000.0,4.9934368,0.5752,0.6948,0.0415,0.0343,7.458,0.071,1.038,0.13917940466613032,0.08,38848.0,0.1963
1000.0,5.2393088,0.6039,0.6909,0.0369,0.0323,7.008,0.067,0.924,0.13184931506849315,0.08,38958.0,0.1754
1000.0,5.4896512,0.6327,0.6802,0.0323,0.03,6.519,0.062,0.808,0.12394539039730021,0.08,39073.0,0.1541
1000.0,5.7399936,0.6615,0.6609,0.0276,0.0276,5.995,0.057,0.69,0.11509591326105087,0.08,39192.0,0.1324
1000.0,5.990336,0.6902,0.6301,0.0229,0.025,5.439,0.052,0.572,0.10516639088067659,0.08,39316.0,0.1101
1000.0,6.2406784,0.719,0.5838,0.0181,0.0223,4.853,0.046,0.454,0.09355038120750052,0.08,39444.0,0.0873
1000.0,6.491020799999999,0.7477,0.5151,0.0135,0.0195,4.242,0.041,0.337,0.07944365865157944,0.08,39577.0,0.0638
1000.0,6.7368928,0.7765,0.4124,0.0088,0.0166,3.61,0.034,0.221,0.061218836565096954,0.08,39713.0,0.0398
1000.0,6.987235200000001,0.8053,0.2533,0.0043,0.0136,2.962,0.028,0.107,0.03612424037812289,0.08,39854.0,0.0164
1000.0,7.237577600000001,0.834,-0.0095,-0.0001,0.0106,2.304,0.022,-0.003,-0.0013020833333333335,0.08,39999.0,0.0
2000.0,0.0,0.0,0.0,0.0953,0.036,62.525,0.299,9.542,0.1526109556177529,0.16,75087.0,0.6524
2000.0,0.5006848,0.0289,0.0741,0.0943,0.0367,63.834,0.305,9.443,0.14793056991571887,0.16,75143.0,0.6291
2000.0,1.0013696,0.0577,0.1435,0.0932,0.0375,65.142,0.311,9.331,0.1432409198366645,0.16,75206.0,0.6056
2000.0,1.5020544,0.0866,0.2082,0.0919,0.0382,66.425,0.317,9.207,0.13860745201354913,0.16,75275.0,0.582
2000.0,2.0027392,0.1154,0.2685,0.0906,0.0389,67.66,0.323,9.068,0.13402305645876442,0.16,75352.0,0.5585
2000.0,2.503424,0.1443,0.3243,0.089,0.0396,68.818,0.329,8.913,0.1295155337266413,0.16,75435.0,0.5351
2000.0,3.0041088,0.1731,0.3759,0.0873,0.0402,69.868,0.334,8.741,0.12510734527967024,0.16,75527.0,0.5119
2000.0,3.5047935999999997,0.202,0.4235,0.0854,0.0407,70.778,0.338,8.551,0.12081437734889372,0.16,75626.0,0.4889
2000.0,4.0054784,0.2308,0.4673,0.0833,0.0411,71.515,0.341,8.342,0.11664685730266379,0.16,75734.0,0.4662
2000.0,4.5061632,0.2597,0.5075,0.081,0.0415,72.044,0.344,8.112,0.11259785686524902,0.16,75850.0,0.4438
2000.0,5.006848,0.2885,0.5443,0.0785,0.0416,72.331,0.345,7.861,0.10868092519113519,0.16,75974.0,0.4217
2000.0,5.5075328,0.3174,0.5778,0.0758,0.0416,72.344,0.345,7.587,0.10487393564082717,0.16,76108.0,0.3998
2000.0,6.0082176,0.3462,0.6082,0.0728,0.0415,72.05,0.344,7.292,0.10120749479528106,0.16,76250.0,0.3782
2000.0,6.5089024,0.3751,0.6357,0.0696,0.0411,71.42,0.341,6.974,0.09764771772612714,0.16,76401.0,0.3568
2000.0,7.0095871999999995,0.404,0.6603,0.0662,0.0405,70.425,0.336,6.632,0.0941711040113596,0.16,76561.0,0.3356
2000.0,7.5102720000000005,0.4328,0.682,0.0626,0.0397,69.037,0.33,6.268,0.09079189420165996,0.16,76730.0,0.3146
2000.0,8.0109568,0.4617,0.7009,0.0587,0.0387,67.241,0.321,5.882,0.08747639089246144,0.16,76908.0,0.2936
2000.0,8.511641599999999,0.4905,0.7168,0.0547,0.0374,65.037,0.311,5.476,0.08419822562541322,0.16,77095.0,0.2727
2000.0,9.0167968,0.5194,0.7295,0.0505,0.0359,62.436,0.298,5.052,0.08091485681337689,0.16,77291.0,0.2517
2000.0,9.5174816,0.5482,0.7385,0.0461,0.0342,59.453,0.284,4.614,0.07760752190806182,0.17,77496.0,0.2307
2000.0,10.0181664,0.5771,0.7434,0.0416,0.0323,56.106,0.268,4.164,0.07421666131964495,0.17,77709.0,0.2096
2000.0,10.5188512,0.6059,0.7434,0.037,0.0302,52.412,0.25,3.705,0.07068991833931161,0.17,77932.0,0.1883
2000.0,11.019535999999999,0.6348,0.7373,0.0323,0.0278,48.391,0.231,3.238,0.06691326899630097,0.17,78163.0,0.1666
2000.0,11.520220799999999,0.6636,0.7233,0.0276,0.0254,44.065,0.21,2.767,0.06279360036309997,0.17,78403.0,0.1445
2000.0,12.0209056,0.6925,0.6987,0.0229,0.0227,39.457,0.188,2.294,0.058139240185518415,0.17,78652.0,0.1218
2000.0,12.521590400000001,0.7214,0.659,0.0182,0.0199,34.597,0.165,1.821,0.052634621498973896,0.17,78910.0,0.0983
2000.0,13.0222752,0.7502,0.5963,0.0135,0.017,29.517,0.141,1.352,0.04580411288410069,0.17,79176.0,0.0737
2000.0,13.52296,0.7791,0.4957,0.0089,0.014,24.257,0.116,0.889,0.03664921465968586,0.17,79452.0,0.0478
2000.0,14.0236448,0.8079,0.3246,0.0044,0.0109,18.861,0.09,0.437,0.023169503207677217,0.17,79735.0,0.0212
2000.0,14.524329600000002,0.8368,-0.0031,0.0,0.0077,13.375,0.064,-0.003,-0.00022429906542056075,0.17,80026.0,0.0
3000.0,0.0,0.0,0.0,0.0957,0.035,205.035,0.653,21.553,0.10511863828126906,0.24,112627.0,0.6754
3000.0,0.7510272,0.0289,0.0765,0.0947,0.0357,209.573,0.667,21.332,0.10178792115396544,0.24,112712.0,0.6506
3000.0,1.5020544,0.0578,0.1481,0.0936,0.0365,214.116,0.682,21.084,0.09846998823067869,0.24,112807.0,0.6257
3000.0,2.257552,0.0867,0.2147,0.0923,0.0373,218.585,0.696,20.806,0.09518493949722076,0.24,112911.0,0.6008
3000.0,3.0085792000000002,0.1155,0.2766,0.091,0.038,222.895,0.709,20.495,0.09194912402700824,0.24,113026.0,0.5761
3000.0,3.7596064,0.1444,0.3338,0.0894,0.0387,226.948,0.722,20.149,0.08878245236794331,0.24,113151.0,0.5515
3000.0,4.5106336,0.1733,0.3867,0.0877,0.0393,230.642,0.734,19.764,0.08569124443943428,0.24,113289.0,0.5272
3000.0,5.266131199999999,0.2022,0.4353,0.0858,0.0399,233.864,0.744,19.337,0.08268480826463244,0.24,113438.0,0.5032
3000.0,6.0171584000000005,0.2311,0.4799,0.0837,0.0403,236.498,0.753,18.866,0.07977234479784184,0.24,113600.0,0.4795
3000.0,6.7681856,0.26,0.5209,0.0814,0.0406,238.424,0.759,18.349,0.07695953427507297,0.24,113775.0,0.4562
3000.0,7.5192128,0.2889,0.5583,0.0789,0.0408,239.526,0.762,17.783,0.07424246219617077,0.24,113962.0,0.4333
3000.0,8.27024,0.3177,0.5925,0.0762,0.0409,239.687,0.763,17.167,0.07162257444083325,0.25,114162.0,0.4107
3000.0,9.025737600000001,0.3466,0.6236,0.0732,0.0407,238.797,0.76,16.5,0.06909634543147528,0.25,114376.0,0.3884
3000.0,9.7767648,0.3755,0.6517,0.07,0.0404,236.751,0.754,15.781,0.06665652943387779,0.25,114603.0,0.3664
3000.0,10.527792,0.4044,0.6769,0.0666,0.0398,233.449,0.743,15.009,0.06429241504568449,0.25,114844.0,0.3447
3000.0,11.2788192,0.4333,0.6994,0.063,0.039,228.795,0.728,14.186,0.062003103214668155,0.25,115098.0,0.3232
3000.0,12.034316800000001,0.4622,0.7192,0.0591,0.038,222.732,0.709,13.312,0.059766894743458504,0.25,115366.0,0.3018
3000.0,12.785344,0.4911,0.7361,0.055,0.0367,215.256,0.685,12.393,0.057573308061099344,0.25,115647.0,0.2805
3000.0,13.5363712,0.5199,0.7499,0.0508,0.0352,206.402,0.657,11.435,0.055401594945785414,0.25,115941.0,0.2593
3000.0,14.2873984,0.5488,0.7605,0.0464,0.0335,196.22,0.625,10.443,0.05322087452859035,0.25,116249.0,0.238
3000.0,15.042895999999999,0.5777,0.7672,0.0418,0.0315,184.766,0.588,9.425,0.051010467293766175,0.25,116571.0,0.2167
3000.0,15.793923199999998,0.6066,0.7694,0.0372,0.0293,172.102,0.548,8.385,0.04872110725035153,0.25,116905.0,0.1952
3000.0,16.544950399999998,0.6355,0.766,0.0325,0.027,158.293,0.504,7.329,0.0463002154232973,0.25,117253.0,0.1735
3000.0,17.295977599999997,0.6644,0.7554,0.0278,0.0244,143.414,0.456,6.263,0.043670771333342635,0.25,117614.0,0.1512
3000.0,18.0470048,0.6933,0.7348,0.023,0.0217,127.548,0.406,5.192,0.04070624392385612,0.25,117988.0,0.1284
3000.0,18.8025024,0.7221,0.6998,0.0183,0.0189,110.795,0.353,4.124,0.03722189629495916,0.25,118376.0,0.1046
3000.0,19.5535296,0.751,0.6422,0.0136,0.0159,93.272,0.297,3.064,0.03285015867570117,0.25,118776.0,0.0796
3000.0,20.3045568,0.7799,0.5458,0.009,0.0128,75.115,0.239,2.019,0.026878785861678762,0.25,119190.0,0.0529
3000.0,21.055584,0.8088,0.3719,0.0044,0.0096,56.483,0.18,0.998,0.01766903316041995,0.25,119616.0,0.0244
3000.0,21.811081599999998,0.8377,0.0036,0.0,0.0064,37.535,0.119,0.006,0.00015985080591447983,0.25,120053.0,0.0
4000.0,0.0,0.0,0.0,0.0961,0.0345,479.511,1.145,38.5,0.0802901289021524,0.33,150165.0,0.6894
4000.0,1.00584,0.0289,0.078,0.0952,0.0353,490.505,1.171,38.112,0.07769951376642441,0.33,150278.0,0.6638
4000.0,2.0072096,0.0578,0.1508,0.0941,0.0361,501.53,1.197,37.677,0.07512412019221183,0.33,150404.0,0.6382
4000.0,3.0130496,0.0868,0.2186,0.0928,0.0369,512.392,1.223,37.189,0.07257919717716123,0.33,150543.0,0.6125
4000.0,4.0144192,0.1157,0.2814,0.0915,0.0376,522.885,1.248,36.642,0.07007659427981297,0.33,150697.0,0.587
4000.0,5.0202592,0.1446,0.3394,0.09,0.0383,532.778,1.272,36.031,0.06762854322062847,0.33,150865.0,0.5618
4000.0,6.0216288,0.1735,0.393,0.0883,0.039,541.815,1.293,35.35,0.06524367173297158,0.33,151049.0,0.5368
4000.0,7.0274688,0.2024,0.4422,0.0864,0.0395,549.726,1.312,34.594,0.06292953216693407,0.33,151248.0,0.5122
4000.0,8.0288384,0.2313,0.4874,0.0843,0.04,556.228,1.328,33.758,0.06069093968660334,0.33,151465.0,0.488
4000.0,9.0346784,0.2603,0.5288,0.082,0.0403,561.032,1.339,32.838,0.0585314206676268,0.33,151698.0,0.4642
4000.0,10.0405184,0.2892,0.5667,0.0795,0.0406,563.851,1.346,31.83,0.05645108370828463,0.33,151949.0,0.4408
4000.0,11.041888,0.3181,0.6012,0.0767,0.0406,564.404,1.347,30.731,0.054448586473518974,0.33,152217.0,0.4177
