rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0885,0.0348,6.688,0.064,2.006,0.2999401913875598,0.08,41723.0,0.6027
1000.0,0.201168,0.0238,0.0587,0.0871,0.0352,6.767,0.065,1.976,0.2920053199349786,0.08,41749.0,0.5821
1000.0,0.402336,0.0475,0.1142,0.0856,0.0356,6.841,0.065,1.942,0.2838766262242362,0.08,41778.0,0.5613
1000.0,0.603504,0.0713,0.1665,0.0841,0.036,6.91,0.066,1.907,0.2759768451519537,0.08,41809.0,0.5405
1000.0,0.804672,0.095,0.2156,0.0824,0.0363,6.97,0.067,1.868,0.2680057388809182,0.08,41843.0,0.5196
1000.0,1.00584,0.1188,0.2616,0.0805,0.0366,7.02,0.067,1.826,0.26011396011396015,0.08,41880.0,0.4987
1000.0,1.207008,0.1425,0.3045,0.0786,0.0368,7.059,0.067,1.782,0.2524436889077773,0.08,41919.0,0.4778
1000.0,1.4081759999999999,0.1663,0.3444,0.0764,0.0369,7.085,0.068,1.733,0.2446012702893437,0.08,41961.0,0.4569
1000.0,1.609344,0.19,0.3814,0.0742,0.0369,7.094,0.068,1.682,0.23710177614885816,0.08,42006.0,0.4361
1000.0,1.810512,0.2138,0.4154,0.0717,0.0369,7.086,0.068,1.627,0.22960767710979396,0.08,42054.0,0.4152
1000.0,2.01168,0.2375,0.4466,0.0691,0.0368,7.059,0.067,1.568,0.22212778013882986,0.08,42105.0,0.3944
1000.0,2.212848,0.2613,0.475,0.0664,0.0365,7.01,0.067,1.505,0.21469329529243936,0.08,42159.0,0.3736
1000.0,2.414016,0.285,0.5005,0.0634,0.0361,6.939,0.066,1.439,0.20737858481049143,0.08,42216.0,0.3529
1000.0,2.6151839999999997,0.3088,0.5231,0.0604,0.0356,6.844,0.065,1.369,0.20002922267679718,0.08,42276.0,0.3321
1000.0,2.8163519999999997,0.3325,0.5429,0.0572,0.035,6.727,0.064,1.297,0.1928051137208265,0.08,42340.0,0.3115
1000.0,3.0175199999999998,0.3563,0.5596,0.0539,0.0343,6.587,0.063,1.222,0.18551692728100805,0.08,42406.0,0.2909
1000.0,3.218688,0.3801,0.5732,0.0505,0.0335,6.424,0.061,1.144,0.17808219178082188,0.08,42476.0,0.2703
1000.0,3.4198560000000002,0.4038,0.5834,0.0469,0.0325,6.237,0.06,1.064,0.17059483726150393,0.08,42550.0,0.2497
1000.0,3.621024,0.4276,0.59,0.0433,0.0314,6.026,0.058,0.982,0.16296050448058413,0.08,42626.0,0.2291
1000.0,3.8221920000000003,0.4513,0.5926,0.0396,0.0302,5.792,0.055,0.898,0.1550414364640884,0.08,42706.0,0.2085
1000.0,4.02336,0.4751,0.5906,0.0358,0.0288,5.534,0.053,0.813,0.14691001084206723,0.08,42789.0,0.1878
1000.0,4.224527999999999,0.4988,0.5833,0.032,0.0273,5.252,0.05,0.725,0.13804265041888805,0.08,42876.0,0.1668
1000.0,4.425696,0.5226,0.5696,0.0281,0.0258,4.945,0.047,0.637,0.1288169868554095,0.08,42966.0,0.1457
