rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0897,0.0352,6.754,0.064,2.035,0.30130293159609123,0.08,43830.0,0.6096
1000.0,0.1922272,0.0229,0.0569,0.0882,0.0355,6.821,0.065,2.001,0.2933587450520452,0.08,43858.0,0.5887
1000.0,0.3889248,0.0458,0.1107,0.0866,0.0358,6.883,0.066,1.965,0.28548597995060293,0.08,43887.0,0.5678
1000.0,0.581152,0.0687,0.1615,0.0849,0.0361,6.938,0.066,1.927,0.27774574805419433,0.08,43920.0,0.5467
1000.0,0.7733791999999999,0.0916,0.2093,0.0831,0.0364,6.984,0.067,1.885,0.2699026345933562,0.08,43954.0,0.5257
1000.0,0.9700768,0.1145,0.2542,0.0812,0.0366,7.021,0.067,1.841,0.2622133599202393,0.08,43991.0,0.5046
1000.0,1.162304,0.1374,0.2961,0.0791,0.0367,7.045,0.067,1.793,0.2545067423704755,0.08,44031.0,0.4835
1000.0,1.3590016,0.1603,0.3351,0.0768,0.0367,7.057,0.067,1.743,0.2469888054414057,0.08,44073.0,0.4624
1000.0,1.5512288,0.1832,0.3713,0.0745,0.0367,7.053,0.067,1.689,0.23947256486601448,0.08,44119.0,0.4413
1000.0,1.743456,0.2061,0.4047,0.0719,0.0366,7.032,0.067,1.631,0.23193970420932877,0.08,44167.0,0.4203
1000.0,1.9401536,0.229,0.4354,0.0692,0.0364,6.993,0.067,1.57,0.2245102245102245,0.08,44217.0,0.3992
1000.0,2.1323808,0.2519,0.4633,0.0664,0.0361,6.934,0.066,1.506,0.2171906547447361,0.08,44271.0,0.3782
1000.0,2.324608,0.2748,0.4884,0.0634,0.0357,6.855,0.065,1.439,0.20991976659372721,0.08,44328.0,0.3572
1000.0,2.5213056,0.2977,0.5106,0.0603,0.0352,6.755,0.065,1.369,0.20266469282013325,0.08,44388.0,0.3362
1000.0,2.7135328000000003,0.3206,0.5301,0.0571,0.0346,6.635,0.063,1.296,0.19532780708364733,0.08,44450.0,0.3153
1000.0,2.9102303999999997,0.3435,0.5465,0.0538,0.0338,6.494,0.062,1.22,0.1878657222051124,0.08,44516.0,0.2945
1000.0,3.1024576,0.3664,0.5598,0.0504,0.033,6.331,0.06,1.143,0.18054019902069182,0.08,44585.0,0.2736
1000.0,3.2946848,0.3893,0.5698,0.0468,0.032,6.146,0.059,1.063,0.17295802147738365,0.08,44658.0,0.2528
1000.0,3.4913823999999996,0.4122,0.5761,0.0432,0.0309,5.94,0.057,0.981,0.16515151515151513,0.08,44733.0,0.2319
1000.0,3.6836096,0.4351,0.5785,0.0395,0.0297,5.711,0.055,0.897,0.15706531255471895,0.08,44811.0,0.211
1000.0,3.8758368,0.458,0.5762,0.0358,0.0284,5.46,0.052,0.811,0.14853479853479853,0.08,44893.0,0.1899
1000.0,4.072534399999999,0.4809,0.5687,0.0319,0.027,5.186,0.05,0.724,0.13960663324334746,0.08,44978.0,0.1686
1000.0,4.2647616,0.5038,0.5548,0.028,0.0255,4.889,0.047,0.636,0.13008795254653302,0.08,45066.0,0.1472
1000.0,4.4569888,0.5267,0.5332,0.0241,0.0238,4.57,0.044,0.547,0.11969365426695842,0.08,45158.0,0.1254
1000.0,4.6536864,0.5496,0.5019,0.0201,0.022,4.229,0.04,0.456,0.10782690943485458,0.08,45253.0,0.1033
1000.0,4.8459136,0.5725,0.4576,0.0161,0.0201,3.866,0.037,0.365,0.09441282979824107,0.08,45351.0,0.0809
1000.0,5.0426112,0.5953,0.3959,0.0121,0.0181,3.481,0.033,0.273,0.07842573972996267,0.08,45452.0,0.0583
1000.0,5.2348384,0.6182,0.3093,0.008,0.016,3.076,0.029,0.182,0.05916775032509752,0.08,45557.0,0.0357
1000.0,5.427065600000001,0.6411,0.1848,0.004,0.0138,2.652,0.025,0.09,0.033936651583710405,0.08,45664.0,0.0145
1000.0,5.6237632,0.664,-0.0023,0.0,0.0115,2.209,0.021,-0.001,-0.0004526935264825713,0.08,45772.0,0.0
2000.0,0.0,0.0,0.0,0.0902,0.0318,48.814,0.233,8.18,0.16757487606014668,0.16,87659.0,0.6798
2000.0,0.3889248,0.023,0.0634,0.0887,0.0322,49.407,0.236,8.046,0.16285141781528933,0.16,87714.0,0.6553
2000.0,0.7778496,0.046,0.1232,0.0871,0.0325,49.958,0.239,7.902,0.1581728652067737,0.16,87774.0,0.6307
2000.0,1.1667744,0.069,0.1794,0.0854,0.0328,50.453,0.241,7.747,0.1535488474421739,0.16,87839.0,0.6063
2000.0,1.5556992,0.092,0.2321,0.0836,0.0331,50.88,0.243,7.581,0.14899764150943395,0.16,87908.0,0.5819
2000.0,1.9490944000000001,0.115,0.2814,0.0816,0.0333,51.227,0.245,7.403,0.14451363538758857,0.16,87983.0,0.5577
2000.0,2.3380192,0.138,0.3274,0.0795,0.0335,51.48,0.246,7.212,0.1400932400932401,0.16,88063.0,0.5337
2000.0,2.7269439999999996,0.161,0.3701,0.0773,0.0336,51.622,0.246,7.009,0.13577544457789315,0.16,88148.0,0.5099
2000.0,3.1158688,0.184,0.4098,0.0749,0.0336,51.64,0.247,6.792,0.13152594887683966,0.16,88239.0,0.4862
2000.0,3.5047935999999997,0.207,0.4464,0.0723,0.0335,51.518,0.246,6.561,0.12735354633332038,0.16,88336.0,0.4627
2000.0,3.8937184000000005,0.23,0.48,0.0696,0.0334,51.244,0.245,6.316,0.12325345406291469,0.16,88439.0,0.4394
2000.0,4.2826432,0.253,0.5108,0.0668,0.0331,50.808,0.243,6.057,0.11921350968351442,0.16,88547.0,0.4162
2000.0,4.671568,0.276,0.5387,0.0638,0.0327,50.203,0.24,5.786,0.11525207656912932,0.16,88661.0,0.3933
