rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0904,0.0391,7.513,0.072,2.05,0.2728603753493944,0.08,33408.0,0.554
1000.0,0.2726944,0.0321,0.072,0.0899,0.0401,7.707,0.074,2.039,0.26456468145841444,0.08,33434.0,0.5359
1000.0,0.5453888,0.0642,0.1394,0.0894,0.0412,7.909,0.076,2.027,0.25629030218738147,0.08,33463.0,0.5175
1000.0,0.8180832,0.0964,0.2022,0.0887,0.0423,8.118,0.078,2.012,0.2478442966247844,0.08,33496.0,0.4987
1000.0,1.0863072,0.1285,0.2605,0.0879,0.0434,8.33,0.08,1.995,0.23949579831932774,0.08,33533.0,0.4797
1000.0,1.3590016,0.1606,0.3143,0.087,0.0445,8.54,0.082,1.974,0.23114754098360657,0.08,33574.0,0.4606
1000.0,1.631696,0.1927,0.3637,0.0859,0.0455,8.744,0.084,1.949,0.22289569990850872,0.08,33620.0,0.4414
1000.0,1.9043903999999998,0.2249,0.409,0.0846,0.0465,8.936,0.085,1.92,0.21486123545210384,0.08,33670.0,0.4222
1000.0,2.1770848,0.257,0.4503,0.0831,0.0474,9.109,0.087,1.885,0.20693819299593808,0.08,33725.0,0.4031
1000.0,2.4497792,0.2891,0.4879,0.0814,0.0482,9.256,0.088,1.845,0.19933016421780467,0.08,33785.0,0.3841
1000.0,2.7180032,0.3212,0.5221,0.0793,0.0488,9.37,0.089,1.799,0.1919957310565635,0.08,33850.0,0.3652
1000.0,2.9906976000000003,0.3533,0.5529,0.0769,0.0492,9.442,0.09,1.745,0.18481253971616185,0.08,33920.0,0.3463
1000.0,3.263392,0.3855,0.5807,0.0743,0.0493,9.466,0.09,1.684,0.17789985210226072,0.08,33995.0,0.3275
1000.0,3.5360864,0.4176,0.6055,0.0713,0.0491,9.437,0.09,1.616,0.1712408604429374,0.08,34076.0,0.3088
1000.0,3.8087807999999996,0.4497,0.6275,0.0679,0.0487,9.35,0.089,1.541,0.16481283422459894,0.08,34161.0,0.2902
1000.0,4.0814752,0.4818,0.6466,0.0643,0.0479,9.207,0.088,1.459,0.15846638427283588,0.08,34252.0,0.2716
1000.0,4.3496992,0.514,0.6628,0.0605,0.0469,9.009,0.086,1.372,0.1522921522921523,0.08,34348.0,0.2531
1000.0,4.6223936,0.5461,0.676,0.0565,0.0456,8.757,0.084,1.28,0.14616877926230445,0.08,34449.0,0.2347
1000.0,4.895087999999999,0.5782,0.6858,0.0522,0.044,8.455,0.081,1.184,0.1400354819633353,0.08,34555.0,0.2163
1000.0,5.1677824,0.6103,0.692,0.0478,0.0422,8.103,0.077,1.085,0.13390102431198322,0.08,34665.0,0.1979
1000.0,5.4404768,0.6424,0.6941,0.0433,0.0401,7.703,0.074,0.983,0.1276126184603401,0.08,34781.0,0.1794
1000.0,5.7131712,0.6746,0.6912,0.0387,0.0378,7.257,0.069,0.878,0.12098663359514952,0.08,34902.0,0.1609
1000.0,5.981395200000001,0.7067,0.6823,0.034,0.0352,6.765,0.065,0.771,0.11396895787139691,0.08,35027.0,0.1421
1000.0,6.2540896,0.7388,0.6658,0.0292,0.0324,6.23,0.059,0.663,0.10642054574638844,0.08,35157.0,0.1229
1000.0,6.526784,0.7709,0.639,0.0244,0.0294,5.651,0.054,0.553,0.0978587860555654,0.08,35293.0,0.1033
1000.0,6.7994784,0.8031,0.5979,0.0195,0.0262,5.032,0.048,0.442,0.08783783783783784,0.08,35433.0,0.083
1000.0,7.0721728,0.8352,0.5356,0.0146,0.0228,4.373,0.042,0.331,0.07569174479762177,0.08,35577.0,0.0618
1000.0,7.3448671999999995,0.8673,0.439,0.0097,0.0192,3.677,0.035,0.22,0.059831384280663584,0.08,35727.0,0.0398
1000.0,7.6130912,0.8994,0.2813,0.0048,0.0154,2.949,0.028,0.109,0.036961681926076635,0.08,35880.0,0.0173
1000.0,7.8857856,0.9316,-0.0036,0.0,0.0114,2.19,0.021,-0.001,-0.0004566210045662101,0.08,36038.0,0.0
2000.0,0.0,0.0,0.0,0.0907,0.0354,54.433,0.26,8.228,0.15115830470486652,0.16,66816.0,0.615
2000.0,0.5543296,0.0327,0.0808,0.0903,0.0365,56.047,0.268,8.188,0.14609167306011028,0.16,66868.0,0.5929
2000.0,1.1041888,0.0653,0.1559,0.0897,0.0376,57.743,0.276,8.139,0.14095215004416117,0.16,66928.0,0.5704
2000.0,1.6585184,0.098,0.2253,0.0891,0.0387,59.498,0.284,8.082,0.13583649870583886,0.16,66995.0,0.5477
2000.0,2.212848,0.1306,0.2892,0.0883,0.0399,61.285,0.293,8.012,0.13073345843191647,0.16,67070.0,0.5249
2000.0,2.7671776,0.1633,0.3476,0.0874,0.0411,63.067,0.301,7.929,0.12572343697972,0.16,67155.0,0.5022
2000.0,3.3170368,0.1959,0.4009,0.0863,0.0422,64.803,0.309,7.829,0.12081230807215715,0.16,67248.0,0.4795
2000.0,3.8713664,0.2286,0.4492,0.085,0.0433,66.442,0.317,7.711,0.11605610908762531,0.16,67351.0,0.4571
2000.0,4.425696,0.2613,0.493,0.0834,0.0442,67.928,0.324,7.57,0.11144152632198799,0.16,67465.0,0.435
2000.0,4.9755552000000005,0.2939,0.5326,0.0816,0.045,69.199,0.33,7.406,0.1070246679865316,0.16,67588.0,0.4131
2000.0,5.5298848,0.3266,0.5683,0.0795,0.0457,70.189,0.335,7.214,0.1027796378349884,0.16,67722.0,0.3916
2000.0,6.0842144,0.3592,0.6005,0.0771,0.0461,70.832,0.338,6.993,0.09872656426473911,0.16,67866.0,0.3703
2000.0,6.6340736,0.3919,0.6294,0.0743,0.0463,71.068,0.339,6.741,0.09485281702031857,0.16,68022.0,0.3493
2000.0,7.188403199999999,0.4245,0.6553,0.0712,0.0461,70.849,0.338,6.458,0.09115160411579556,0.16,68187.0,0.3286
