rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1192,0.0686,13.171,0.126,2.704,0.20529952167641033,0.08,42365.0,0.479
1000.0,0.3755136,0.0444,0.0756,0.1189,0.0698,13.399,0.128,2.697,0.20128367788640944,0.08,42416.0,0.4689
1000.0,0.7510272,0.0887,0.1478,0.1186,0.0712,13.664,0.13,2.69,0.19686768149882905,0.08,42476.0,0.458
1000.0,1.1265408,0.1331,0.2164,0.1183,0.0727,13.965,0.133,2.682,0.1920515574650913,0.08,42546.0,0.4462
1000.0,1.5020544,0.1774,0.2808,0.1179,0.0745,14.303,0.137,2.674,0.18695378591903794,0.08,42626.0,0.4337
1000.0,1.8775680000000001,0.2218,0.341,0.1175,0.0764,14.673,0.14,2.665,0.18162611599536563,0.08,42717.0,0.4205
1000.0,2.2530816,0.2661,0.3966,0.117,0.0785,15.071,0.144,2.653,0.17603344170924293,0.08,42819.0,0.4067
1000.0,2.6285952,0.3105,0.4477,0.1163,0.0807,15.489,0.148,2.638,0.17031441668280714,0.08,42934.0,0.3924
1000.0,3.0041088,0.3548,0.4943,0.1155,0.0829,15.916,0.152,2.619,0.1645513948228198,0.08,43061.0,0.3777
1000.0,3.3796223999999997,0.3992,0.5366,0.1144,0.0851,16.338,0.156,2.594,0.15877096339821273,0.08,43201.0,0.3627
1000.0,3.7551360000000003,0.4435,0.5747,0.113,0.0872,16.739,0.16,2.562,0.15305573809666048,0.08,43353.0,0.3475
1000.0,4.1306496,0.4879,0.609,0.1112,0.089,17.1,0.163,2.521,0.1474269005847953,0.08,43519.0,0.3321
1000.0,4.5061632,0.5322,0.6398,0.1089,0.0906,17.4,0.166,2.471,0.14201149425287357,0.08,43699.0,0.3166
1000.0,4.8816768,0.5766,0.6674,0.1062,0.0918,17.619,0.168,2.409,0.13672739656053123,0.08,43891.0,0.301
1000.0,5.2571904,0.6209,0.6921,0.1029,0.0924,17.735,0.169,2.335,0.13166055821821257,0.08,44097.0,0.2853
1000.0,5.6327039999999995,0.6653,0.714,0.0991,0.0923,17.725,0.169,2.247,0.12677009873060646,0.08,44316.0,0.2695
