rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0847,0.0318,8.796,0.084,2.575,0.29274670304683953,0.09,46061.0,0.6191
1000.0,0.1966976,0.0216,0.0562,0.0832,0.0321,8.876,0.085,2.53,0.2850383055430374,0.09,46088.0,0.5976
1000.0,0.3933952,0.0433,0.1094,0.0816,0.0323,8.949,0.085,2.482,0.2773494245167058,0.09,46117.0,0.576
1000.0,0.5900928,0.0649,0.1596,0.08,0.0325,9.012,0.086,2.43,0.2696404793608522,0.09,46148.0,0.5543
1000.0,0.7867904,0.0866,0.2068,0.0781,0.0327,9.064,0.087,2.376,0.2621359223300971,0.09,46182.0,0.5326
1000.0,0.9879584,0.1082,0.251,0.0762,0.0329,9.102,0.087,2.317,0.25455943748626675,0.09,46217.0,0.5109
1000.0,1.184656,0.1299,0.2924,0.0742,0.033,9.125,0.087,2.255,0.24712328767123287,0.09,46256.0,0.4893
1000.0,1.3813536,0.1515,0.331,0.072,0.033,9.131,0.087,2.189,0.23973277844704852,0.09,46296.0,0.4676
1000.0,1.5780512,0.1732,0.3667,0.0697,0.0329,9.118,0.087,2.119,0.23239745558236458,0.09,46339.0,0.4461
1000.0,1.7747488,0.1948,0.3996,0.0673,0.0328,9.083,0.087,2.045,0.2251458769129142,0.09,46385.0,0.4245
1000.0,1.9714464,0.2165,0.4298,0.0647,0.0326,9.026,0.086,1.967,0.21792599157988035,0.09,46434.0,0.403
1000.0,2.168144,0.2381,0.4572,0.062,0.0323,8.945,0.085,1.885,0.21073225265511458,0.09,46485.0,0.3816
1000.0,2.3648416,0.2598,0.4819,0.0592,0.0319,8.839,0.084,1.8,0.2036429460346193,0.09,46539.0,0.3602
1000.0,2.5615392000000003,0.2814,0.5038,0.0563,0.0314,8.709,0.083,1.711,0.19646342863704216,0.09,46596.0,0.3389
1000.0,2.7627072,0.3031,0.5228,0.0533,0.0309,8.553,0.082,1.619,0.18929030749444636,0.09,46655.0,0.3176
1000.0,2.9594048,0.3247,0.5388,0.0501,0.0302,8.37,0.08,1.524,0.182078853046595,0.09,46718.0,0.2965
1000.0,3.1561024,0.3464,0.5517,0.0469,0.0295,8.161,0.078,1.427,0.1748560225462566,0.09,46783.0,0.2753
1000.0,3.3528,0.368,0.5612,0.0436,0.0286,7.925,0.076,1.327,0.1674447949526814,0.09,46852.0,0.2542
1000.0,3.5494976,0.3897,0.5671,0.0403,0.0277,7.662,0.073,1.224,0.15974941268598278,0.09,46923.0,0.233
1000.0,3.7461952000000003,0.4113,0.5691,0.0368,0.0266,7.371,0.07,1.119,0.1518111518111518,0.09,46997.0,0.2118
1000.0,3.9428928,0.433,0.5665,0.0333,0.0255,7.051,0.067,1.013,0.14366756488441354,0.09,47075.0,0.1905
1000.0,4.1395903999999994,0.4546,0.5586,0.0297,0.0242,6.702,0.064,0.904,0.13488510892270963,0.09,47155.0,0.1691
1000.0,4.3407584,0.4762,0.5444,0.0261,0.0228,6.325,0.06,0.794,0.12553359683794466,0.09,47239.0,0.1474
1000.0,4.537456,0.4979,0.5226,0.0224,0.0214,5.919,0.057,0.682,0.11522216590640312,0.09,47325.0,0.1254
1000.0,4.7341536,0.5195,0.4912,0.0187,0.0198,5.485,0.052,0.569,0.10373746581586142,0.09,47415.0,0.1032
1000.0,4.930851199999999,0.5412,0.4471,0.015,0.0181,5.022,0.048,0.455,0.09060135404221425,0.09,47508.0,0.0807
1000.0,5.1275488000000005,0.5628,0.3859,0.0112,0.0164,4.531,0.043,0.341,0.07525932465239463,0.09,47604.0,0.0579
1000.0,5.3242464,0.5845,0.3003,0.0074,0.0145,4.015,0.038,0.226,0.056288916562889174,0.09,47703.0,0.0354
1000.0,5.520944,0.6061,0.1782,0.0037,0.0125,3.473,0.033,0.112,0.0322487762741146,0.09,47805.0,0.0142
1000.0,5.717641599999999,0.6278,-0.0046,-0.0001,0.0105,2.905,0.028,-0.002,-0.0006884681583476765,0.09,47908.0,0.0
2000.0,0.0,0.0,0.0,0.0851,0.0287,63.645,0.304,10.354,0.1626836357922853,0.17,92120.0,0.6901
2000.0,0.3978656,0.0217,0.0626,0.0837,0.029,64.349,0.307,10.174,0.15810657508275186,0.17,92174.0,0.6649
2000.0,0.7912608,0.0435,0.1217,0.0821,0.0293,64.992,0.31,9.982,0.15358813392417525,0.17,92232.0,0.6397
2000.0,1.1891264000000001,0.0652,0.1772,0.0804,0.0296,65.56,0.313,9.777,0.149130567419158,0.17,92295.0,0.6147
2000.0,1.5825216,0.087,0.2293,0.0786,0.0298,66.037,0.315,9.557,0.14472189832972424,0.17,92363.0,0.5898
2000.0,1.9803871999999998,0.1087,0.278,0.0767,0.03,66.406,0.317,9.322,0.1403788814263771,0.17,92435.0,0.5651
2000.0,2.3782528000000003,0.1304,0.3235,0.0746,0.0301,66.651,0.318,9.073,0.13612698984261304,0.17,92512.0,0.5405
2000.0,2.771648,0.1522,0.3658,0.0724,0.0301,66.754,0.319,8.807,0.13193216885879497,0.17,92594.0,0.5162
2000.0,3.1695135999999997,0.1739,0.405,0.0701,0.0301,66.698,0.318,8.526,0.12782991993762932,0.17,92681.0,0.492
2000.0,3.5629087999999998,0.1957,0.4413,0.0677,0.03,66.469,0.317,8.228,0.12378702853961998,0.17,92773.0,0.4681
2000.0,3.9607743999999996,0.2174,0.4746,0.0651,0.0298,66.051,0.315,7.914,0.1198165054276241,0.17,92871.0,0.4443
2000.0,4.35864,0.2391,0.505,0.0624,0.0295,65.435,0.312,7.584,0.11590127607549476,0.17,92974.0,0.4208
2000.0,4.7520352,0.2609,0.5326,0.0595,0.0292,64.613,0.309,7.24,0.11205175429093217,0.17,93083.0,0.3975
2000.0,5.1499008,0.2826,0.5574,0.0566,0.0287,63.582,0.304,6.883,0.10825390833883804,0.17,93197.0,0.3744
2000.0,5.543296,0.3044,0.5793,0.0536,0.0281,62.335,0.298,6.512,0.10446779497874388,0.17,93317.0,0.3515
2000.0,5.941161599999999,0.3261,0.5984,0.0504,0.0275,60.867,0.291,6.13,0.10071138712274304,0.17,93443.0,0.3287
2000.0,6.339027199999999,0.3478,0.6144,0.0472,0.0267,59.175,0.283,5.737,0.09694972539079004,0.17,93575.0,0.3061
2000.0,6.7324224,0.3696,0.6273,0.0439,0.0258,57.252,0.273,5.334,0.0931670509327185,0.17,93713.0,0.2836
2000.0,7.130287999999999,0.3913,0.6368,0.0405,0.0249,55.096,0.263,4.921,0.08931682880789896,0.17,93857.0,0.2612
2000.0,7.523683199999999,0.413,0.6425,0.037,0.0238,52.701,0.252,4.499,0.08536839908161135,0.17,94007.0,0.2387
2000.0,7.921548799999999,0.4348,0.644,0.0335,0.0226,50.064,0.239,4.07,0.08129594119527006,0.17,94163.0,0.2162
2000.0,8.3194144,0.4565,0.6404,0.0299,0.0213,47.182,0.225,3.633,0.0769997032766733,0.17,94325.0,0.1935
2000.0,8.7128096,0.4783,0.6309,0.0262,0.0199,44.055,0.21,3.189,0.07238678924072182,0.17,94493.0,0.1705
2000.0,9.1106752,0.5,0.6137,0.0225,0.0184,40.682,0.194,2.741,0.06737623519001032,0.17,94668.0,0.147
2000.0,9.5040704,0.5217,0.5867,0.0188,0.0167,37.064,0.177,2.287,0.06170407943017483,0.17,94849.0,0.123
2000.0,9.901936,0.5435,0.5459,0.0151,0.015,33.206,0.159,1.831,0.05514063723423477,0.17,95036.0,0.0983
2000.0,10.2998016,0.5652,0.4853,0.0113,0.0131,29.114,0.139,1.372,0.047125094456275336,0.17,95230.0,0.0728
2000.0,10.6931968,0.587,0.3937,0.0075,0.0112,24.798,0.118,0.913,0.03681748528107106,0.17,95429.0,0.0464
2000.0,11.091062399999998,0.6087,0.2488,0.0037,0.0091,20.269,0.097,0.455,0.022448073412600526,0.17,95635.0,0.0199
2000.0,11.4844576,0.6304,-0.0037,0.0,0.007,15.492,0.074,-0.005,-0.00032274722437387036,0.17,95839.0,0.0
3000.0,0.0,0.0,0.0,0.0857,0.0276,206.443,0.657,23.442,0.11355192474436042,0.26,138174.0,0.7248
3000.0,0.5945632000000001,0.0218,0.0657,0.0842,0.0279,208.918,0.665,23.037,0.11026814348213174,0.26,138256.0,0.6977
3000.0,1.1891264000000001,0.0436,0.1275,0.0826,0.0282,211.189,0.672,22.603,0.10702735464441804,0.26,138344.0,0.6708
3000.0,1.78816,0.0654,0.1855,0.0809,0.0285,213.2,0.679,22.139,0.10384146341463416,0.26,138439.0,0.6441
3000.0,2.3827232,0.0871,0.2399,0.0791,0.0287,214.9,0.684,21.643,0.10071195905072126,0.26,138541.0,0.6177
3000.0,2.9772864,0.1089,0.2907,0.0772,0.0289,216.23,0.688,21.113,0.09764140036072701,0.26,138649.0,0.5915
3000.0,3.5718496,0.1307,0.3381,0.0751,0.029,217.134,0.691,20.548,0.09463280739082779,0.26,138765.0,0.5655
3000.0,4.1664128,0.1525,0.3822,0.0729,0.0291,217.551,0.692,19.947,0.09168884537418812,0.26,138889.0,0.5399
3000.0,4.7654464,0.1743,0.4231,0.0706,0.0291,217.424,0.692,19.31,0.08881264257855617,0.26,139020.0,0.5145
3000.0,5.3600096,0.1961,0.4609,0.0681,0.029,216.696,0.69,18.635,0.08599604976557021,0.26,139160.0,0.4894
3000.0,5.9545728,0.2179,0.4957,0.0655,0.0288,215.318,0.685,17.924,0.0832443177068336,0.26,139307.0,0.4646
3000.0,6.549136,0.2397,0.5276,0.0628,0.0285,213.256,0.679,17.177,0.08054638556476723,0.26,139462.0,0.4401
3000.0,7.1436992,0.2614,0.5567,0.0599,0.0281,210.484,0.67,16.398,0.07790615913798674,0.26,139626.0,0.4159
3000.0,7.7427328,0.2832,0.5829,0.057,0.0277,206.982,0.659,15.587,0.07530606526171357,0.26,139799.0,0.392
3000.0,8.337295999999998,0.305,0.6064,0.0539,0.0271,202.734,0.645,14.748,0.07274556808428778,0.26,139980.0,0.3683
3000.0,8.9318592,0.3268,0.6271,0.0507,0.0264,197.721,0.629,13.881,0.07020498581334304,0.26,140170.0,0.3448
3000.0,9.5264224,0.3486,0.6448,0.0475,0.0257,191.926,0.611,12.99,0.0676823359002949,0.26,140368.0,0.3216
3000.0,10.120985600000001,0.3704,0.6596,0.0441,0.0248,185.331,0.59,12.076,0.06515909372959733,0.26,140576.0,0.2985
3000.0,10.7200192,0.3922,0.6711,0.0407,0.0238,177.922,0.566,11.14,0.06261170625330201,0.26,140793.0,0.2755
3000.0,11.314582399999999,0.414,0.679,0.0372,0.0227,169.682,0.54,10.184,0.060018151601230536,0.26,141019.0,0.2525
3000.0,11.9091456,0.4357,0.683,0.0337,0.0215,160.601,0.511,9.211,0.05735331660450433,0.26,141254.0,0.2295
3000.0,12.5037088,0.4575,0.6823,0.03,0.0201,150.668,0.48,8.221,0.05456367642764223,0.26,141498.0,0.2062
3000.0,13.098272,0.4793,0.6758,0.0264,0.0187,139.878,0.445,7.216,0.05158781223637742,0.26,141752.0,0.1827
3000.0,13.6973056,0.5011,0.6621,0.0227,0.0171,128.231,0.408,6.199,0.04834244449470097,0.26,142015.0,0.1587
3000.0,14.2918688,0.5229,0.6387,0.0189,0.0155,115.734,0.368,5.172,0.04468868266887863,0.26,142288.0,0.134
3000.0,14.886432,0.5447,0.6016,0.0151,0.0137,102.4,0.326,4.138,0.040410156249999996,0.26,142570.0,0.1084
3000.0,15.4809952,0.5665,0.5437,0.0113,0.0118,88.253,0.281,3.1,0.03512628465887845,0.26,142861.0,0.0815
3000.0,16.0755584,0.5883,0.4517,0.0075,0.0098,73.328,0.233,2.06,0.028092952214706524,0.26,143162.0,0.0532
3000.0,16.670121599999998,0.61,0.2959,0.0037,0.0077,57.664,0.184,1.024,0.017758046614872364,0.26,143472.0,0.0237
3000.0,17.2691552,0.6318,-0.0091,-0.0001,0.0055,41.056,0.131,-0.022,-0.0005358534684333594,0.26,143773.0,0.0
4000.0,0.0,0.0,0.0,0.0864,0.0271,481.072,1.148,42.013,0.0873320417733728,0.34,184222.0,0.7463
4000.0,0.7957312,0.0218,0.0674,0.0849,0.0275,487.1,1.163,41.292,0.08477109423116404,0.34,184332.0,0.7181
4000.0,1.5914624,0.0436,0.1308,0.0833,0.0278,492.635,1.176,40.518,0.08224750575984248,0.34,184450.0,0.6902
4000.0,2.3871936,0.0655,0.1903,0.0816,0.0281,497.546,1.188,39.689,0.0797695087489398,0.34,184577.0,0.6625
4000.0,3.1784544,0.0873,0.246,0.0798,0.0283,501.703,1.198,38.802,0.07734057799136143,0.34,184714.0,0.6351
4000.0,3.9741856,0.1091,0.298,0.0778,0.0285,504.97,1.206,37.855,0.07496484939699387,0.34,184859.0,0.6081
4000.0,4.7699168,0.1309,0.3465,0.0758,0.0286,507.207,1.211,36.845,0.0726429248807686,0.34,185015.0,0.5813
4000.0,5.5656479999999995,0.1527,0.3917,0.0735,0.0287,508.267,1.213,35.77,0.07037639665766222,0.34,185180.0,0.5549
4000.0,6.3613792,0.1746,0.4336,0.0712,0.0287,508.013,1.213,34.628,0.06816360998635862,0.34,185356.0,0.5288
4000.0,7.1571104000000005,0.1964,0.4723,0.0687,0.0286,506.306,1.209,33.42,0.06600751324297954,0.34,185543.0,0.5031
4000.0,7.952841599999999,0.2182,0.5081,0.0661,0.0284,503.029,1.201,32.145,0.06390287637492073,0.34,185740.0,0.4777
4000.0,8.7441024,0.24,0.5409,0.0633,0.0281,498.093,1.189,30.807,0.061849895501442494,0.34,185949.0,0.4526
4000.0,9.5398336,0.2618,0.571,0.0605,0.0277,491.44,1.173,29.409,0.059842503662705514,0.34,186168.0,0.4278
4000.0,10.3355648,0.2836,0.5982,0.0575,0.0273,483.02,1.153,27.955,0.05787545029191338,0.34,186399.0,0.4034
4000.0,11.131295999999999,0.3055,0.6227,0.0544,0.0267,472.79,1.129,26.449,0.055942384568201525,0.34,186642.0,0.3793
4000.0,11.9270272,0.3273,0.6445,0.0512,0.026,460.707,1.1,24.895,0.054036513445638985,0.34,186896.0,0.3554
4000.0,12.7227584,0.3491,0.6634,0.0479,0.0252,446.728,1.066,23.296,0.05214806325101628,0.34,187162.0,0.3318
4000.0,13.518489599999999,0.3709,0.6794,0.0445,0.0243,430.811,1.028,21.655,0.05026566174029912,0.34,187440.0,0.3084
4000.0,14.309750399999999,0.3927,0.6924,0.0411,0.0233,412.918,0.986,19.976,0.04837764398742607,0.34,187730.0,0.285
4000.0,15.1054816,0.4146,0.7019,0.0375,0.0222,393.013,0.938,18.261,0.046464111874161926,0.34,188032.0,0.2618
4000.0,15.9012128,0.4364,0.7077,0.034,0.0209,371.064,0.886,16.513,0.04450175710928573,0.34,188346.0,0.2384
4000.0,16.696944000000002,0.4582,0.709,0.0303,0.0196,347.051,0.829,14.737,0.04246349960092321,0.35,188673.0,0.2149
4000.0,17.4926752,0.48,0.7049,0.0266,0.0181,320.961,0.766,12.934,0.040297730876960126,0.35,189013.0,0.1911
4000.0,18.2884064,0.5018,0.6938,0.0228,0.0165,292.791,0.699,11.109,0.037941740012500384,0.35,189365.0,0.1667
4000.0,19.0841376,0.5237,0.6734,0.0191,0.0148,262.559,0.627,9.266,0.03529111552070201,0.35,189729.0,0.1416
4000.0,19.8753984,0.5455,0.6396,0.0152,0.013,230.299,0.55,7.41,0.032175563072353766,0.35,190107.0,0.1155
4000.0,20.6711296,0.5673,0.5848,0.0114,0.0111,196.07,0.468,5.546,0.028285816290100477,0.35,190497.0,0.0878
4000.0,21.466860800000003,0.5891,0.4941,0.0076,0.009,159.958,0.382,3.681,0.023012290726315658,0.35,190899.0,0.0582
4000.0,22.262591999999998,0.6109,0.3323,0.0037,0.0069,122.057,0.291,1.822,0.014927451928197482,0.35,191312.0,0.0266
4000.0,23.0583232,0.6328,-0.0181,-0.0001,0.0046,81.618,0.195,-0.064,-0.0007841407532652112,0.35,191705.0,0.0
5000.0,0.0,0.0,0.0,0.0873,0.027,935.753,1.787,66.33,0.07088409013917134,0.43,230261.0,0.7611
5000.0,0.9924288000000001,0.0218,0.0684,0.0858,0.0274,947.793,1.81,65.201,0.06879244729598129,0.43,230399.0,0.7323
5000.0,1.989328,0.0437,0.1327,0.0842,0.0277,958.847,1.831,63.987,0.06673327444315934,0.43,230547.0,0.7037
5000.0,2.9817568,0.0655,0.1931,0.0825,0.028,968.654,1.85,62.686,0.06471454203461711,0.43,230707.0,0.6755
5000.0,3.978656,0.0873,0.2496,0.0807,0.0282,976.957,1.866,61.293,0.06273868757785654,0.43,230878.0,0.6475
5000.0,4.9710848,0.1092,0.3023,0.0787,0.0284,983.487,1.878,59.804,0.060808124560873714,0.43,231061.0,0.62
5000.0,5.9679839999999995,0.131,0.3516,0.0766,0.0285,987.958,1.887,58.216,0.05892558185671861,0.43,231257.0,0.5927
5000.0,6.9604128,0.1528,0.3974,0.0744,0.0286,990.086,1.891,56.524,0.05708999016247074,0.43,231465.0,0.5659
5000.0,7.957312,0.1747,0.44,0.072,0.0286,989.592,1.89,54.727,0.05530258934995432,0.43,231686.0,0.5393
5000.0,8.949740799999999,0.1965,0.4794,0.0695,0.0285,986.205,1.884,52.823,0.05356188622041056,0.43,231920.0,0.5132
5000.0,9.9421696,0.2183,0.5158,0.0669,0.0283,979.687,1.871,50.814,0.05186758628010783,0.43,232168.0,0.4874
5000.0,10.9390688,0.2401,0.5493,0.0641,0.028,969.864,1.852,48.703,0.05021631898905414,0.43,232429.0,0.462
5000.0,11.9314976,0.262,0.58,0.0612,0.0276,956.613,1.827,46.497,0.048605862558840404,0.43,232705.0,0.4369
5000.0,12.9283968,0.2838,0.608,0.0582,0.0271,939.843,1.795,44.202,0.04703125947631679,0.43,232994.0,0.4122
5000.0,13.9208256,0.3056,0.6333,0.055,0.0266,919.465,1.756,41.825,0.045488409020462986,0.43,233299.0,0.3878
5000.0,14.917724799999998,0.3275,0.6559,0.0518,0.0259,895.395,1.71,39.371,0.043970538142384094,0.43,233617.0,0.3637
5000.0,15.910153600000001,0.3493,0.6757,0.0485,0.0251,867.548,1.657,36.845,0.0424702725382342,0.43,233951.0,0.3399
5000.0,16.9070528,0.3711,0.6928,0.0451,0.0241,835.843,1.596,34.254,0.040981380474562804,0.43,234299.0,0.3162
5000.0,17.899481599999998,0.393,0.7069,0.0416,0.0231,800.201,1.528,31.601,0.03949132780388927,0.43,234662.0,0.2927
5000.0,18.8919104,0.4148,0.7177,0.038,0.022,760.552,1.453,28.892,0.037988198045630014,0.43,235041.0,0.2692
5000.0,19.888809600000002,0.4366,0.725,0.0344,0.0207,716.835,1.369,26.13,0.036451903157630416,0.43,235435.0,0.2457
5000.0,20.8812384,0.4585,0.728,0.0307,0.0193,669.008,1.278,23.322,0.03486056967928634,0.43,235845.0,0.2219
5000.0,21.8781376,0.4803,0.7259,0.0269,0.0178,617.042,1.178,20.473,0.03317926494468772,0.43,236270.0,0.1979
5000.0,22.870566399999998,0.5021,0.7172,0.0231,0.0162,560.938,1.071,17.589,0.031356406590389664,0.43,236711.0,0.1734
5000.0,23.8674656,0.524,0.6995,0.0193,0.0145,500.725,0.956,14.675,0.02930750411902741,0.43,237167.0,0.148
5000.0,24.859894399999998,0.5458,0.6687,0.0154,0.0126,436.474,0.834,11.741,0.026899654962265793,0.43,237639.0,0.1215
5000.0,25.8567936,0.5676,0.6174,0.0116,0.0106,368.304,0.703,8.794,0.023877014640079935,0.43,238127.0,0.0934
5000.0,26.849222400000002,0.5894,0.5296,0.0077,0.0086,296.384,0.566,5.846,0.019724411574174042,0.43,238631.0,0.0629
5000.0,27.8416512,0.6113,0.3661,0.0038,0.0064,220.908,0.422,2.905,0.013150270700925271,0.43,239149.0,0.0295
5000.0,28.838550400000003,0.6331,-0.0179,-0.0001,0.004,140.105,0.268,-0.087,-0.0006209628492916027,0.44,239632.0,0.0
6000.0,0.0,0.0,0.0,0.0884,0.0272,1625.798,2.588,96.767,0.05951969432856972,0.51,276286.0,0.7719
6000.0,1.2025375999999999,0.022,0.0693,0.0869,0.0275,1647.188,2.622,95.127,0.057751149231296,0.51,276454.0,0.7426
6000.0,2.4006048,0.0439,0.1345,0.0853,0.0279,1666.797,2.653,93.361,0.05601221984440817,0.51,276635.0,0.7135
6000.0,3.6031424000000003,0.0659,0.1956,0.0836,0.0282,1684.158,2.68,91.465,0.05430903751310744,0.51,276829.0,0.6847
6000.0,4.8012096,0.0879,0.2528,0.0817,0.0284,1698.808,2.704,89.433,0.05264456018573024,0.51,277037.0,0.6563
6000.0,6.003747199999999,0.1098,0.3063,0.0797,0.0286,1710.257,2.722,87.257,0.05101981748941826,0.51,277260.0,0.6283
6000.0,7.206284800000001,0.1318,0.3562,0.0776,0.0287,1717.999,2.734,84.933,0.049437164980887655,0.51,277498.0,0.6006
6000.0,8.404352,0.1538,0.4026,0.0753,0.0288,1721.526,2.74,82.455,0.04789645930412901,0.51,277751.0,0.5734
6000.0,9.606889599999999,0.1757,0.4457,0.0729,0.0288,1720.33,2.738,79.821,0.04639865607180018,0.51,278020.0,0.5465
6000.0,10.804956800000001,0.1977,0.4857,0.0704,0.0287,1713.937,2.728,77.027,0.044941558528697384,0.51,278305.0,0.52
6000.0,12.007494399999999,0.2197,0.5226,0.0677,0.0285,1701.918,2.709,74.076,0.04352501119325373,0.51,278606.0,0.4939
6000.0,13.2055616,0.2416,0.5567,0.0649,0.0282,1683.966,2.68,70.974,0.04214693170764731,0.51,278924.0,0.4681
6000.0,14.408099199999999,0.2636,0.5879,0.0619,0.0277,1659.872,2.642,67.731,0.040804953634979074,0.51,279259.0,0.4427
6000.0,15.6106368,0.2856,0.6165,0.0588,0.0272,1629.47,2.593,64.356,0.03949505053790496,0.51,279612.0,0.4177
6000.0,16.808704,0.3075,0.6424,0.0556,0.0266,1592.611,2.535,60.86,0.03821397692217371,0.51,279982.0,0.393
6000.0,18.011241599999998,0.3295,0.6656,0.0523,0.0259,1549.149,2.466,57.249,0.036955128267197025,0.51,280369.0,0.3686
6000.0,19.2093088,0.3515,0.6861,0.0489,0.0251,1498.934,2.386,53.534,0.035714714590502315,0.52,280774.0,0.3445
6000.0,20.411846399999998,0.3734,0.7039,0.0454,0.0241,1441.823,2.295,49.72,0.03448412183742387,0.52,281198.0,0.3206
6000.0,21.614384,0.3954,0.7187,0.0419,0.023,1377.677,2.193,45.815,0.03325525504163893,0.52,281639.0,0.2967
6000.0,22.8124512,0.4174,0.7304,0.0382,0.0218,1306.375,2.079,41.827,0.0320176059707205,0.52,282100.0,0.273
6000.0,24.014988799999998,0.4393,0.7386,0.0345,0.0205,1227.81,1.954,37.762,0.03075557293066517,0.52,282578.0,0.2492
