rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0955,0.0379,9.287,0.089,2.632,0.28340691288898456,0.08,41273.0,0.6211
1000.0,0.24140160000000002,0.0273,0.067,0.0943,0.0385,9.44,0.09,2.6,0.27542372881355937,0.08,41303.0,0.5999
1000.0,0.48727360000000003,0.0547,0.13,0.093,0.0391,9.59,0.092,2.565,0.26746611053180397,0.08,41336.0,0.5786
1000.0,0.7286752,0.082,0.1893,0.0916,0.0397,9.733,0.093,2.526,0.25952943593958694,0.08,41373.0,0.5571
1000.0,0.9745472000000001,0.1094,0.2447,0.0901,0.0403,9.868,0.094,2.483,0.2516214025131739,0.08,41413.0,0.5357
1000.0,1.2159488,0.1367,0.2964,0.0884,0.0408,9.99,0.095,2.436,0.24384384384384383,0.08,41456.0,0.5143
1000.0,1.4573504,0.1641,0.3446,0.0865,0.0412,10.096,0.096,2.385,0.2362321711568938,0.08,41503.0,0.4929
1000.0,1.7032224,0.1914,0.3893,0.0845,0.0416,10.183,0.097,2.329,0.22871452420701172,0.08,41554.0,0.4717
1000.0,1.944624,0.2188,0.4306,0.0823,0.0418,10.247,0.098,2.269,0.22143066263296576,0.08,41609.0,0.4505
1000.0,2.1860256,0.2461,0.4687,0.0799,0.042,10.283,0.098,2.203,0.21423709034328503,0.08,41668.0,0.4295
1000.0,2.4318976,0.2735,0.5037,0.0773,0.042,10.289,0.098,2.132,0.20721158518806493,0.08,41731.0,0.4087
1000.0,2.6732992,0.3008,0.5357,0.0746,0.0419,10.26,0.098,2.055,0.20029239766081874,0.08,41798.0,0.388
1000.0,2.9191712,0.3282,0.5648,0.0716,0.0416,10.193,0.097,1.973,0.1935642107328559,0.08,41870.0,0.3674
1000.0,3.1605728,0.3555,0.5909,0.0684,0.0412,10.085,0.096,1.886,0.18701041150223102,0.08,41946.0,0.3469
1000.0,3.4019744000000003,0.3829,0.6142,0.065,0.0405,9.932,0.095,1.792,0.18042690293999195,0.08,42026.0,0.3264
1000.0,3.6478464,0.4102,0.6345,0.0614,0.0397,9.73,0.093,1.693,0.17399794450154163,0.08,42110.0,0.3058
1000.0,3.889248,0.4375,0.6517,0.0576,0.0387,9.478,0.091,1.588,0.16754589575859888,0.08,42199.0,0.2852
1000.0,4.1306496,0.4649,0.6656,0.0536,0.0374,9.177,0.088,1.478,0.16105481094039448,0.08,42293.0,0.2645
1000.0,4.376521599999999,0.4922,0.6758,0.0495,0.036,8.829,0.084,1.363,0.15437761920942347,0.08,42391.0,0.2436
1000.0,4.6179232,0.5196,0.682,0.0452,0.0344,8.436,0.081,1.245,0.14758179231863444,0.08,42493.0,0.2226
1000.0,4.8637952,0.5469,0.6833,0.0408,0.0326,8.0,0.076,1.124,0.1405,0.08,42599.0,0.2013
1000.0,5.1051968,0.5743,0.679,0.0363,0.0307,7.524,0.072,1.001,0.1330409356725146,0.08,42710.0,0.1797
1000.0,5.3465984,0.6016,0.6678,0.0317,0.0286,7.009,0.067,0.875,0.12483949208160935,0.08,42825.0,0.1578
1000.0,5.5924704,0.629,0.6478,0.0271,0.0264,6.459,0.062,0.748,0.11580740052639728,0.08,42945.0,0.1354
1000.0,5.833872,0.6563,0.6165,0.0225,0.024,5.875,0.056,0.621,0.10570212765957447,0.09,43069.0,0.1125
1000.0,6.079744,0.6837,0.5697,0.0179,0.0215,5.26,0.05,0.493,0.09372623574144487,0.09,43197.0,0.0889
1000.0,6.3211456,0.711,0.5009,0.0133,0.0189,4.62,0.044,0.366,0.07922077922077922,0.09,43329.0,0.0648
1000.0,6.5625472,0.7384,0.3992,0.0087,0.0161,3.957,0.038,0.241,0.060904725802375534,0.09,43466.0,0.0403
1000.0,6.8084192,0.7657,0.2441,0.0043,0.0134,3.277,0.031,0.118,0.03600854440036619,0.09,43607.0,0.0166
1000.0,7.0498208,0.793,-0.0068,-0.0001,0.0105,2.585,0.025,-0.002,-0.0007736943907156673,0.09,43752.0,0.0
2000.0,0.0,0.0,0.0,0.0958,0.0354,69.459,0.332,10.567,0.15213291294144746,0.17,82545.0,0.6681
2000.0,0.48727360000000003,0.0274,0.072,0.0947,0.0361,70.757,0.338,10.44,0.147547239142417,0.17,82605.0,0.6441
2000.0,0.9745472000000001,0.0549,0.1395,0.0934,0.0367,72.033,0.344,10.3,0.14299001846375967,0.17,82672.0,0.62
2000.0,1.4618208,0.0823,0.2026,0.092,0.0374,73.263,0.35,10.145,0.13847371797496688,0.17,82745.0,0.5959
2000.0,1.9490944000000001,0.1097,0.2615,0.0905,0.038,74.423,0.355,9.975,0.1340311462854225,0.17,82825.0,0.5719
2000.0,2.4408384,0.1372,0.3162,0.0888,0.0385,75.486,0.36,9.788,0.12966642821185384,0.17,82912.0,0.548
2000.0,2.928112,0.1646,0.367,0.0869,0.039,76.423,0.365,9.583,0.12539418761367652,0.17,83007.0,0.5244
2000.0,3.4153856,0.192,0.4139,0.0849,0.0394,77.204,0.369,9.36,0.12123724159369981,0.17,83109.0,0.5011
2000.0,3.9026592,0.2195,0.4573,0.0827,0.0397,77.798,0.371,9.116,0.1171752487210468,0.17,83219.0,0.478
2000.0,4.3899328,0.2469,0.4971,0.0803,0.0399,78.172,0.373,8.852,0.11323747633423734,0.17,83338.0,0.4552
2000.0,4.8772064,0.2743,0.5337,0.0777,0.0399,78.294,0.374,8.567,0.10942090070758935,0.17,83465.0,0.4326
2000.0,5.36448,0.3018,0.5672,0.0749,0.0399,78.132,0.373,8.259,0.1057057287667025,0.17,83600.0,0.4104
2000.0,5.8517535999999994,0.3292,0.5976,0.0719,0.0396,77.656,0.371,7.929,0.10210415164314413,0.17,83744.0,0.3884
2000.0,6.339027199999999,0.3566,0.6252,0.0687,0.0392,76.837,0.367,7.576,0.0985983315329854,0.17,83897.0,0.3666
2000.0,6.8307712,0.3841,0.6499,0.0653,0.0386,75.646,0.361,7.199,0.0951669619014885,0.17,84058.0,0.345
2000.0,7.3180448,0.4115,0.6718,0.0617,0.0378,74.053,0.354,6.799,0.09181262069058647,0.17,84229.0,0.3234
2000.0,7.8053184,0.4389,0.6907,0.0578,0.0367,72.042,0.344,6.376,0.08850392826406818,0.17,84408.0,0.3019
2000.0,8.292592,0.4664,0.7067,0.0538,0.0355,69.618,0.332,5.933,0.08522221264615473,0.17,84596.0,0.2804
2000.0,8.7798656,0.4938,0.7193,0.0496,0.0341,66.797,0.319,5.472,0.08191984669970209,0.17,84792.0,0.2589
2000.0,9.2671392,0.5212,0.7282,0.0453,0.0324,63.595,0.304,4.997,0.07857535969808947,0.17,84998.0,0.2373
