rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0888,0.0332,10.26,0.098,2.948,0.28732943469785577,0.09,43574.0,0.6361
1000.0,0.2369312,0.0253,0.0658,0.0876,0.0337,10.414,0.099,2.907,0.27914346072594587,0.09,43603.0,0.6138
1000.0,0.4738624,0.0506,0.1278,0.0862,0.0342,10.563,0.101,2.863,0.271040424121935,0.09,43634.0,0.5914
1000.0,0.7063232,0.076,0.186,0.0848,0.0346,10.702,0.102,2.814,0.26294150626051205,0.09,43669.0,0.5689
1000.0,0.9432543999999999,0.1013,0.2405,0.0832,0.035,10.829,0.103,2.761,0.2549635238710869,0.09,43707.0,0.5465
1000.0,1.1801856,0.1266,0.2914,0.0814,0.0354,10.939,0.104,2.704,0.24718895694304782,0.09,43747.0,0.5241
1000.0,1.4171167999999998,0.1519,0.3388,0.0795,0.0357,11.03,0.105,2.641,0.23943789664551227,0.09,43791.0,0.5018
1000.0,1.6495776,0.1772,0.3828,0.0775,0.0359,11.098,0.106,2.573,0.2318435754189944,0.09,43839.0,0.4797
1000.0,1.8865087999999999,0.2026,0.4235,0.0753,0.036,11.138,0.106,2.5,0.2244568145088885,0.09,43890.0,0.4577
1000.0,2.12344,0.2279,0.461,0.0729,0.036,11.148,0.106,2.421,0.21716899892357372,0.09,43945.0,0.4359
1000.0,2.3603712,0.2532,0.4954,0.0704,0.036,11.124,0.106,2.337,0.21008629989212513,0.09,44003.0,0.4142
1000.0,2.592832,0.2785,0.5269,0.0677,0.0358,11.062,0.106,2.247,0.20312782498644005,0.09,44065.0,0.3926
1000.0,2.8297632,0.3038,0.5553,0.0648,0.0354,10.96,0.105,2.151,0.19625912408759122,0.09,44131.0,0.3711
1000.0,3.0666944000000003,0.3292,0.5808,0.0617,0.035,10.815,0.103,2.049,0.18945908460471567,0.09,44200.0,0.3497
1000.0,3.3036255999999997,0.3545,0.6033,0.0585,0.0344,10.624,0.101,1.941,0.1826995481927711,0.09,44274.0,0.3283
1000.0,3.5360864,0.3798,0.6227,0.0551,0.0336,10.387,0.099,1.829,0.17608549147973426,0.09,44351.0,0.307
1000.0,3.7730175999999997,0.4051,0.639,0.0515,0.0327,10.104,0.096,1.711,0.16933887569279496,0.09,44433.0,0.2857
1000.0,4.0099488,0.4305,0.6518,0.0479,0.0316,9.778,0.093,1.59,0.16260994068316628,0.09,44518.0,0.2643
1000.0,4.24688,0.4558,0.6608,0.0441,0.0304,9.409,0.09,1.465,0.15570198745881603,0.09,44607.0,0.243
1000.0,4.4793408,0.4811,0.6658,0.0403,0.0291,8.998,0.086,1.337,0.148588575238942,0.09,44700.0,0.2216
1000.0,4.716272,0.5064,0.6659,0.0363,0.0276,8.545,0.082,1.206,0.14113516676418958,0.09,44797.0,0.2
1000.0,4.9532032,0.5317,0.6605,0.0323,0.026,8.051,0.077,1.074,0.13339957769221214,0.09,44898.0,0.1782
1000.0,5.1901344,0.5571,0.6483,0.0283,0.0243,7.519,0.072,0.94,0.1250166245511371,0.09,45003.0,0.1562
1000.0,5.4225952,0.5824,0.6278,0.0242,0.0225,6.949,0.066,0.804,0.11570010073391856,0.09,45112.0,0.1338
1000.0,5.6595264,0.6077,0.5962,0.0201,0.0205,6.343,0.061,0.668,0.10531294340217563,0.09,45225.0,0.1111
1000.0,5.8964576,0.633,0.55,0.016,0.0184,5.704,0.054,0.532,0.0932678821879383,0.09,45342.0,0.0878
1000.0,6.1333888000000005,0.6583,0.4831,0.0119,0.0163,5.035,0.048,0.397,0.0788480635551142,0.09,45464.0,0.064
1000.0,6.3658496,0.6837,0.3851,0.0079,0.014,4.34,0.041,0.262,0.06036866359447005,0.09,45589.0,0.04
1000.0,6.6027808,0.709,0.2375,0.0039,0.0117,3.622,0.035,0.13,0.03589177250138045,0.09,45717.0,0.0167
1000.0,6.8397120000000005,0.7343,0.0016,0.0,0.0093,2.886,0.028,0.001,0.0003465003465003465,0.09,45849.0,0.0
2000.0,0.0,0.0,0.0,0.0891,0.031,76.596,0.366,11.841,0.15459031803227322,0.17,87146.0,0.6859
2000.0,0.4738624,0.0254,0.071,0.0879,0.0315,77.92,0.372,11.679,0.14988449691991787,0.17,87204.0,0.6605
2000.0,0.9477248,0.0509,0.1376,0.0866,0.032,79.197,0.378,11.501,0.14522014722779902,0.17,87268.0,0.6351
2000.0,1.4215872,0.0763,0.1998,0.0851,0.0325,80.402,0.384,11.307,0.14063083007885377,0.17,87337.0,0.6098
2000.0,1.8954496,0.1017,0.2579,0.0835,0.0329,81.508,0.389,11.095,0.13612160769495021,0.17,87413.0,0.5847
2000.0,2.369312,0.1271,0.3119,0.0818,0.0333,82.486,0.394,10.864,0.13170719879737167,0.17,87495.0,0.5598
2000.0,2.8431744,0.1526,0.362,0.0799,0.0337,83.306,0.398,10.613,0.12739778647396346,0.17,87584.0,0.5352
2000.0,3.3170368,0.178,0.4084,0.0779,0.0339,83.936,0.401,10.34,0.12318909645444147,0.17,87680.0,0.5109
2000.0,3.7908992,0.2034,0.4513,0.0756,0.0341,84.345,0.403,10.046,0.11910605252237833,0.17,87782.0,0.4868
2000.0,4.260291199999999,0.2288,0.4907,0.0732,0.0342,84.502,0.403,9.729,0.11513336962438758,0.17,87892.0,0.4631
2000.0,4.7341536,0.2543,0.5269,0.0707,0.0341,84.378,0.403,9.388,0.1112612292303681,0.18,88010.0,0.4396
2000.0,5.208016,0.2797,0.56,0.0679,0.0339,83.946,0.401,9.024,0.10749767707812165,0.18,88135.0,0.4165
2000.0,5.6818784,0.3051,0.5901,0.065,0.0336,83.181,0.397,8.637,0.10383380820139215,0.18,88267.0,0.3935
2000.0,6.155740799999999,0.3305,0.6172,0.0619,0.0332,82.058,0.392,8.227,0.10025835384727876,0.18,88408.0,0.3708
2000.0,6.6296032,0.356,0.6414,0.0587,0.0326,80.551,0.385,7.793,0.09674616081737036,0.18,88556.0,0.3483
2000.0,7.1034656,0.3814,0.6627,0.0552,0.0318,78.657,0.376,7.337,0.09327841133020583,0.18,88712.0,0.3258
2000.0,7.577328,0.4068,0.6809,0.0517,0.0309,76.384,0.365,6.864,0.08986175115207373,0.18,88876.0,0.3036
2000.0,8.051190400000001,0.4322,0.6959,0.048,0.0298,73.74,0.352,6.374,0.08643883916463249,0.18,89048.0,0.2814
2000.0,8.5250528,0.4577,0.7076,0.0442,0.0286,70.729,0.338,5.871,0.08300697026679298,0.18,89227.0,0.2593
2000.0,8.998915199999999,0.4831,0.7154,0.0403,0.0272,67.358,0.322,5.355,0.07950057899581342,0.18,89415.0,0.2372
2000.0,9.4727776,0.5085,0.7189,0.0364,0.0257,63.632,0.304,4.829,0.07588948956499875,0.18,89611.0,0.2151
2000.0,9.94664,0.5339,0.7173,0.0323,0.0241,59.559,0.284,4.296,0.07213015665138771,0.18,89814.0,0.1928
2000.0,10.420502399999998,0.5594,0.7095,0.0283,0.0223,55.15,0.263,3.755,0.06808703535811424,0.18,90026.0,0.1702
2000.0,10.8943648,0.5848,0.6938,0.0242,0.0204,50.418,0.241,3.211,0.06368757189892499,0.18,90246.0,0.1472
2000.0,11.3682272,0.6102,0.6674,0.0201,0.0183,45.379,0.217,2.665,0.05872760527997532,0.18,90474.0,0.1236
2000.0,11.8420896,0.6356,0.6262,0.016,0.0162,40.056,0.191,2.119,0.05290093868583983,0.18,90710.0,0.0993
2000.0,12.311481599999999,0.6611,0.5627,0.0119,0.0139,34.474,0.165,1.575,0.04568660439751697,0.18,90954.0,0.074
2000.0,12.785344,0.6865,0.463,0.0078,0.0116,28.666,0.137,1.038,0.036210144421963304,0.18,91206.0,0.0476
2000.0,13.2592064,0.7119,0.2979,0.0038,0.0092,22.669,0.108,0.509,0.022453570955931007,0.18,91465.0,0.0207
2000.0,13.7330688,0.7374,-0.0073,-0.0001,0.0067,16.51,0.079,-0.009,-0.0005451241671714112,0.18,91729.0,0.0
3000.0,0.0,0.0,0.0,0.0896,0.0301,251.491,0.801,26.775,0.10646504248660985,0.26,130715.0,0.7104
3000.0,0.7107936,0.0254,0.0733,0.0884,0.0307,256.108,0.815,26.413,0.10313227232261389,0.26,130803.0,0.6835
3000.0,1.4215872,0.0509,0.142,0.0871,0.0312,260.573,0.829,26.016,0.0998415031488297,0.26,130898.0,0.6567
3000.0,2.1323808,0.0763,0.2061,0.0856,0.0317,264.797,0.843,25.58,0.09660230289618084,0.26,131003.0,0.6301
3000.0,2.8431744,0.1018,0.2657,0.084,0.0322,268.688,0.855,25.104,0.0934317870541297,0.26,131117.0,0.6037
3000.0,3.5539680000000002,0.1272,0.3211,0.0823,0.0326,272.147,0.866,24.584,0.09033353298033783,0.26,131240.0,0.5776
3000.0,4.2647616,0.1527,0.3725,0.0804,0.0329,275.067,0.876,24.019,0.08732054372207498,0.26,131374.0,0.5519
3000.0,4.9755552000000005,0.1781,0.42,0.0783,0.0332,277.341,0.883,23.405,0.08439069593028077,0.26,131517.0,0.5265
3000.0,5.6863488,0.2036,0.4639,0.0761,0.0334,278.86,0.888,22.741,0.08154988166104855,0.26,131672.0,0.5015
3000.0,6.3971424,0.229,0.5042,0.0737,0.0335,279.516,0.89,22.025,0.0787969203909615,0.26,131837.0,0.4769
3000.0,7.1079360000000005,0.2545,0.5413,0.0711,0.0334,279.208,0.889,21.257,0.07613320535228217,0.26,132014.0,0.4526
3000.0,7.8232,0.2799,0.5752,0.0684,0.0333,277.842,0.884,20.435,0.07354899547224682,0.26,132202.0,0.4287
