rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.2344,0.1925,0.04,0.0,0.022,0.5499999999999999,0.02,4049.0,0.4703
1000.0,0.0804672,0.0366,0.0438,0.2326,0.1943,0.04,0.0,0.022,0.5499999999999999,0.02,4055.0,0.4606
1000.0,0.156464,0.0732,0.0861,0.2306,0.1961,0.041,0.0,0.022,0.5365853658536585,0.02,4062.0,0.4506
1000.0,0.2369312,0.1098,0.1267,0.2284,0.1979,0.041,0.0,0.022,0.5365853658536585,0.02,4069.0,0.4403
1000.0,0.31739839999999997,0.1464,0.1658,0.226,0.1995,0.041,0.0,0.022,0.5365853658536585,0.02,4077.0,0.4296
1000.0,0.3933952,0.183,0.2032,0.2233,0.2011,0.042,0.0,0.021,0.5,0.02,4085.0,0.4187
1000.0,0.4738624,0.2195,0.2389,0.2203,0.2024,0.042,0.0,0.021,0.5,0.02,4095.0,0.4074
1000.0,0.5543296,0.2561,0.2729,0.2169,0.2036,0.042,0.0,0.021,0.5,0.02,4105.0,0.3958
1000.0,0.6303264,0.2927,0.3052,0.213,0.2043,0.042,0.0,0.02,0.47619047619047616,0.02,4116.0,0.3839
1000.0,0.7107936,0.3293,0.3358,0.2088,0.2047,0.042,0.0,0.02,0.47619047619047616,0.02,4127.0,0.3717
1000.0,0.7912608,0.3659,0.3647,0.204,0.2046,0.042,0.0,0.02,0.47619047619047616,0.02,4139.0,0.3592
1000.0,0.8672576,0.4025,0.3919,0.1986,0.204,0.042,0.0,0.019,0.45238095238095233,0.02,4152.0,0.3462
1000.0,0.9477248,0.4391,0.4174,0.1926,0.2026,0.042,0.0,0.018,0.4285714285714285,0.02,4166.0,0.3328
1000.0,1.028192,0.4757,0.441,0.1859,0.2005,0.042,0.0,0.018,0.4285714285714285,0.02,4181.0,0.319
1000.0,1.1041888,0.5123,0.4628,0.1785,0.1976,0.041,0.0,0.017,0.41463414634146345,0.02,4196.0,0.3046
1000.0,1.184656,0.5489,0.4824,0.1705,0.194,0.04,0.0,0.016,0.4,0.02,4212.0,0.2896
1000.0,1.2651232000000001,0.5855,0.4996,0.1618,0.1896,0.039,0.0,0.016,0.41025641025641024,0.02,4229.0,0.2739
