rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1384,0.094,0.022,0.0,0.015,0.6818181818181819,0.02,3319.0,0.437
1000.0,0.0759968,0.0348,0.0503,0.1379,0.0953,0.023,0.0,0.015,0.6521739130434783,0.02,3322.0,0.4286
1000.0,0.156464,0.0695,0.0988,0.1373,0.0967,0.023,0.0,0.015,0.6521739130434783,0.02,3326.0,0.4199
1000.0,0.2324608,0.1043,0.1453,0.1367,0.0982,0.023,0.0,0.015,0.6521739130434783,0.02,3330.0,0.4109
1000.0,0.3084576,0.1391,0.1898,0.136,0.0997,0.024,0.0,0.015,0.625,0.02,3335.0,0.4016
1000.0,0.3844544,0.1739,0.2323,0.1352,0.1012,0.024,0.0,0.015,0.625,0.02,3340.0,0.3921
1000.0,0.4649216,0.2086,0.2728,0.1343,0.1028,0.025,0.0,0.014,0.5599999999999999,0.02,3346.0,0.3823
1000.0,0.5409184,0.2434,0.3112,0.1332,0.1042,0.025,0.0,0.014,0.5599999999999999,0.02,3352.0,0.3723
1000.0,0.6169152,0.2782,0.3475,0.1319,0.1056,0.025,0.0,0.014,0.5599999999999999,0.02,3359.0,0.3621
1000.0,0.6973824,0.313,0.382,0.1304,0.1068,0.026,0.0,0.014,0.5384615384615385,0.02,3366.0,0.3517
1000.0,0.7733791999999999,0.3477,0.4146,0.1285,0.1078,0.026,0.0,0.014,0.5384615384615385,0.02,3374.0,0.3411
1000.0,0.8493759999999999,0.3825,0.4453,0.1263,0.1085,0.026,0.0,0.014,0.5384615384615385,0.02,3383.0,0.3302
1000.0,0.9253727999999999,0.4173,0.4744,0.1237,0.1088,0.026,0.0,0.013,0.5,0.02,3392.0,0.319
1000.0,1.00584,0.4521,0.5016,0.1206,0.1087,0.026,0.0,0.013,0.5,0.02,3402.0,0.3074
1000.0,1.0818368,0.4868,0.527,0.117,0.108,0.026,0.0,0.013,0.5,0.02,3412.0,0.2954
1000.0,1.1578336,0.5216,0.5505,0.1128,0.1069,0.026,0.0,0.012,0.46153846153846156,0.02,3424.0,0.2828
1000.0,1.2383008,0.5564,0.5717,0.108,0.1051,0.025,0.0,0.012,0.48,0.02,3435.0,0.2694
1000.0,1.3142976,0.5912,0.5903,0.1026,0.1028,0.025,0.0,0.011,0.43999999999999995,0.02,3448.0,0.2553
1000.0,1.3902944,0.6259,0.6056,0.0967,0.0999,0.024,0.0,0.01,0.4166666666666667,0.02,3461.0,0.2401
1000.0,1.4662912,0.6607,0.6168,0.0902,0.0967,0.023,0.0,0.01,0.4347826086956522,0.02,3474.0,0.2238
1000.0,1.5467583999999999,0.6955,0.6227,0.0833,0.0931,0.022,0.0,0.009,0.40909090909090906,0.02,3488.0,0.2062
1000.0,1.6227551999999998,0.7303,0.6221,0.076,0.0893,0.021,0.0,0.008,0.38095238095238093,0.02,3503.0,0.1874
1000.0,1.6987519999999998,0.765,0.6135,0.0684,0.0853,0.02,0.0,0.007,0.35,0.02,3518.0,0.1673
1000.0,1.7792192,0.7998,0.5952,0.0604,0.0812,0.019,0.0,0.007,0.368421052631579,0.02,3533.0,0.1459
1000.0,1.8552160000000002,0.8346,0.5654,0.0522,0.077,0.018,0.0,0.006,0.33333333333333337,0.02,3550.0,0.1234
1000.0,1.9312128000000002,0.8694,0.5216,0.0437,0.0728,0.017,0.0,0.005,0.29411764705882354,0.02,3566.0,0.1
1000.0,2.0072096,0.9041,0.4612,0.035,0.0686,0.016,0.0,0.004,0.25,0.02,3583.0,0.0761
1000.0,2.0876768,0.9389,0.381,0.0261,0.0644,0.015,0.0,0.003,0.2,0.02,3601.0,0.0523
1000.0,2.1636736,0.9737,0.2774,0.0171,0.0602,0.014,0.0,0.002,0.14285714285714285,0.02,3619.0,0.0298
1000.0,2.2396704,1.0085,0.1459,0.0081,0.056,0.013,0.0,0.001,0.07692307692307693,0.02,3638.0,0.0104
2000.0,0.0,0.0,0.0,0.139,0.0861,0.165,0.001,0.06,0.3636363636363636,0.04,6637.0,0.4799
2000.0,0.1609344,0.0359,0.0568,0.1385,0.0876,0.168,0.001,0.06,0.3571428571428571,0.04,6644.0,0.4697
2000.0,0.31739839999999997,0.0718,0.1112,0.138,0.0891,0.17,0.001,0.059,0.3470588235294117,0.04,6652.0,0.459
2000.0,0.4783328,0.1077,0.1631,0.1374,0.0907,0.174,0.001,0.059,0.339080459770115,0.04,6661.0,0.448
2000.0,0.6392671999999999,0.1435,0.2125,0.1367,0.0923,0.177,0.001,0.059,0.3333333333333333,0.04,6671.0,0.4367
2000.0,0.7957312,0.1794,0.2593,0.1359,0.094,0.18,0.001,0.059,0.3277777777777778,0.04,6681.0,0.4251
2000.0,0.9566656,0.2153,0.3035,0.135,0.0957,0.183,0.001,0.058,0.31693989071038253,0.04,6693.0,0.4132
2000.0,1.1176,0.2512,0.3452,0.1338,0.0974,0.186,0.001,0.058,0.3118279569892473,0.04,6707.0,0.4012
2000.0,1.274064,0.2871,0.3844,0.1325,0.0989,0.189,0.001,0.057,0.30158730158730157,0.04,6721.0,0.3889
2000.0,1.4349984,0.323,0.4213,0.1308,0.1003,0.192,0.001,0.056,0.2916666666666667,0.04,6737.0,0.3764
2000.0,1.5959328,0.3589,0.4558,0.1288,0.1014,0.194,0.001,0.055,0.28350515463917525,0.04,6754.0,0.3638
2000.0,1.7523967999999999,0.3947,0.4882,0.1264,0.1022,0.196,0.001,0.054,0.2755102040816326,0.04,6772.0,0.3509
2000.0,1.9133312,0.4306,0.5185,0.1236,0.1026,0.196,0.001,0.053,0.2704081632653061,0.04,6792.0,0.3377
2000.0,2.0742656,0.4665,0.5467,0.1201,0.1025,0.196,0.001,0.052,0.26530612244897955,0.04,6812.0,0.3241
2000.0,2.2352,0.5024,0.5729,0.1162,0.1019,0.195,0.001,0.05,0.25641025641025644,0.04,6835.0,0.3101
2000.0,2.391664,0.5383,0.5969,0.1115,0.1006,0.193,0.001,0.048,0.24870466321243523,0.04,6858.0,0.2955
2000.0,2.5525984,0.5742,0.6185,0.1063,0.0987,0.189,0.001,0.046,0.24338624338624337,0.04,6883.0,0.2802
2000.0,2.7135328000000003,0.6101,0.6371,0.1004,0.0962,0.184,0.001,0.043,0.23369565217391303,0.04,6909.0,0.2641
2000.0,2.8699968,0.6459,0.6522,0.094,0.0931,0.178,0.001,0.04,0.22471910112359553,0.04,6936.0,0.247
2000.0,3.0309312,0.6818,0.6629,0.0871,0.0896,0.171,0.001,0.037,0.2163742690058479,0.04,6965.0,0.2289
2000.0,3.1918656,0.7177,0.6679,0.0797,0.0856,0.164,0.001,0.034,0.20731707317073172,0.04,6995.0,0.2096
2000.0,3.3483296,0.7536,0.666,0.072,0.0814,0.156,0.001,0.031,0.1987179487179487,0.04,7026.0,0.1891
2000.0,3.509264,0.7895,0.6554,0.0639,0.077,0.147,0.001,0.028,0.1904761904761905,0.04,7058.0,0.1674
2000.0,3.6701984000000003,0.8254,0.6341,0.0556,0.0723,0.138,0.001,0.024,0.17391304347826086,0.04,7091.0,0.1445
2000.0,3.8266624,0.8613,0.5994,0.047,0.0675,0.129,0.001,0.02,0.15503875968992248,0.04,7125.0,0.1204
2000.0,3.9875968,0.8971,0.548,0.0383,0.0626,0.12,0.001,0.016,0.13333333333333333,0.04,7160.0,0.0953
2000.0,4.1485312,0.933,0.4753,0.0293,0.0576,0.11,0.001,0.013,0.11818181818181818,0.04,7196.0,0.0696
2000.0,4.3049952000000005,0.9689,0.3753,0.0203,0.0525,0.101,0.0,0.009,0.08910891089108909,0.04,7233.0,0.0441
2000.0,4.4659296,1.0048,0.2396,0.0113,0.0474,0.091,0.0,0.005,0.05494505494505495,0.04,7272.0,0.0202
2000.0,4.626863999999999,1.0407,0.0564,0.0023,0.0422,0.081,0.0,0.001,0.012345679012345678,0.04,7311.0,0.0021
3000.0,0.0,0.0,0.0,0.1393,0.0825,0.533,0.002,0.135,0.25328330206378985,0.06,9956.0,0.5028
3000.0,0.24140160000000002,0.0362,0.0599,0.1388,0.0839,0.542,0.002,0.134,0.24723247232472326,0.06,9966.0,0.4915
3000.0,0.48280320000000004,0.0725,0.1172,0.1383,0.0855,0.552,0.002,0.134,0.2427536231884058,0.06,9978.0,0.4798
3000.0,0.7242048,0.1087,0.1717,0.1377,0.0872,0.563,0.002,0.133,0.23623445825932507,0.06,9992.0,0.4677
3000.0,0.9656064000000001,0.1449,0.2234,0.137,0.0889,0.574,0.002,0.133,0.23170731707317077,0.06,10006.0,0.4553
3000.0,1.207008,0.1812,0.2723,0.1362,0.0907,0.586,0.002,0.132,0.22525597269624575,0.06,10023.0,0.4426
3000.0,1.4484096,0.2174,0.3183,0.1353,0.0924,0.597,0.002,0.131,0.21943048576214408,0.06,10041.0,0.4296
3000.0,1.6898111999999998,0.2536,0.3614,0.1342,0.0942,0.608,0.002,0.13,0.21381578947368424,0.06,10061.0,0.4165
