rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1538,0.1638,0.039,0.0,0.017,0.4358974358974359,0.02,3948.0,0.2939
1000.0,0.1251712,0.0558,0.0519,0.1533,0.1647,0.039,0.0,0.016,0.41025641025641024,0.02,3955.0,0.2906
1000.0,0.2503424,0.1117,0.1028,0.1527,0.166,0.04,0.0,0.016,0.4,0.02,3963.0,0.287
1000.0,0.37104319999999996,0.1675,0.1522,0.1523,0.1676,0.04,0.0,0.016,0.4,0.02,3972.0,0.2829
1000.0,0.49621440000000006,0.2233,0.2,0.152,0.1697,0.041,0.0,0.016,0.3902439024390244,0.02,3983.0,0.2785
1000.0,0.6213856,0.2792,0.2459,0.1516,0.1721,0.041,0.0,0.016,0.3902439024390244,0.02,3996.0,0.2737
1000.0,0.7465567999999999,0.335,0.2897,0.1513,0.175,0.042,0.0,0.016,0.38095238095238093,0.02,4010.0,0.2684
1000.0,0.8672576,0.3908,0.3311,0.151,0.1783,0.043,0.0,0.016,0.372093023255814,0.02,4026.0,0.2627
1000.0,0.9924288000000001,0.4467,0.3701,0.1506,0.1818,0.043,0.0,0.016,0.372093023255814,0.02,4044.0,0.2566
1000.0,1.1176,0.5025,0.4064,0.1501,0.1856,0.044,0.0,0.016,0.36363636363636365,0.02,4064.0,0.25
1000.0,1.2427712,0.5583,0.44,0.1493,0.1895,0.045,0.0,0.016,0.35555555555555557,0.02,4086.0,0.243
1000.0,1.3634719999999998,0.6142,0.471,0.1482,0.1933,0.046,0.0,0.016,0.34782608695652173,0.02,4109.0,0.2356
1000.0,1.4886432,0.67,0.4993,0.1467,0.1968,0.047,0.0,0.016,0.3404255319148936,0.02,4134.0,0.2278
1000.0,1.6138143999999999,0.7258,0.5251,0.1446,0.1999,0.048,0.0,0.016,0.3333333333333333,0.02,4162.0,0.2195
1000.0,1.7389856000000001,0.7817,0.5485,0.1419,0.2022,0.048,0.0,0.015,0.3125,0.02,4191.0,0.2109
1000.0,1.8596864,0.8375,0.5694,0.1384,0.2035,0.049,0.0,0.015,0.3061224489795918,0.02,4222.0,0.2018
1000.0,1.9848576000000002,0.8933,0.5881,0.134,0.2035,0.049,0.0,0.014,0.2857142857142857,0.02,4255.0,0.1922
1000.0,2.1100288,0.9492,0.6044,0.1286,0.202,0.048,0.0,0.014,0.2916666666666667,0.02,4289.0,0.1822
1000.0,2.2352,1.005,0.6182,0.1222,0.1987,0.048,0.0,0.013,0.2708333333333333,0.02,4326.0,0.1716
1000.0,2.3559007999999997,1.0608,0.6293,0.1149,0.1936,0.046,0.0,0.012,0.2608695652173913,0.02,4364.0,0.1604
1000.0,2.4810719999999997,1.1167,0.6368,0.1066,0.1869,0.045,0.0,0.011,0.24444444444444444,0.02,4403.0,0.1486
1000.0,2.6062432,1.1725,0.6397,0.0976,0.1788,0.043,0.0,0.011,0.2558139534883721,0.02,4444.0,0.136
1000.0,2.7314144000000002,1.2283,0.6366,0.0878,0.1695,0.041,0.0,0.009,0.2195121951219512,0.02,4487.0,0.1225
1000.0,2.8521152,1.2842,0.6256,0.0776,0.1592,0.038,0.0,0.008,0.2105263157894737,0.02,4531.0,0.1083
1000.0,2.9772864,1.34,0.6046,0.0668,0.1481,0.035,0.0,0.007,0.19999999999999998,0.02,4576.0,0.093
1000.0,3.1024576,1.3958,0.5703,0.0557,0.1362,0.033,0.0,0.006,0.18181818181818182,0.02,4623.0,0.0769
