rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.263,0.2076,0.039,0.0,0.023,0.5897435897435898,0.02,4825.0,0.5183
1000.0,0.0715264,0.0337,0.0419,0.2592,0.2083,0.039,0.0,0.023,0.5897435897435898,0.02,4833.0,0.5053
1000.0,0.1430528,0.0674,0.0823,0.255,0.2088,0.039,0.0,0.023,0.5897435897435898,0.02,4842.0,0.492
1000.0,0.2145792,0.1011,0.1211,0.2504,0.209,0.039,0.0,0.022,0.5641025641025641,0.02,4851.0,0.4783
1000.0,0.2861056,0.1348,0.1584,0.2453,0.2088,0.039,0.0,0.022,0.5641025641025641,0.02,4861.0,0.4643
1000.0,0.357632,0.1685,0.1941,0.2398,0.2082,0.039,0.0,0.021,0.5384615384615385,0.02,4872.0,0.4499
1000.0,0.4291584,0.2022,0.2281,0.2337,0.2071,0.039,0.0,0.021,0.5384615384615385,0.02,4883.0,0.4351
1000.0,0.5006848,0.2359,0.2606,0.2271,0.2056,0.039,0.0,0.02,0.5128205128205129,0.02,4895.0,0.4199
1000.0,0.5722112,0.2696,0.2913,0.2198,0.2035,0.038,0.0,0.019,0.5,0.02,4908.0,0.4041
1000.0,0.6437376,0.3033,0.3201,0.2121,0.201,0.038,0.0,0.019,0.5,0.02,4922.0,0.3877
1000.0,0.715264,0.337,0.347,0.2038,0.1979,0.037,0.0,0.018,0.48648648648648646,0.02,4936.0,0.3708
1000.0,0.7867904,0.3707,0.3716,0.195,0.1945,0.036,0.0,0.017,0.47222222222222227,0.02,4950.0,0.3531
1000.0,0.8538464,0.4044,0.3938,0.1857,0.1907,0.036,0.0,0.016,0.4444444444444445,0.02,4966.0,0.3347
1000.0,0.9253727999999999,0.4382,0.4132,0.1759,0.1866,0.035,0.0,0.016,0.45714285714285713,0.02,4982.0,0.3156
1000.0,0.9968992,0.4719,0.4295,0.1658,0.1821,0.034,0.0,0.015,0.4411764705882352,0.02,4998.0,0.2957
1000.0,1.0684256,0.5056,0.4423,0.1552,0.1774,0.033,0.0,0.014,0.42424242424242425,0.02,5015.0,0.275
1000.0,1.1399519999999999,0.5393,0.4511,0.1442,0.1724,0.032,0.0,0.013,0.40625,0.02,5033.0,0.2534
1000.0,1.2114784,0.573,0.4553,0.1328,0.1671,0.031,0.0,0.012,0.3870967741935484,0.02,5051.0,0.2311
1000.0,1.2830048,0.6067,0.4544,0.121,0.1616,0.03,0.0,0.011,0.36666666666666664,0.02,5070.0,0.2079
1000.0,1.3545311999999998,0.6404,0.4474,0.1089,0.1559,0.029,0.0,0.01,0.3448275862068965,0.02,5090.0,0.184
1000.0,1.4260576,0.6741,0.4337,0.0965,0.15,0.028,0.0,0.009,0.3214285714285714,0.02,5110.0,0.1594
1000.0,1.497584,0.7078,0.412,0.0837,0.1438,0.027,0.0,0.007,0.25925925925925924,0.02,5131.0,0.1344
1000.0,1.5691103999999998,0.7415,0.3813,0.0707,0.1375,0.026,0.0,0.006,0.23076923076923078,0.02,5152.0,0.1091
1000.0,1.6406368,0.7752,0.3401,0.0575,0.1311,0.025,0.0,0.005,0.19999999999999998,0.02,5174.0,0.0839
1000.0,1.7121632,0.8089,0.2866,0.0441,0.1244,0.023,0.0,0.004,0.17391304347826086,0.02,5196.0,0.0594
1000.0,1.7836896,0.8426,0.219,0.0306,0.1176,0.022,0.0,0.003,0.13636363636363638,0.02,5219.0,0.0363
1000.0,1.8552160000000002,0.8763,0.1349,0.017,0.1107,0.021,0.0,0.002,0.09523809523809523,0.02,5243.0,0.016
1000.0,1.9267423999999997,0.91,0.0312,0.0036,0.1037,0.019,0.0,0.0,0.0,0.02,5266.0,0.0016
1000.0,1.9982688,0.9437,-0.0975,-0.01,0.0965,0.018,0.0,-0.001,-0.05555555555555556,0.02,5289.0,0.0
2000.0,0.0,0.0,0.0,0.2649,0.1883,0.282,0.001,0.094,0.33333333333333337,0.04,9650.0,0.5779
2000.0,0.1430528,0.0338,0.0466,0.2612,0.1893,0.284,0.001,0.093,0.3274647887323944,0.04,9666.0,0.5625
2000.0,0.2861056,0.0675,0.0913,0.257,0.1901,0.285,0.001,0.091,0.3192982456140351,0.04,9684.0,0.5469
2000.0,0.4291584,0.1013,0.1341,0.2525,0.1906,0.286,0.001,0.089,0.3111888111888112,0.04,9702.0,0.531
2000.0,0.5722112,0.135,0.1751,0.2474,0.1908,0.286,0.001,0.088,0.3076923076923077,0.04,9723.0,0.5148
2000.0,0.715264,0.1688,0.2143,0.2419,0.1905,0.286,0.001,0.086,0.3006993006993007,0.04,9744.0,0.4983
2000.0,0.8583168,0.2025,0.2516,0.2358,0.1898,0.285,0.001,0.084,0.2947368421052632,0.04,9767.0,0.4814
2000.0,1.0013696,0.2363,0.2872,0.2292,0.1885,0.283,0.001,0.081,0.28621908127208484,0.04,9791.0,0.4642
2000.0,1.1444224,0.27,0.3208,0.2219,0.1868,0.28,0.001,0.079,0.28214285714285714,0.04,9817.0,0.4466
2000.0,1.2874752,0.3038,0.3525,0.2142,0.1845,0.277,0.001,0.076,0.27436823104693137,0.04,9843.0,0.4285
2000.0,1.430528,0.3375,0.3822,0.2058,0.1818,0.273,0.001,0.073,0.26739926739926734,0.04,9872.0,0.4099
2000.0,1.5735808,0.3713,0.4096,0.197,0.1786,0.268,0.001,0.07,0.2611940298507463,0.04,9901.0,0.3907
