rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0949,0.0693,0.048,0.0,0.024,0.5,0.03,4157.0,0.3364
1000.0,0.0625856,0.0232,0.0312,0.0935,0.0695,0.048,0.0,0.024,0.5,0.03,4160.0,0.3281
1000.0,0.1296416,0.0464,0.0612,0.092,0.0697,0.049,0.0,0.023,0.4693877551020408,0.03,4163.0,0.3196
1000.0,0.1922272,0.0695,0.0901,0.0904,0.0698,0.049,0.0,0.023,0.4693877551020408,0.03,4166.0,0.3108
1000.0,0.25481279999999995,0.0927,0.1177,0.0887,0.0699,0.049,0.0,0.022,0.44897959183673464,0.03,4169.0,0.3017
1000.0,0.31739839999999997,0.1159,0.1441,0.0868,0.0699,0.049,0.0,0.022,0.44897959183673464,0.03,4173.0,0.2923
1000.0,0.3844544,0.1391,0.1691,0.0848,0.0698,0.049,0.0,0.021,0.4285714285714286,0.03,4177.0,0.2825
1000.0,0.44704,0.1623,0.1927,0.0827,0.0696,0.048,0.0,0.021,0.4375,0.03,4181.0,0.2725
1000.0,0.5096255999999999,0.1854,0.2149,0.0804,0.0694,0.048,0.0,0.02,0.4166666666666667,0.03,4186.0,0.2621
1000.0,0.5722112,0.2086,0.2355,0.078,0.0691,0.048,0.0,0.02,0.4166666666666667,0.03,4190.0,0.2515
1000.0,0.6392671999999999,0.2318,0.2545,0.0754,0.0687,0.048,0.0,0.019,0.3958333333333333,0.03,4195.0,0.2405
1000.0,0.7018528,0.255,0.2718,0.0727,0.0681,0.047,0.0,0.018,0.3829787234042553,0.03,4200.0,0.2293
1000.0,0.7644384,0.2781,0.2873,0.0698,0.0675,0.047,0.0,0.018,0.3829787234042553,0.03,4206.0,0.2177
1000.0,0.827024,0.3013,0.3008,0.0667,0.0668,0.047,0.0,0.017,0.3617021276595745,0.03,4212.0,0.2058
1000.0,0.89408,0.3245,0.3123,0.0636,0.0661,0.046,0.0,0.016,0.34782608695652173,0.03,4218.0,0.1936
1000.0,0.9566656,0.3477,0.3216,0.0603,0.0652,0.045,0.0,0.015,0.3333333333333333,0.03,4225.0,0.1812
1000.0,1.0192511999999998,0.3709,0.3284,0.0569,0.0642,0.045,0.0,0.014,0.3111111111111111,0.03,4231.0,0.1685
1000.0,1.0863072,0.394,0.3327,0.0533,0.0632,0.044,0.0,0.013,0.29545454545454547,0.03,4238.0,0.1556
1000.0,1.1488927999999998,0.4172,0.3342,0.0497,0.0621,0.043,0.0,0.013,0.3023255813953489,0.03,4246.0,0.1425
1000.0,1.2114784,0.4404,0.3327,0.046,0.0609,0.042,0.0,0.012,0.2857142857142857,0.03,4253.0,0.1293
