rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0644,0.0306,0.014,0.0,0.012,0.8571428571428571,0.02,4301.0,0.4265
1000.0,0.0402336,0.0156,0.0323,0.0638,0.0307,0.014,0.0,0.012,0.8571428571428571,0.02,4302.0,0.4185
1000.0,0.0804672,0.0311,0.0637,0.0632,0.0309,0.014,0.0,0.012,0.8571428571428571,0.02,4304.0,0.4102
1000.0,0.12070080000000001,0.0467,0.094,0.0624,0.031,0.014,0.0,0.011,0.7857142857142857,0.02,4306.0,0.4014
1000.0,0.156464,0.0623,0.1234,0.0615,0.031,0.014,0.0,0.011,0.7857142857142857,0.02,4308.0,0.3923
1000.0,0.1966976,0.0778,0.1517,0.0606,0.0311,0.015,0.0,0.011,0.7333333333333333,0.02,4309.0,0.3827
1000.0,0.2369312,0.0934,0.1788,0.0595,0.0311,0.015,0.0,0.011,0.7333333333333333,0.02,4312.0,0.3728
1000.0,0.2771648,0.1089,0.2049,0.0583,0.031,0.014,0.0,0.011,0.7857142857142857,0.02,4314.0,0.3624
1000.0,0.31739839999999997,0.1245,0.2298,0.057,0.0309,0.014,0.0,0.01,0.7142857142857143,0.02,4316.0,0.3516
1000.0,0.357632,0.1401,0.2534,0.0556,0.0307,0.014,0.0,0.01,0.7142857142857143,0.02,4319.0,0.3403
1000.0,0.3933952,0.1556,0.2758,0.054,0.0305,0.014,0.0,0.01,0.7142857142857143,0.02,4321.0,0.3286
1000.0,0.4336288,0.1712,0.2969,0.0523,0.0302,0.014,0.0,0.01,0.7142857142857143,0.02,4324.0,0.3164
1000.0,0.4738624,0.1868,0.3166,0.0505,0.0298,0.014,0.0,0.009,0.6428571428571428,0.02,4327.0,0.3038
1000.0,0.514096,0.2023,0.3347,0.0485,0.0293,0.014,0.0,0.009,0.6428571428571428,0.02,4330.0,0.2907
1000.0,0.5543296,0.2179,0.3513,0.0464,0.0288,0.013,0.0,0.009,0.6923076923076923,0.02,4333.0,0.2772
1000.0,0.5945632000000001,0.2334,0.3663,0.0443,0.0282,0.013,0.0,0.008,0.6153846153846154,0.02,4336.0,0.2634
1000.0,0.6303264,0.249,0.3794,0.042,0.0276,0.013,0.0,0.008,0.6153846153846154,0.02,4340.0,0.2492
1000.0,0.67056,0.2646,0.3905,0.0397,0.0269,0.013,0.0,0.007,0.5384615384615385,0.02,4343.0,0.2346
1000.0,0.7107936,0.2801,0.3996,0.0373,0.0261,0.012,0.0,0.007,0.5833333333333334,0.02,4347.0,0.2197
1000.0,0.7510272,0.2957,0.4062,0.0348,0.0253,0.012,0.0,0.006,0.5,0.02,4351.0,0.2045
1000.0,0.7912608,0.3113,0.4102,0.0323,0.0245,0.011,0.0,0.006,0.5454545454545455,0.02,4355.0,0.1889
1000.0,0.8314944000000001,0.3268,0.4112,0.0297,0.0236,0.011,0.0,0.005,0.4545454545454546,0.02,4359.0,0.1729
1000.0,0.871728,0.3424,0.4087,0.027,0.0226,0.011,0.0,0.005,0.4545454545454546,0.02,4363.0,0.1566
1000.0,0.9074911999999999,0.3579,0.4023,0.0243,0.0216,0.01,0.0,0.004,0.4,0.02,4367.0,0.1398
1000.0,0.9477248,0.3735,0.3912,0.0215,0.0206,0.01,0.0,0.004,0.4,0.02,4372.0,0.1227
1000.0,0.9879584,0.3891,0.3744,0.0187,0.0195,0.009,0.0,0.003,0.33333333333333337,0.02,4377.0,0.1051
1000.0,1.028192,0.4046,0.3507,0.0159,0.0183,0.009,0.0,0.003,0.33333333333333337,0.02,4381.0,0.0871
1000.0,1.0684256,0.4202,0.3184,0.0129,0.0171,0.008,0.0,0.002,0.25,0.02,4386.0,0.0688
1000.0,1.1086592,0.4358,0.2749,0.01,0.0158,0.007,0.0,0.002,0.2857142857142857,0.02,4391.0,0.0503
1000.0,1.1444224,0.4513,0.2167,0.007,0.0145,0.007,0.0,0.001,0.14285714285714285,0.02,4397.0,0.0319
2000.0,0.0,0.0,0.0,0.0646,0.0281,0.105,0.001,0.047,0.44761904761904764,0.05,8602.0,0.4652
2000.0,0.089408,0.0173,0.0389,0.0639,0.0283,0.106,0.001,0.047,0.44339622641509435,0.05,8605.0,0.455
2000.0,0.1743456,0.0345,0.0765,0.0631,0.0285,0.106,0.001,0.046,0.4339622641509434,0.05,8609.0,0.4444
2000.0,0.2637536,0.0518,0.1127,0.0623,0.0286,0.107,0.001,0.046,0.42990654205607476,0.05,8613.0,0.4332
2000.0,0.3486912,0.0691,0.1474,0.0613,0.0287,0.107,0.001,0.045,0.4205607476635514,0.05,8617.0,0.4216
2000.0,0.43809919999999997,0.0863,0.1806,0.0602,0.0288,0.107,0.001,0.044,0.411214953271028,0.05,8621.0,0.4096
2000.0,0.5275072,0.1036,0.2123,0.0589,0.0287,0.107,0.001,0.043,0.40186915887850466,0.05,8626.0,0.397
2000.0,0.6124448,0.1208,0.2424,0.0575,0.0287,0.107,0.001,0.042,0.39252336448598135,0.05,8631.0,0.3838
2000.0,0.7018528,0.1381,0.2709,0.0559,0.0285,0.106,0.001,0.041,0.3867924528301887,0.05,8636.0,0.3702
2000.0,0.7912608,0.1554,0.2977,0.0542,0.0283,0.106,0.001,0.04,0.37735849056603776,0.05,8642.0,0.356
2000.0,0.8761983999999999,0.1726,0.3228,0.0523,0.028,0.104,0.0,0.038,0.3653846153846154,0.05,8648.0,0.3412
2000.0,0.9656064000000001,0.1899,0.3461,0.0502,0.0276,0.103,0.0,0.037,0.3592233009708738,0.05,8655.0,0.3259
2000.0,1.050544,0.2072,0.3674,0.048,0.0271,0.101,0.0,0.035,0.34653465346534656,0.05,8662.0,0.3101
2000.0,1.1399519999999999,0.2244,0.3866,0.0457,0.0265,0.099,0.0,0.034,0.3434343434343434,0.05,8669.0,0.2939
2000.0,1.22936,0.2417,0.4037,0.0433,0.0259,0.097,0.0,0.032,0.32989690721649484,0.05,8676.0,0.2772
2000.0,1.3142976,0.259,0.4184,0.0407,0.0252,0.094,0.0,0.03,0.3191489361702127,0.05,8684.0,0.2601
2000.0,1.4037056,0.2762,0.4305,0.0381,0.0244,0.091,0.0,0.028,0.3076923076923077,0.05,8692.0,0.2426
2000.0,1.4931135999999998,0.2935,0.4397,0.0353,0.0236,0.088,0.0,0.026,0.29545454545454547,0.05,8700.0,0.2247
2000.0,1.5780512,0.3107,0.4457,0.0325,0.0227,0.085,0.0,0.024,0.2823529411764706,0.05,8709.0,0.2064
2000.0,1.6674592,0.328,0.4479,0.0297,0.0217,0.081,0.0,0.022,0.2716049382716049,0.05,8718.0,0.1876
2000.0,1.7523967999999999,0.3453,0.4458,0.0267,0.0207,0.077,0.0,0.02,0.25974025974025977,0.05,8728.0,0.1683
2000.0,1.8418048,0.3625,0.4385,0.0237,0.0196,0.073,0.0,0.017,0.23287671232876717,0.05,8737.0,0.1485
2000.0,1.9312128000000002,0.3798,0.4249,0.0206,0.0184,0.069,0.0,0.015,0.21739130434782605,0.05,8748.0,0.1281
2000.0,2.0161504,0.3971,0.4034,0.0174,0.0172,0.064,0.0,0.013,0.203125,0.05,8758.0,0.1071
2000.0,2.1055584,0.4143,0.3717,0.0142,0.0159,0.059,0.0,0.01,0.16949152542372883,0.05,8769.0,0.0854
