rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1822,0.1242,0.058,0.001,0.033,0.5689655172413793,0.02,4671.0,0.4993
1000.0,0.06705599999999999,0.0272,0.0392,0.1796,0.1246,0.058,0.001,0.033,0.5689655172413793,0.02,4676.0,0.4874
1000.0,0.1385824,0.0544,0.077,0.1769,0.1249,0.058,0.001,0.032,0.5517241379310345,0.02,4682.0,0.4752
1000.0,0.2056384,0.0816,0.1135,0.1739,0.125,0.058,0.001,0.032,0.5517241379310345,0.02,4688.0,0.4628
1000.0,0.2771648,0.1088,0.1485,0.1707,0.1251,0.058,0.001,0.031,0.5344827586206896,0.02,4694.0,0.45
1000.0,0.3442208,0.136,0.1821,0.1672,0.1249,0.058,0.001,0.031,0.5344827586206896,0.02,4700.0,0.4369
1000.0,0.41574720000000004,0.1632,0.2141,0.1635,0.1246,0.058,0.001,0.03,0.5172413793103448,0.02,4707.0,0.4234
1000.0,0.48280320000000004,0.1904,0.2447,0.1595,0.1241,0.058,0.001,0.029,0.5,0.02,4715.0,0.4096
1000.0,0.5543296,0.2176,0.2736,0.1553,0.1235,0.058,0.001,0.029,0.5,0.02,4723.0,0.3954
1000.0,0.6213856,0.2448,0.301,0.1507,0.1226,0.057,0.001,0.028,0.49122807017543857,0.02,4731.0,0.3808
1000.0,0.692912,0.272,0.3266,0.1458,0.1214,0.057,0.001,0.027,0.47368421052631576,0.02,4740.0,0.3658
1000.0,0.759968,0.2992,0.3504,0.1406,0.1201,0.056,0.001,0.026,0.46428571428571425,0.02,4749.0,0.3504
1000.0,0.827024,0.3264,0.3722,0.1351,0.1185,0.055,0.001,0.025,0.4545454545454546,0.02,4758.0,0.3344
1000.0,0.8985503999999999,0.3536,0.3918,0.1293,0.1166,0.054,0.001,0.024,0.4444444444444445,0.02,4768.0,0.3179
1000.0,0.9656064000000001,0.3808,0.4091,0.1231,0.1146,0.053,0.001,0.023,0.4339622641509434,0.02,4779.0,0.3009
1000.0,1.0371328,0.408,0.4239,0.1168,0.1124,0.052,0.001,0.021,0.4038461538461539,0.02,4790.0,0.2833
1000.0,1.1041888,0.4351,0.4357,0.1101,0.11,0.051,0.0,0.02,0.3921568627450981,0.02,4801.0,0.2651
1000.0,1.1757152,0.4623,0.4442,0.1032,0.1074,0.05,0.0,0.019,0.37999999999999995,0.02,4813.0,0.2463
1000.0,1.2427712,0.4895,0.4492,0.0961,0.1047,0.049,0.0,0.018,0.36734693877551017,0.02,4825.0,0.227
1000.0,1.3142976,0.5167,0.4501,0.0887,0.1019,0.048,0.0,0.016,0.3333333333333333,0.02,4838.0,0.207
1000.0,1.3813536,0.5439,0.4465,0.0812,0.0989,0.046,0.0,0.015,0.32608695652173914,0.02,4851.0,0.1866
1000.0,1.45288,0.5711,0.4377,0.0734,0.0957,0.045,0.0,0.013,0.28888888888888886,0.02,4864.0,0.1656
1000.0,1.519936,0.5983,0.4231,0.0654,0.0925,0.043,0.0,0.012,0.2790697674418605,0.02,4878.0,0.1443
1000.0,1.586992,0.6255,0.4018,0.0573,0.0891,0.042,0.0,0.011,0.26190476190476186,0.02,4892.0,0.1227
1000.0,1.6585184,0.6527,0.373,0.049,0.0857,0.04,0.0,0.009,0.22499999999999998,0.02,4907.0,0.1009
1000.0,1.7255744,0.6799,0.3355,0.0405,0.0821,0.038,0.0,0.007,0.1842105263157895,0.02,4922.0,0.0792
1000.0,1.7971007999999997,0.7071,0.288,0.0319,0.0784,0.037,0.0,0.006,0.16216216216216217,0.02,4937.0,0.0581
1000.0,1.8641568,0.7343,0.2289,0.0233,0.0747,0.035,0.0,0.004,0.11428571428571428,0.02,4953.0,0.0379
1000.0,1.9356832,0.7615,0.1564,0.0145,0.0708,0.033,0.0,0.003,0.09090909090909091,0.02,4970.0,0.0198
1000.0,2.0027392,0.7887,0.0683,0.0058,0.0669,0.031,0.0,0.001,0.03225806451612903,0.02,4987.0,0.0053
2000.0,0.0,0.0,0.0,0.1834,0.1105,0.412,0.002,0.135,0.3276699029126214,0.05,9342.0,0.5672
2000.0,0.1430528,0.028,0.0456,0.1808,0.111,0.414,0.002,0.133,0.32125603864734303,0.05,9353.0,0.5524
2000.0,0.2861056,0.056,0.0895,0.178,0.1115,0.416,0.002,0.131,0.3149038461538462,0.05,9364.0,0.5373
2000.0,0.4291584,0.0841,0.1315,0.1749,0.1118,0.418,0.002,0.129,0.30861244019138756,0.05,9376.0,0.5219
2000.0,0.5677408,0.1121,0.1717,0.1716,0.1121,0.418,0.002,0.126,0.3014354066985646,0.05,9389.0,0.5062
2000.0,0.7107936,0.1401,0.21,0.1681,0.1121,0.419,0.002,0.123,0.2935560859188544,0.05,9403.0,0.4903
2000.0,0.8538464,0.1681,0.2465,0.1642,0.112,0.418,0.002,0.121,0.2894736842105263,0.05,9417.0,0.4741
2000.0,0.9968992,0.1962,0.2812,0.16,0.1116,0.417,0.002,0.118,0.2829736211031175,0.05,9433.0,0.4576
2000.0,1.1399519999999999,0.2242,0.314,0.1556,0.1111,0.415,0.002,0.114,0.27469879518072293,0.05,9449.0,0.4408
2000.0,1.2830048,0.2522,0.3448,0.1508,0.1103,0.412,0.002,0.111,0.26941747572815533,0.05,9467.0,0.4236
2000.0,1.4215872,0.2802,0.3737,0.1457,0.1092,0.408,0.002,0.107,0.2622549019607843,0.05,9485.0,0.4061
2000.0,1.56464,0.3083,0.4005,0.1402,0.1079,0.403,0.002,0.103,0.25558312655086846,0.05,9504.0,0.3882
2000.0,1.7076928,0.3363,0.4252,0.1344,0.1063,0.397,0.002,0.099,0.24937027707808565,0.05,9524.0,0.3699
2000.0,1.8507455999999998,0.3643,0.4475,0.1283,0.1045,0.39,0.002,0.094,0.24102564102564103,0.05,9545.0,0.3511
2000.0,1.9937984,0.3923,0.4672,0.1219,0.1024,0.382,0.002,0.09,0.2356020942408377,0.05,9567.0,0.3318
2000.0,2.1368512,0.4204,0.4841,0.1152,0.1001,0.374,0.002,0.085,0.2272727272727273,0.05,9590.0,0.3119
2000.0,2.2799039999999997,0.4484,0.4979,0.1083,0.0975,0.364,0.002,0.08,0.2197802197802198,0.05,9614.0,0.2916
2000.0,2.4184864,0.4764,0.5082,0.1011,0.0948,0.354,0.002,0.074,0.20903954802259886,0.05,9638.0,0.2707
2000.0,2.5615392000000003,0.5044,0.5147,0.0937,0.0918,0.343,0.002,0.069,0.20116618075801748,0.05,9664.0,0.2492
2000.0,2.704592,0.5324,0.5166,0.0861,0.0887,0.331,0.002,0.063,0.1903323262839879,0.05,9690.0,0.2271
2000.0,2.8476448,0.5605,0.5135,0.0782,0.0854,0.319,0.002,0.057,0.17868338557993732,0.05,9717.0,0.2044
2000.0,2.9906976000000003,0.5885,0.5045,0.0702,0.0819,0.306,0.001,0.052,0.16993464052287582,0.05,9746.0,0.1812
2000.0,3.1337504,0.6165,0.4886,0.0619,0.0782,0.292,0.001,0.046,0.15753424657534248,0.05,9775.0,0.1574
2000.0,3.2723328,0.6445,0.4646,0.0536,0.0743,0.277,0.001,0.039,0.14079422382671478,0.05,9805.0,0.1331
2000.0,3.4153856,0.6726,0.4311,0.045,0.0703,0.262,0.001,0.033,0.12595419847328243,0.05,9836.0,0.1085
2000.0,3.5584384,0.7006,0.3859,0.0364,0.0661,0.247,0.001,0.027,0.10931174089068826,0.05,9867.0,0.0838
2000.0,3.7014911999999995,0.7286,0.3265,0.0277,0.0618,0.231,0.001,0.02,0.08658008658008658,0.05,9900.0,0.0595
2000.0,3.844544,0.7566,0.2495,0.0189,0.0573,0.214,0.001,0.014,0.06542056074766356,0.05,9934.0,0.0362
2000.0,3.9875968,0.7847,0.1502,0.0101,0.0527,0.197,0.001,0.007,0.03553299492385787,0.05,9968.0,0.0153
2000.0,4.1306496,0.8127,0.0221,0.0013,0.048,0.179,0.001,0.001,0.00558659217877095,0.05,10004.0,0.0008
3000.0,0.0,0.0,0.0,0.184,0.1044,1.315,0.004,0.304,0.23117870722433462,0.07,14013.0,0.6034
3000.0,0.2145792,0.0283,0.0488,0.1814,0.105,1.323,0.004,0.3,0.22675736961451248,0.07,14029.0,0.587
3000.0,0.4291584,0.0565,0.0956,0.1785,0.1056,1.33,0.004,0.295,0.22180451127819548,0.07,14046.0,0.5702
3000.0,0.648208,0.0848,0.1404,0.1755,0.106,1.335,0.004,0.29,0.21722846441947566,0.07,14065.0,0.5533
3000.0,0.8627872,0.1131,0.1831,0.1721,0.1063,1.339,0.004,0.285,0.2128454070201643,0.07,14084.0,0.5361
3000.0,1.0773664,0.1413,0.2238,0.1685,0.1064,1.341,0.004,0.279,0.20805369127516782,0.07,14105.0,0.5187
3000.0,1.2919456,0.1696,0.2625,0.1646,0.1064,1.34,0.004,0.272,0.20298507462686569,0.07,14127.0,0.501
3000.0,1.5065248,0.1979,0.2991,0.1604,0.1061,1.337,0.004,0.265,0.19820493642483172,0.07,14151.0,0.4832
3000.0,1.721104,0.2261,0.3338,0.1559,0.1056,1.331,0.004,0.258,0.19383921863260709,0.07,14176.0,0.465
