rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1472,0.1126,0.15,0.001,0.063,0.42000000000000004,0.03,8126.0,0.4004
1000.0,0.1162304,0.0377,0.0482,0.1461,0.114,0.152,0.001,0.062,0.40789473684210525,0.03,8135.0,0.3907
1000.0,0.2369312,0.0753,0.0944,0.1448,0.1155,0.154,0.001,0.062,0.4025974025974026,0.03,8146.0,0.3807
1000.0,0.3531616,0.113,0.1385,0.1434,0.117,0.156,0.001,0.061,0.391025641025641,0.03,8159.0,0.3703
1000.0,0.4738624,0.1506,0.1803,0.1418,0.1184,0.158,0.002,0.06,0.37974683544303794,0.03,8172.0,0.3597
1000.0,0.5900928,0.1883,0.2199,0.14,0.1199,0.16,0.002,0.06,0.375,0.03,8188.0,0.3488
1000.0,0.7063232,0.2259,0.2573,0.138,0.1212,0.161,0.002,0.059,0.3664596273291925,0.03,8204.0,0.3376
1000.0,0.827024,0.2636,0.2924,0.1358,0.1224,0.163,0.002,0.058,0.3558282208588957,0.03,8222.0,0.3262
1000.0,0.9432543999999999,0.3012,0.3253,0.1333,0.1234,0.164,0.002,0.057,0.3475609756097561,0.03,8242.0,0.3146
1000.0,1.0594848000000001,0.3389,0.356,0.1304,0.1241,0.165,0.002,0.055,0.3333333333333333,0.03,8263.0,0.3027
1000.0,1.1801856,0.3765,0.3845,0.1272,0.1246,0.166,0.002,0.054,0.3253012048192771,0.03,8286.0,0.2906
1000.0,1.296416,0.4142,0.4106,0.1237,0.1247,0.166,0.002,0.053,0.3192771084337349,0.03,8311.0,0.2782
1000.0,1.4171167999999998,0.4519,0.4346,0.1197,0.1245,0.166,0.002,0.051,0.3072289156626506,0.03,8337.0,0.2655
1000.0,1.5333472000000001,0.4895,0.4562,0.1153,0.1237,0.165,0.002,0.049,0.296969696969697,0.03,8365.0,0.2525
1000.0,1.6495776,0.5272,0.4753,0.1104,0.1225,0.163,0.002,0.047,0.2883435582822086,0.03,8395.0,0.2391
1000.0,1.7702784,0.5648,0.4919,0.1051,0.1207,0.161,0.002,0.045,0.2795031055900621,0.03,8426.0,0.2253
1000.0,1.8865087999999999,0.6025,0.5057,0.0994,0.1184,0.158,0.002,0.042,0.2658227848101266,0.03,8459.0,0.2111
1000.0,2.0072096,0.6401,0.5164,0.0932,0.1155,0.154,0.001,0.04,0.25974025974025977,0.03,8493.0,0.1965
1000.0,2.12344,0.6778,0.5238,0.0867,0.1122,0.149,0.001,0.037,0.2483221476510067,0.03,8529.0,0.1815
1000.0,2.2396704,0.7154,0.5272,0.0799,0.1084,0.144,0.001,0.034,0.23611111111111113,0.03,8566.0,0.1662
1000.0,2.3603712,0.7531,0.5262,0.0728,0.1042,0.139,0.001,0.031,0.22302158273381292,0.03,8605.0,0.1504
1000.0,2.4766016,0.7908,0.52,0.0655,0.0996,0.133,0.001,0.028,0.21052631578947367,0.03,8646.0,0.1343
1000.0,2.5973024,0.8284,0.5077,0.058,0.0947,0.126,0.001,0.025,0.19841269841269843,0.03,8687.0,0.1178
1000.0,2.7135328000000003,0.8661,0.488,0.0504,0.0895,0.119,0.001,0.021,0.17647058823529413,0.03,8731.0,0.1009
1000.0,2.8297632,0.9037,0.4592,0.0426,0.0839,0.112,0.001,0.018,0.1607142857142857,0.03,8776.0,0.0837
1000.0,2.9504639999999998,0.9414,0.4191,0.0347,0.0781,0.104,0.001,0.015,0.14423076923076925,0.03,8822.0,0.0662
1000.0,3.0666944000000003,0.979,0.3642,0.0268,0.0719,0.096,0.001,0.011,0.11458333333333333,0.03,8870.0,0.0486
1000.0,3.1829248,1.0167,0.2901,0.0187,0.0655,0.087,0.001,0.008,0.09195402298850576,0.03,8919.0,0.0311
1000.0,3.3036255999999997,1.0543,0.1894,0.0106,0.0588,0.078,0.001,0.004,0.05128205128205128,0.03,8969.0,0.0147
1000.0,3.4198560000000002,1.092,0.0512,0.0024,0.0519,0.069,0.001,0.001,0.014492753623188404,0.03,9021.0,0.0018
2000.0,0.0,0.0,0.0,0.1484,0.0972,1.035,0.005,0.252,0.24347826086956523,0.06,16251.0,0.4694
2000.0,0.24140160000000002,0.0385,0.0574,0.1473,0.0987,1.052,0.005,0.25,0.23764258555133078,0.06,16271.0,0.4568
2000.0,0.48280320000000004,0.077,0.112,0.146,0.1004,1.069,0.005,0.248,0.23199251637043966,0.06,16294.0,0.4437
2000.0,0.7242048,0.1154,0.1637,0.1447,0.102,1.087,0.005,0.246,0.22631094756209752,0.06,16319.0,0.4303
2000.0,0.9656064000000001,0.1539,0.2125,0.1431,0.1037,1.104,0.005,0.243,0.2201086956521739,0.06,16347.0,0.4167
2000.0,1.207008,0.1924,0.2583,0.1413,0.1053,1.121,0.005,0.24,0.21409455842997324,0.06,16378.0,0.4028
2000.0,1.4484096,0.2309,0.3013,0.1394,0.1068,1.138,0.005,0.237,0.20826010544815465,0.06,16413.0,0.3887
2000.0,1.6898111999999998,0.2694,0.3414,0.1371,0.1082,1.152,0.006,0.233,0.20225694444444448,0.06,16450.0,0.3744
2000.0,1.9267423999999997,0.3078,0.3786,0.1345,0.1094,1.165,0.006,0.229,0.19656652360515023,0.06,16491.0,0.36
2000.0,2.168144,0.3463,0.4132,0.1316,0.1103,1.175,0.006,0.224,0.19063829787234043,0.06,16535.0,0.3454
2000.0,2.4095456,0.3848,0.4451,0.1284,0.111,1.182,0.006,0.218,0.18443316412859562,0.06,16583.0,0.3307
2000.0,2.6509471999999996,0.4233,0.4743,0.1247,0.1113,1.185,0.006,0.212,0.17890295358649788,0.06,16634.0,0.3157
2000.0,2.8923487999999997,0.4618,0.501,0.1206,0.1111,1.184,0.006,0.205,0.17314189189189189,0.06,16689.0,0.3006
2000.0,3.1337504,0.5002,0.5251,0.116,0.1105,1.177,0.006,0.197,0.16737468139337297,0.06,16747.0,0.2853
2000.0,3.375152,0.5387,0.5466,0.1109,0.1093,1.165,0.006,0.189,0.16223175965665235,0.06,16808.0,0.2697
2000.0,3.6165536,0.5772,0.5654,0.1054,0.1076,1.146,0.005,0.179,0.156195462478185,0.06,16873.0,0.2537
2000.0,3.8579552,0.6157,0.5813,0.0994,0.1053,1.121,0.005,0.169,0.15075825156110617,0.06,16941.0,0.2375
2000.0,4.0993568,0.6542,0.5942,0.093,0.1024,1.09,0.005,0.158,0.14495412844036695,0.06,17012.0,0.221
2000.0,4.3407584,0.6926,0.6037,0.0862,0.0989,1.054,0.005,0.147,0.13946869070208728,0.06,17087.0,0.2042
2000.0,4.58216,0.7311,0.6094,0.0792,0.095,1.012,0.005,0.135,0.13339920948616601,0.06,17164.0,0.1871
2000.0,4.8235616,0.7696,0.6106,0.0719,0.0906,0.965,0.005,0.122,0.12642487046632125,0.06,17245.0,0.1697
2000.0,5.0649632,0.8081,0.6066,0.0644,0.0858,0.914,0.004,0.109,0.11925601750547045,0.06,17329.0,0.152
2000.0,5.301894399999999,0.8466,0.5963,0.0568,0.0806,0.858,0.004,0.096,0.11188811188811189,0.06,17416.0,0.1339
2000.0,5.543296,0.885,0.5781,0.049,0.075,0.799,0.004,0.083,0.10387984981226533,0.06,17507.0,0.1153
2000.0,5.784697599999999,0.9235,0.5496,0.0411,0.069,0.735,0.004,0.07,0.09523809523809525,0.06,17600.0,0.0962
2000.0,6.0260992,0.962,0.5075,0.033,0.0626,0.667,0.003,0.056,0.08395802098950525,0.06,17696.0,0.0765
2000.0,6.2675008,1.0005,0.4464,0.025,0.056,0.596,0.003,0.042,0.07046979865771813,0.06,17795.0,0.0563
2000.0,6.5089024,1.039,0.3576,0.0168,0.0489,0.521,0.002,0.029,0.05566218809980806,0.06,17897.0,0.0356
2000.0,6.750304,1.0774,0.2252,0.0087,0.0416,0.443,0.002,0.015,0.03386004514672686,0.06,18002.0,0.0156
2000.0,6.9917056,1.1159,0.019,0.0006,0.034,0.363,0.002,0.001,0.0027548209366391185,0.06,18109.0,0.0003
3000.0,0.0,0.0,0.0,0.1489,0.0907,3.262,0.01,0.57,0.17473942366646228,0.09,24377.0,0.5053
