rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1709,0.0811,0.082,0.001,0.058,0.7073170731707317,0.03,10745.0,0.695
1000.0,0.0715264,0.0242,0.0499,0.1675,0.0811,0.082,0.001,0.057,0.6951219512195121,0.03,10756.0,0.6748
1000.0,0.1430528,0.0483,0.0979,0.164,0.081,0.082,0.001,0.056,0.6829268292682926,0.03,10768.0,0.6544
1000.0,0.2145792,0.0725,0.1438,0.1603,0.0808,0.081,0.001,0.055,0.6790123456790124,0.03,10781.0,0.6339
1000.0,0.2861056,0.0966,0.1878,0.1564,0.0805,0.081,0.001,0.053,0.6543209876543209,0.03,10794.0,0.6132
1000.0,0.357632,0.1208,0.2298,0.1523,0.0801,0.081,0.001,0.052,0.6419753086419753,0.03,10808.0,0.5923
1000.0,0.4291584,0.145,0.2697,0.148,0.0796,0.08,0.001,0.05,0.625,0.03,10823.0,0.5712
1000.0,0.5006848,0.1691,0.3076,0.1436,0.0789,0.08,0.001,0.049,0.6125,0.03,10838.0,0.55
1000.0,0.5722112,0.1933,0.3434,0.1389,0.0782,0.079,0.001,0.047,0.5949367088607594,0.03,10854.0,0.5284
1000.0,0.6437376,0.2174,0.377,0.1341,0.0773,0.078,0.001,0.046,0.5897435897435898,0.03,10871.0,0.5067
1000.0,0.715264,0.2416,0.4084,0.129,0.0763,0.077,0.001,0.044,0.5714285714285714,0.03,10888.0,0.4846
1000.0,0.7867904,0.2657,0.4375,0.1238,0.0752,0.076,0.001,0.042,0.5526315789473685,0.03,10906.0,0.4622
1000.0,0.8583168,0.2899,0.4641,0.1184,0.0739,0.075,0.001,0.04,0.5333333333333333,0.03,10925.0,0.4394
1000.0,0.9298432,0.3141,0.488,0.1127,0.0725,0.073,0.001,0.038,0.5205479452054794,0.03,10944.0,0.4162
1000.0,1.0013696,0.3382,0.5091,0.1069,0.071,0.072,0.001,0.036,0.5,0.03,10964.0,0.3926
1000.0,1.0728959999999998,0.3624,0.5271,0.1008,0.0693,0.07,0.001,0.034,0.4857142857142857,0.03,10985.0,0.3685
1000.0,1.1444224,0.3865,0.5417,0.0946,0.0675,0.068,0.001,0.032,0.47058823529411764,0.03,11007.0,0.3439
1000.0,1.2159488,0.4107,0.5526,0.0882,0.0655,0.066,0.001,0.03,0.45454545454545453,0.03,11029.0,0.3188
1000.0,1.2874752,0.4349,0.5594,0.0816,0.0635,0.064,0.001,0.028,0.4375,0.03,11052.0,0.2933
1000.0,1.3590016,0.459,0.5616,0.0749,0.0613,0.062,0.001,0.026,0.4193548387096774,0.03,11075.0,0.2672
1000.0,1.430528,0.4832,0.5585,0.0681,0.0589,0.059,0.001,0.023,0.3898305084745763,0.03,11100.0,0.2407
1000.0,1.5020544,0.5073,0.5493,0.0612,0.0565,0.057,0.001,0.021,0.368421052631579,0.03,11125.0,0.2137
1000.0,1.5735808,0.5315,0.5332,0.0541,0.0539,0.054,0.001,0.018,0.3333333333333333,0.03,11151.0,0.1862
1000.0,1.6451072,0.5556,0.5088,0.0469,0.0513,0.052,0.0,0.016,0.3076923076923077,0.03,11177.0,0.1583
1000.0,1.7166336,0.5798,0.4746,0.0397,0.0485,0.049,0.0,0.014,0.2857142857142857,0.03,11204.0,0.1301
1000.0,1.78816,0.604,0.4286,0.0323,0.0456,0.046,0.0,0.011,0.23913043478260868,0.03,11232.0,0.1018
1000.0,1.8596864,0.6281,0.3682,0.0249,0.0426,0.043,0.0,0.008,0.186046511627907,0.03,11261.0,0.0739
1000.0,1.9312128000000002,0.6523,0.2899,0.0175,0.0395,0.04,0.0,0.006,0.15,0.03,11290.0,0.047
1000.0,2.0027392,0.6764,0.1893,0.0102,0.0363,0.037,0.0,0.003,0.08108108108108109,0.03,11321.0,0.0225
1000.0,2.0742656,0.7006,0.0602,0.0028,0.033,0.033,0.0,0.001,0.030303030303030304,0.03,11351.0,0.0037
