rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.157,0.0822,0.083,0.001,0.053,0.6385542168674698,0.03,6625.0,0.6042
1000.0,0.1072896,0.0359,0.0668,0.156,0.0839,0.085,0.001,0.053,0.6235294117647058,0.03,6632.0,0.5861
1000.0,0.2145792,0.0719,0.13,0.1549,0.0857,0.086,0.001,0.053,0.6162790697674418,0.03,6641.0,0.5679
1000.0,0.31739839999999997,0.1078,0.1894,0.1537,0.0875,0.088,0.001,0.052,0.5909090909090909,0.03,6651.0,0.5495
1000.0,0.42468799999999995,0.1437,0.2451,0.1524,0.0894,0.09,0.001,0.052,0.5777777777777777,0.03,6661.0,0.5312
1000.0,0.5319775999999999,0.1797,0.2973,0.1509,0.0912,0.092,0.001,0.051,0.5543478260869565,0.03,6673.0,0.5128
1000.0,0.6392671999999999,0.2156,0.346,0.1493,0.093,0.094,0.001,0.051,0.5425531914893617,0.03,6686.0,0.4946
1000.0,0.7465567999999999,0.2516,0.3913,0.1473,0.0947,0.096,0.001,0.05,0.5208333333333334,0.03,6700.0,0.4765
1000.0,0.8538464,0.2875,0.4336,0.1451,0.0962,0.097,0.001,0.049,0.5051546391752577,0.03,6715.0,0.4584
1000.0,0.9566656,0.3234,0.473,0.1425,0.0974,0.098,0.001,0.049,0.5,0.03,6732.0,0.4406
1000.0,1.0639551999999999,0.3594,0.5098,0.1395,0.0983,0.099,0.001,0.047,0.47474747474747475,0.03,6750.0,0.4227
1000.0,1.1712448,0.3953,0.5441,0.136,0.0988,0.1,0.001,0.046,0.45999999999999996,0.03,6769.0,0.405
1000.0,1.2785343999999998,0.4312,0.5761,0.1319,0.0988,0.1,0.001,0.045,0.44999999999999996,0.03,6790.0,0.3871
1000.0,1.385824,0.4672,0.6058,0.1273,0.0982,0.099,0.001,0.043,0.4343434343434343,0.03,6812.0,0.3692
