rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1052,0.0698,0.215,0.002,0.087,0.4046511627906976,0.03,7315.0,0.3902
1000.0,0.1251712,0.0343,0.0506,0.1047,0.0709,0.218,0.002,0.087,0.39908256880733944,0.03,7322.0,0.381
1000.0,0.25481279999999995,0.0685,0.0989,0.1041,0.0721,0.222,0.002,0.086,0.38738738738738737,0.03,7329.0,0.3715
1000.0,0.379984,0.1028,0.1449,0.1033,0.0733,0.226,0.002,0.086,0.3805309734513274,0.03,7338.0,0.3615
1000.0,0.5096255999999999,0.137,0.1884,0.1025,0.0746,0.229,0.002,0.085,0.3711790393013101,0.03,7347.0,0.3512
1000.0,0.6347967999999999,0.1713,0.2295,0.1015,0.0758,0.233,0.002,0.084,0.3605150214592275,0.03,7357.0,0.3406
1000.0,0.759968,0.2056,0.268,0.1004,0.077,0.237,0.002,0.083,0.3502109704641351,0.03,7368.0,0.3296
1000.0,0.8896096,0.2398,0.304,0.0991,0.0782,0.241,0.002,0.082,0.34024896265560167,0.03,7381.0,0.3184
1000.0,1.0147808,0.2741,0.3375,0.0976,0.0792,0.244,0.002,0.081,0.33196721311475413,0.03,7395.0,0.3069
1000.0,1.1399519999999999,0.3083,0.3686,0.0957,0.0801,0.246,0.002,0.08,0.3252032520325203,0.03,7410.0,0.2951
1000.0,1.2695935999999999,0.3426,0.3971,0.0936,0.0808,0.249,0.002,0.078,0.3132530120481928,0.03,7426.0,0.283
1000.0,1.3947648,0.3769,0.4233,0.0912,0.0812,0.25,0.002,0.076,0.304,0.03,7444.0,0.2706
1000.0,1.5244064,0.4111,0.447,0.0884,0.0813,0.25,0.002,0.073,0.292,0.04,7462.0,0.2578
1000.0,1.6495776,0.4454,0.4682,0.0851,0.081,0.249,0.002,0.071,0.285140562248996,0.04,7482.0,0.2447
1000.0,1.7747488,0.4796,0.4868,0.0815,0.0803,0.247,0.002,0.068,0.2753036437246964,0.04,7504.0,0.2312
1000.0,1.9043903999999998,0.5139,0.5028,0.0775,0.0792,0.244,0.002,0.064,0.26229508196721313,0.04,7527.0,0.2174
1000.0,2.0295616,0.5482,0.5159,0.0732,0.0778,0.239,0.002,0.061,0.25523012552301255,0.04,7551.0,0.2032
1000.0,2.1592032,0.5824,0.5258,0.0686,0.076,0.234,0.002,0.057,0.24358974358974358,0.04,7576.0,0.1886
1000.0,2.2843744,0.6167,0.5321,0.0637,0.0739,0.227,0.002,0.053,0.23348017621145373,0.04,7602.0,0.1738
1000.0,2.4095456,0.6509,0.5343,0.0586,0.0714,0.22,0.002,0.049,0.22272727272727275,0.04,7630.0,0.1586
1000.0,2.5391871999999998,0.6852,0.532,0.0534,0.0687,0.212,0.002,0.044,0.20754716981132074,0.04,7659.0,0.1431
1000.0,2.6643584,0.7195,0.5242,0.0479,0.0658,0.202,0.002,0.04,0.198019801980198,0.04,7689.0,0.1273
1000.0,2.794,0.7537,0.5101,0.0424,0.0626,0.193,0.002,0.035,0.18134715025906736,0.04,7720.0,0.1112
1000.0,2.9191712,0.788,0.4884,0.0367,0.0592,0.182,0.002,0.03,0.16483516483516483,0.04,7753.0,0.0947
1000.0,3.0443423999999997,0.8222,0.4573,0.0309,0.0556,0.171,0.002,0.026,0.15204678362573099,0.04,7786.0,0.078
1000.0,3.173984,0.8565,0.4144,0.025,0.0517,0.159,0.002,0.021,0.1320754716981132,0.04,7821.0,0.0611
