rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0983,0.0703,0.216,0.002,0.082,0.37962962962962965,0.03,6630.0,0.3498
1000.0,0.1430528,0.0383,0.0525,0.0979,0.0714,0.22,0.002,0.081,0.36818181818181817,0.03,6636.0,0.3427
1000.0,0.2816352,0.0765,0.1029,0.0976,0.0726,0.223,0.002,0.081,0.3632286995515695,0.03,6643.0,0.3351
1000.0,0.42468799999999995,0.1148,0.151,0.0972,0.0739,0.227,0.002,0.081,0.3568281938325991,0.03,6652.0,0.3271
1000.0,0.5677408,0.153,0.1966,0.0967,0.0753,0.232,0.002,0.08,0.3448275862068965,0.03,6661.0,0.3188
1000.0,0.7063232,0.1913,0.2397,0.0962,0.0768,0.236,0.002,0.08,0.33898305084745767,0.03,6672.0,0.3101
1000.0,0.8493759999999999,0.2295,0.2801,0.0956,0.0784,0.241,0.002,0.079,0.3278008298755187,0.03,6683.0,0.301
1000.0,0.9924288000000001,0.2678,0.3178,0.0949,0.08,0.246,0.002,0.079,0.32113821138211385,0.03,6697.0,0.2917
1000.0,1.1354816,0.306,0.3528,0.0941,0.0816,0.251,0.002,0.078,0.3107569721115538,0.03,6711.0,0.2821
1000.0,1.274064,0.3443,0.385,0.093,0.0832,0.256,0.002,0.077,0.30078125,0.03,6727.0,0.2721
1000.0,1.4171167999999998,0.3826,0.4146,0.0917,0.0846,0.26,0.002,0.076,0.29230769230769227,0.03,6745.0,0.2619
1000.0,1.5601696,0.4208,0.4416,0.09,0.0858,0.264,0.003,0.075,0.28409090909090906,0.04,6764.0,0.2512
1000.0,1.6987519999999998,0.4591,0.466,0.088,0.0867,0.267,0.003,0.073,0.2734082397003745,0.04,6784.0,0.2402
1000.0,1.8418048,0.4973,0.4879,0.0854,0.087,0.268,0.003,0.071,0.26492537313432835,0.04,6806.0,0.2287
1000.0,1.9848576000000002,0.5356,0.5073,0.0823,0.0869,0.267,0.003,0.068,0.2546816479400749,0.04,6830.0,0.2168
1000.0,2.12344,0.5738,0.524,0.0787,0.0862,0.265,0.003,0.065,0.24528301886792453,0.04,6855.0,0.2044
1000.0,2.2664928,0.6121,0.538,0.0747,0.085,0.261,0.002,0.062,0.2375478927203065,0.04,6881.0,0.1916
1000.0,2.4095456,0.6504,0.5489,0.0702,0.0832,0.256,0.002,0.058,0.2265625,0.04,6909.0,0.1784
1000.0,2.5525984,0.6886,0.5563,0.0654,0.081,0.249,0.002,0.054,0.21686746987951808,0.04,6938.0,0.1649
1000.0,2.6911807999999997,0.7269,0.5597,0.0603,0.0783,0.241,0.002,0.05,0.2074688796680498,0.04,6969.0,0.1509
1000.0,2.8342335999999997,0.7651,0.5585,0.055,0.0753,0.232,0.002,0.046,0.1982758620689655,0.04,7001.0,0.1366
1000.0,2.9772864,0.8034,0.5518,0.0494,0.072,0.222,0.002,0.041,0.18468468468468469,0.04,7034.0,0.1219
1000.0,3.1158688,0.8416,0.5387,0.0437,0.0683,0.21,0.002,0.036,0.17142857142857143,0.04,7069.0,0.1068
1000.0,3.2589216,0.8799,0.5176,0.0379,0.0644,0.198,0.002,0.031,0.15656565656565655,0.04,7105.0,0.0913
1000.0,3.4019744000000003,0.9181,0.4867,0.0319,0.0602,0.185,0.002,0.026,0.14054054054054055,0.04,7142.0,0.0755
1000.0,3.5405568,0.9564,0.4434,0.0258,0.0557,0.171,0.002,0.021,0.12280701754385964,0.04,7181.0,0.0594
1000.0,3.6836096,0.9947,0.3839,0.0197,0.051,0.157,0.001,0.016,0.10191082802547771,0.04,7221.0,0.0432
1000.0,3.8266624,1.0329,0.3027,0.0135,0.0461,0.142,0.001,0.011,0.07746478873239437,0.04,7262.0,0.0272
1000.0,3.9697152000000004,1.0712,0.1917,0.0073,0.041,0.126,0.001,0.006,0.047619047619047616,0.04,7304.0,0.0122
1000.0,4.108297599999999,1.1094,0.0372,0.0012,0.0358,0.11,0.001,0.001,0.00909090909090909,0.04,7347.0,0.0009
2000.0,0.0,0.0,0.0,0.099,0.0594,1.461,0.007,0.329,0.22518822724161533,0.07,13260.0,0.4185
2000.0,0.290576,0.039,0.0636,0.0987,0.0605,1.489,0.007,0.328,0.22028206850235058,0.07,13272.0,0.4088
2000.0,0.5766816,0.078,0.1242,0.0984,0.0618,1.521,0.007,0.327,0.21499013806706116,0.07,13287.0,0.3985
2000.0,0.8672576,0.117,0.1815,0.098,0.0632,1.555,0.007,0.326,0.20964630225080388,0.07,13304.0,0.3876
2000.0,1.1533632,0.1559,0.2354,0.0976,0.0647,1.592,0.008,0.324,0.20351758793969849,0.07,13323.0,0.3763
2000.0,1.4439392,0.1949,0.2858,0.0972,0.0663,1.631,0.008,0.323,0.19803801348865727,0.07,13345.0,0.3646
2000.0,1.7345152,0.2339,0.3326,0.0966,0.068,1.673,0.008,0.321,0.19187089061566048,0.07,13370.0,0.3526
2000.0,2.0206207999999997,0.2729,0.3757,0.096,0.0697,1.716,0.008,0.319,0.1858974358974359,0.07,13397.0,0.3402
2000.0,2.3111968,0.3119,0.4152,0.0951,0.0715,1.759,0.008,0.316,0.17964752700397954,0.07,13427.0,0.3276
2000.0,2.5973024,0.3509,0.4512,0.0941,0.0732,1.801,0.009,0.313,0.17379233759022766,0.07,13460.0,0.3147
2000.0,2.8878784,0.3899,0.4838,0.0928,0.0747,1.84,0.009,0.308,0.16739130434782606,0.07,13496.0,0.3016
2000.0,3.1784544,0.4288,0.5133,0.091,0.0761,1.872,0.009,0.303,0.16185897435897434,0.07,13536.0,0.2881
2000.0,3.46456,0.4678,0.5397,0.0889,0.077,1.896,0.009,0.295,0.15559071729957805,0.07,13578.0,0.2744
2000.0,3.7551360000000003,0.5068,0.5632,0.0862,0.0775,1.908,0.009,0.286,0.149895178197065,0.07,13623.0,0.2602
2000.0,4.041241599999999,0.5458,0.584,0.0829,0.0775,1.907,0.009,0.275,0.14420555846879918,0.07,13672.0,0.2458
2000.0,4.3318176,0.5848,0.6021,0.0791,0.0769,1.892,0.009,0.263,0.1390063424947146,0.07,13724.0,0.2311
2000.0,4.6223936,0.6238,0.6174,0.0749,0.0757,1.863,0.009,0.249,0.13365539452495975,0.07,13779.0,0.2161
2000.0,4.9084992000000005,0.6628,0.6295,0.0703,0.074,1.821,0.009,0.233,0.12795167490389897,0.07,13836.0,0.2009
2000.0,5.1990752,0.7018,0.6384,0.0653,0.0718,1.766,0.008,0.217,0.12287655719139298,0.07,13897.0,0.1854
2000.0,5.485180799999999,0.7407,0.6433,0.06,0.0691,1.701,0.008,0.199,0.11699000587889477,0.07,13961.0,0.1698
2000.0,5.7757568,0.7797,0.6438,0.0545,0.066,1.625,0.008,0.181,0.11138461538461539,0.07,14027.0,0.1538
