rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0949,0.0686,0.211,0.002,0.079,0.37440758293838866,0.03,6480.0,0.3404
1000.0,0.1430528,0.0388,0.0528,0.0947,0.0696,0.214,0.002,0.079,0.3691588785046729,0.03,6487.0,0.3338
1000.0,0.2861056,0.0776,0.1035,0.0944,0.0708,0.218,0.002,0.078,0.3577981651376147,0.03,6494.0,0.3267
1000.0,0.4291584,0.1164,0.1519,0.0941,0.0721,0.222,0.002,0.078,0.35135135135135137,0.03,6502.0,0.3192
1000.0,0.5766816,0.1553,0.1979,0.0937,0.0735,0.226,0.002,0.078,0.34513274336283184,0.03,6511.0,0.3114
1000.0,0.7197344,0.1941,0.2413,0.0933,0.0751,0.231,0.002,0.078,0.33766233766233766,0.03,6521.0,0.3031
1000.0,0.8627872,0.2329,0.2821,0.0929,0.0767,0.236,0.002,0.077,0.326271186440678,0.03,6533.0,0.2945
1000.0,1.00584,0.2717,0.3201,0.0923,0.0784,0.241,0.002,0.077,0.3195020746887967,0.03,6546.0,0.2856
1000.0,1.1488927999999998,0.3105,0.3553,0.0916,0.0801,0.246,0.002,0.076,0.3089430894308943,0.03,6561.0,0.2763
1000.0,1.2919456,0.3493,0.3877,0.0907,0.0818,0.252,0.002,0.075,0.2976190476190476,0.03,6576.0,0.2668
1000.0,1.4394688,0.3881,0.4174,0.0896,0.0833,0.256,0.002,0.074,0.2890625,0.03,6594.0,0.2569
1000.0,1.5825216,0.427,0.4445,0.0881,0.0847,0.261,0.002,0.073,0.2796934865900383,0.04,6613.0,0.2466
1000.0,1.7255744,0.4658,0.4689,0.0862,0.0857,0.264,0.003,0.072,0.2727272727272727,0.04,6633.0,0.2359
1000.0,1.8686272,0.5046,0.4908,0.0838,0.0862,0.265,0.003,0.07,0.2641509433962264,0.04,6655.0,0.2247
1000.0,2.01168,0.5434,0.5102,0.0809,0.0862,0.265,0.003,0.067,0.2528301886792453,0.04,6678.0,0.2131
1000.0,2.1547328,0.5822,0.527,0.0775,0.0856,0.263,0.003,0.064,0.24334600760456274,0.04,6703.0,0.2011
1000.0,2.3022560000000003,0.621,0.541,0.0736,0.0845,0.26,0.002,0.061,0.23461538461538461,0.04,6730.0,0.1886
1000.0,2.4453088,0.6599,0.552,0.0693,0.0828,0.255,0.002,0.058,0.22745098039215686,0.04,6758.0,0.1757
1000.0,2.5883616,0.6987,0.5595,0.0646,0.0806,0.248,0.002,0.054,0.21774193548387097,0.04,6787.0,0.1623
1000.0,2.7314144000000002,0.7375,0.563,0.0596,0.078,0.24,0.002,0.049,0.2041666666666667,0.04,6818.0,0.1486
1000.0,2.8744672,0.7763,0.5618,0.0543,0.075,0.231,0.002,0.045,0.1948051948051948,0.04,6850.0,0.1346
1000.0,3.0175199999999998,0.8151,0.5552,0.0488,0.0717,0.221,0.002,0.041,0.18552036199095023,0.04,6883.0,0.1201
1000.0,3.1650432,0.8539,0.542,0.0432,0.068,0.209,0.002,0.036,0.17224880382775118,0.04,6918.0,0.1053
1000.0,3.308096,0.8927,0.5209,0.0374,0.0641,0.197,0.002,0.031,0.15736040609137056,0.04,6954.0,0.09
1000.0,3.4511488,0.9316,0.4898,0.0315,0.0599,0.184,0.002,0.026,0.14130434782608695,0.04,6992.0,0.0744
1000.0,3.5942015999999994,0.9704,0.4461,0.0255,0.0554,0.17,0.002,0.021,0.12352941176470589,0.04,7030.0,0.0585
1000.0,3.7372544,1.0092,0.3861,0.0194,0.0507,0.156,0.001,0.016,0.10256410256410256,0.04,7070.0,0.0425
1000.0,3.8803072,1.048,0.3041,0.0133,0.0458,0.141,0.001,0.011,0.07801418439716312,0.04,7111.0,0.0267
1000.0,4.02336,1.0868,0.1917,0.0072,0.0407,0.125,0.001,0.006,0.048,0.04,7154.0,0.0119
1000.0,4.1708832,1.1256,0.0353,0.0011,0.0354,0.109,0.001,0.001,0.009174311926605505,0.04,7197.0,0.0008
2000.0,0.0,0.0,0.0,0.0956,0.0578,1.423,0.007,0.318,0.22347153900210823,0.07,12961.0,0.4081
2000.0,0.2950464,0.0395,0.064,0.0954,0.0589,1.451,0.007,0.317,0.21847002067539628,0.07,12973.0,0.399
2000.0,0.5856224,0.0791,0.1251,0.0952,0.0602,1.481,0.007,0.316,0.21336934503713706,0.07,12988.0,0.3893
2000.0,0.8806688,0.1186,0.183,0.0949,0.0615,1.515,0.007,0.315,0.20792079207920794,0.07,13004.0,0.3791
2000.0,1.1712448,0.1582,0.2375,0.0946,0.063,1.552,0.007,0.314,0.20231958762886598,0.07,13023.0,0.3684
