rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1222,0.0626,0.123,0.001,0.071,0.5772357723577235,0.03,8243.0,0.544
1000.0,0.0804672,0.0237,0.0454,0.1204,0.0629,0.124,0.001,0.07,0.5645161290322581,0.03,8249.0,0.5299
1000.0,0.1609344,0.0474,0.089,0.1186,0.0632,0.124,0.001,0.069,0.5564516129032259,0.03,8256.0,0.5156
1000.0,0.24140160000000002,0.0711,0.1308,0.1165,0.0633,0.125,0.001,0.068,0.544,0.03,8263.0,0.5011
1000.0,0.3218688,0.0948,0.1709,0.1143,0.0634,0.125,0.001,0.066,0.528,0.03,8271.0,0.4862
1000.0,0.402336,0.1185,0.2092,0.1119,0.0634,0.125,0.001,0.065,0.52,0.03,8280.0,0.4711
1000.0,0.48280320000000004,0.1422,0.2457,0.1093,0.0633,0.124,0.001,0.063,0.5080645161290323,0.03,8288.0,0.4557
1000.0,0.5632704,0.166,0.2803,0.1066,0.0631,0.124,0.001,0.062,0.5,0.03,8298.0,0.44
1000.0,0.6437376,0.1897,0.313,0.1036,0.0628,0.123,0.001,0.06,0.4878048780487805,0.03,8308.0,0.4239
1000.0,0.7242048,0.2134,0.3438,0.1005,0.0624,0.123,0.001,0.058,0.4715447154471545,0.03,8319.0,0.4075
1000.0,0.804672,0.2371,0.3725,0.0971,0.0618,0.122,0.001,0.056,0.45901639344262296,0.03,8330.0,0.3906
1000.0,0.8851392,0.2608,0.399,0.0935,0.0611,0.12,0.001,0.054,0.45,0.03,8342.0,0.3733
1000.0,0.9656064000000001,0.2845,0.4231,0.0898,0.0604,0.119,0.001,0.052,0.4369747899159664,0.03,8354.0,0.3555
1000.0,1.0416032,0.3082,0.4447,0.0858,0.0595,0.117,0.001,0.05,0.42735042735042733,0.03,8367.0,0.3372
1000.0,1.1220704,0.3319,0.4635,0.0816,0.0585,0.115,0.001,0.047,0.408695652173913,0.03,8381.0,0.3183
1000.0,1.2025375999999999,0.3556,0.4792,0.0773,0.0574,0.113,0.001,0.045,0.3982300884955752,0.03,8395.0,0.2989
1000.0,1.2830048,0.3793,0.4915,0.0727,0.0561,0.11,0.001,0.042,0.38181818181818183,0.03,8410.0,0.2788
1000.0,1.3634719999999998,0.403,0.4998,0.068,0.0548,0.108,0.001,0.039,0.3611111111111111,0.03,8426.0,0.2579
1000.0,1.4439392,0.4267,0.5038,0.063,0.0534,0.105,0.001,0.037,0.35238095238095235,0.03,8442.0,0.2364
1000.0,1.5244064,0.4504,0.5028,0.0579,0.0518,0.102,0.001,0.034,0.33333333333333337,0.03,8458.0,0.2142
1000.0,1.6048736,0.4742,0.4964,0.0526,0.0502,0.099,0.001,0.031,0.3131313131313131,0.03,8475.0,0.1916
1000.0,1.6853408,0.4979,0.4836,0.0472,0.0486,0.096,0.001,0.027,0.28125,0.03,8493.0,0.1684
1000.0,1.765808,0.5216,0.4638,0.0417,0.0469,0.092,0.001,0.024,0.2608695652173913,0.03,8512.0,0.1448
1000.0,1.8462752,0.5453,0.4359,0.036,0.0451,0.089,0.001,0.021,0.2359550561797753,0.03,8531.0,0.1211
1000.0,1.9267423999999997,0.569,0.3988,0.0303,0.0432,0.085,0.001,0.018,0.2117647058823529,0.03,8550.0,0.0973
1000.0,2.0072096,0.5927,0.351,0.0245,0.0413,0.081,0.001,0.014,0.1728395061728395,0.03,8571.0,0.0739
1000.0,2.0876768,0.6164,0.291,0.0186,0.0394,0.077,0.001,0.011,0.14285714285714285,0.03,8592.0,0.0514
1000.0,2.168144,0.6401,0.2169,0.0127,0.0374,0.074,0.001,0.007,0.0945945945945946,0.03,8613.0,0.0304
1000.0,2.2486112,0.6638,0.1265,0.0067,0.0354,0.07,0.001,0.004,0.05714285714285714,0.03,8635.0,0.0125
1000.0,2.3290783999999998,0.6875,0.0169,0.0008,0.0333,0.066,0.001,0.0,0.0,0.03,8658.0,0.0006
2000.0,0.0,0.0,0.0,0.1226,0.0569,0.896,0.004,0.285,0.3180803571428571,0.06,16486.0,0.6015
2000.0,0.1609344,0.024,0.0505,0.1208,0.0573,0.902,0.004,0.281,0.31152993348115304,0.06,16498.0,0.5848
2000.0,0.3263392,0.0479,0.0989,0.1189,0.0576,0.907,0.004,0.276,0.30429988974641675,0.06,16512.0,0.5678
2000.0,0.48727360000000003,0.0719,0.1451,0.1169,0.0579,0.911,0.004,0.271,0.29747530186608123,0.06,16527.0,0.5507
2000.0,0.648208,0.0958,0.1892,0.1147,0.0581,0.914,0.004,0.266,0.2910284463894967,0.06,16543.0,0.5334
2000.0,0.8091424,0.1198,0.2312,0.1122,0.0582,0.915,0.004,0.261,0.28524590163934427,0.06,16560.0,0.5159
2000.0,0.9745472000000001,0.1437,0.2711,0.1096,0.0581,0.914,0.004,0.255,0.2789934354485777,0.06,16578.0,0.4982
2000.0,1.1354816,0.1677,0.3088,0.1068,0.058,0.913,0.004,0.248,0.27163198247535597,0.06,16597.0,0.4803
2000.0,1.296416,0.1916,0.3445,0.1038,0.0578,0.908,0.004,0.241,0.2654185022026432,0.06,16618.0,0.4621
2000.0,1.4618208,0.2156,0.378,0.1006,0.0574,0.903,0.004,0.234,0.25913621262458475,0.06,16640.0,0.4437
2000.0,1.6227551999999998,0.2396,0.4093,0.0972,0.0569,0.895,0.004,0.226,0.25251396648044694,0.06,16662.0,0.4249
2000.0,1.7836896,0.2635,0.4382,0.0936,0.0563,0.885,0.004,0.217,0.24519774011299433,0.06,16687.0,0.4059
2000.0,1.9490944000000001,0.2875,0.4648,0.0897,0.0555,0.873,0.004,0.208,0.23825887743413515,0.06,16712.0,0.3864
2000.0,2.1100288,0.3114,0.4887,0.0857,0.0546,0.859,0.004,0.199,0.23166472642607686,0.06,16738.0,0.3666
2000.0,2.2709632,0.3354,0.5099,0.0815,0.0536,0.843,0.004,0.189,0.22419928825622776,0.06,16766.0,0.3463
2000.0,2.4318976,0.3593,0.5279,0.0771,0.0525,0.825,0.004,0.179,0.21696969696969698,0.06,16795.0,0.3254
2000.0,2.5973024,0.3833,0.5426,0.0725,0.0512,0.805,0.004,0.168,0.20869565217391303,0.06,16825.0,0.3041
2000.0,2.7582367999999997,0.4072,0.5534,0.0676,0.0498,0.783,0.004,0.157,0.20051085568326946,0.06,16857.0,0.2819
2000.0,2.9191712,0.4312,0.5598,0.0626,0.0482,0.758,0.004,0.145,0.1912928759894459,0.06,16889.0,0.2591
2000.0,3.084576,0.4552,0.5614,0.0574,0.0465,0.732,0.003,0.133,0.18169398907103826,0.06,16923.0,0.2358
2000.0,3.2455103999999997,0.4791,0.5573,0.0521,0.0448,0.704,0.003,0.121,0.171875,0.06,16958.0,0.2118
2000.0,3.4064448,0.5031,0.5468,0.0466,0.0429,0.675,0.003,0.108,0.15999999999999998,0.06,16995.0,0.1873
2000.0,3.5718496,0.527,0.5287,0.0411,0.041,0.644,0.003,0.095,0.14751552795031056,0.06,17032.0,0.1623
2000.0,3.7327839999999997,0.551,0.5017,0.0354,0.0389,0.612,0.003,0.082,0.13398692810457516,0.06,17071.0,0.1368
2000.0,3.8937184000000005,0.5749,0.4641,0.0297,0.0368,0.579,0.003,0.069,0.11917098445595857,0.06,17111.0,0.111
2000.0,4.0546528,0.5989,0.4138,0.0239,0.0346,0.544,0.003,0.055,0.10110294117647058,0.06,17152.0,0.0852
2000.0,4.2200576,0.6228,0.3479,0.018,0.0323,0.508,0.002,0.042,0.08267716535433071,0.06,17195.0,0.0599
2000.0,4.380992,0.6468,0.2626,0.0122,0.0299,0.471,0.002,0.028,0.059447983014862,0.06,17239.0,0.0357
2000.0,4.5419264,0.6708,0.153,0.0063,0.0275,0.433,0.002,0.015,0.03464203233256351,0.06,17284.0,0.0144
2000.0,4.7073312,0.6947,0.0119,0.0004,0.025,0.394,0.002,0.001,0.0025380710659898475,0.06,17330.0,0.0003
3000.0,0.0,0.0,0.0,0.1228,0.0544,2.886,0.009,0.642,0.22245322245322244,0.1,24728.0,0.6317
3000.0,0.245872,0.0241,0.0532,0.1211,0.0548,2.909,0.009,0.633,0.21760055001718806,0.1,24747.0,0.6135
3000.0,0.48727360000000003,0.0482,0.1041,0.1192,0.0552,2.929,0.009,0.623,0.21270058040286788,0.1,24768.0,0.595
3000.0,0.7331456,0.0723,0.1526,0.1171,0.0555,2.945,0.009,0.612,0.20780984719864176,0.1,24791.0,0.5765
3000.0,0.9790175999999999,0.0964,0.1988,0.1149,0.0557,2.956,0.009,0.6,0.20297699594046006,0.1,24815.0,0.5578
3000.0,1.2248896,0.1204,0.2427,0.1124,0.0558,2.963,0.009,0.587,0.19811002362470467,0.1,24841.0,0.539
3000.0,1.4662912,0.1445,0.2843,0.1098,0.0558,2.963,0.009,0.574,0.19372257846776914,0.1,24868.0,0.52
3000.0,1.7121632,0.1686,0.3237,0.107,0.0557,2.959,0.009,0.559,0.18891517404528557,0.1,24897.0,0.5009
3000.0,1.9580351999999999,0.1927,0.3609,0.1039,0.0555,2.947,0.009,0.543,0.18425517475398712,0.1,24928.0,0.4816
3000.0,2.2039071999999997,0.2168,0.3957,0.1007,0.0552,2.929,0.009,0.526,0.17958347558893822,0.1,24961.0,0.4622
3000.0,2.4453088,0.2409,0.4284,0.0972,0.0547,2.903,0.009,0.508,0.17499138821908372,0.1,24996.0,0.4424
3000.0,2.6911807999999997,0.265,0.4586,0.0936,0.0541,2.872,0.009,0.489,0.17026462395543177,0.1,25032.0,0.4225
3000.0,2.9370528,0.2891,0.4864,0.0897,0.0533,2.831,0.009,0.469,0.16566584245849522,0.1,25070.0,0.4022
3000.0,3.1829248,0.3132,0.5116,0.0857,0.0525,2.785,0.009,0.448,0.16086175942549372,0.1,25111.0,0.3816
3000.0,3.4243264,0.3373,0.5341,0.0814,0.0514,2.73,0.009,0.425,0.15567765567765568,0.1,25153.0,0.3605
3000.0,3.6701984000000003,0.3613,0.5534,0.077,0.0502,2.668,0.008,0.402,0.15067466266866567,0.1,25196.0,0.339
3000.0,3.9160703999999997,0.3854,0.5695,0.0723,0.0489,2.598,0.008,0.378,0.14549653579676675,0.1,25242.0,0.317
3000.0,4.1619424,0.4095,0.5817,0.0674,0.0475,2.519,0.008,0.352,0.13973799126637554,0.1,25290.0,0.2943
3000.0,4.403344,0.4336,0.5897,0.0623,0.0458,2.434,0.008,0.326,0.13393590797041907,0.1,25339.0,0.2709
3000.0,4.649216,0.4577,0.5929,0.0571,0.0441,2.342,0.007,0.299,0.12766865926558496,0.1,25390.0,0.2471
3000.0,4.895087999999999,0.4818,0.5905,0.0518,0.0423,2.244,0.007,0.271,0.12076648841354723,0.1,25443.0,0.2226
3000.0,5.14096,0.5059,0.5816,0.0463,0.0403,2.14,0.007,0.242,0.1130841121495327,0.1,25498.0,0.1975
3000.0,5.382361599999999,0.53,0.5651,0.0408,0.0382,2.03,0.006,0.213,0.10492610837438425,0.1,25555.0,0.1718
