rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0729,0.0428,0.179,0.002,0.077,0.4301675977653631,0.04,10960.0,0.3673
1000.0,0.06705599999999999,0.0167,0.0278,0.0713,0.0428,0.179,0.002,0.076,0.4245810055865922,0.04,10965.0,0.3554
1000.0,0.1296416,0.0334,0.0544,0.0696,0.0427,0.178,0.002,0.074,0.4157303370786517,0.04,10970.0,0.3432
1000.0,0.1966976,0.05,0.0796,0.0679,0.0426,0.178,0.002,0.072,0.4044943820224719,0.04,10975.0,0.3308
1000.0,0.2637536,0.0667,0.1036,0.066,0.0425,0.178,0.002,0.07,0.3932584269662922,0.04,10981.0,0.3182
1000.0,0.3263392,0.0834,0.1261,0.0641,0.0424,0.177,0.002,0.068,0.38418079096045205,0.04,10987.0,0.3055
1000.0,0.3933952,0.1001,0.1472,0.0622,0.0423,0.176,0.002,0.066,0.37500000000000006,0.04,10993.0,0.2925
1000.0,0.4604512,0.1168,0.1668,0.0601,0.0421,0.176,0.002,0.064,0.36363636363636365,0.04,11000.0,0.2794
1000.0,0.5275072,0.1334,0.1848,0.058,0.0419,0.175,0.002,0.062,0.3542857142857143,0.04,11007.0,0.2662
1000.0,0.5900928,0.1501,0.2013,0.0558,0.0416,0.174,0.002,0.059,0.339080459770115,0.04,11014.0,0.2528
1000.0,0.6571488,0.1668,0.2161,0.0536,0.0414,0.173,0.002,0.057,0.3294797687861272,0.04,11022.0,0.2393
1000.0,0.7242048,0.1835,0.2291,0.0513,0.0411,0.172,0.002,0.054,0.313953488372093,0.04,11029.0,0.2257
1000.0,0.7867904,0.2002,0.2404,0.049,0.0408,0.17,0.002,0.052,0.30588235294117644,0.04,11038.0,0.212
1000.0,0.8538464,0.2168,0.2497,0.0465,0.0404,0.169,0.002,0.049,0.28994082840236685,0.04,11046.0,0.1982
1000.0,0.9209024,0.2335,0.2571,0.0441,0.04,0.167,0.002,0.047,0.281437125748503,0.04,11055.0,0.1844
1000.0,0.983488,0.2502,0.2624,0.0415,0.0396,0.165,0.002,0.044,0.26666666666666666,0.04,11064.0,0.1705
1000.0,1.050544,0.2669,0.2655,0.0389,0.0391,0.163,0.002,0.041,0.25153374233128833,0.04,11074.0,0.1565
1000.0,1.1176,0.2836,0.2662,0.0363,0.0386,0.161,0.002,0.038,0.2360248447204969,0.04,11084.0,0.1426
1000.0,1.1801856,0.3002,0.2645,0.0335,0.0381,0.159,0.002,0.036,0.22641509433962262,0.04,11094.0,0.1287
1000.0,1.2472416,0.3169,0.2602,0.0308,0.0375,0.157,0.001,0.033,0.21019108280254778,0.04,11105.0,0.1149
1000.0,1.3142976,0.3336,0.253,0.028,0.0369,0.154,0.001,0.03,0.1948051948051948,0.04,11116.0,0.1012
1000.0,1.3768832,0.3503,0.2429,0.0251,0.0362,0.151,0.001,0.027,0.17880794701986755,0.04,11128.0,0.0877
1000.0,1.4439392,0.367,0.2295,0.0222,0.0355,0.148,0.001,0.024,0.16216216216216217,0.04,11140.0,0.0743
1000.0,1.5109952,0.3836,0.2125,0.0193,0.0348,0.145,0.001,0.02,0.13793103448275865,0.04,11152.0,0.0613
1000.0,1.5780512,0.4003,0.1918,0.0163,0.034,0.142,0.001,0.017,0.11971830985915495,0.04,11165.0,0.0488
1000.0,1.6406368,0.417,0.1668,0.0133,0.0331,0.138,0.001,0.014,0.10144927536231883,0.04,11178.0,0.0367
1000.0,1.7076928,0.4337,0.1372,0.0102,0.0323,0.135,0.001,0.011,0.08148148148148147,0.04,11192.0,0.0255
1000.0,1.7747488,0.4504,0.1025,0.0071,0.0314,0.131,0.001,0.008,0.061068702290076333,0.04,11206.0,0.0153
1000.0,1.8373344,0.467,0.0621,0.004,0.0304,0.127,0.001,0.004,0.031496062992125984,0.04,11220.0,0.0068
1000.0,1.9043903999999998,0.4837,0.0152,0.0009,0.0294,0.123,0.001,0.001,0.008130081300813009,0.04,11235.0,0.0008
2000.0,0.0,0.0,0.0,0.0734,0.0344,1.15,0.005,0.311,0.2704347826086957,0.07,21919.0,0.461
2000.0,0.1385824,0.0177,0.0369,0.0717,0.0344,1.15,0.005,0.304,0.26434782608695656,0.07,21930.0,0.4449
2000.0,0.2771648,0.0354,0.072,0.0699,0.0344,1.15,0.005,0.297,0.2582608695652174,0.07,21941.0,0.4285
2000.0,0.42021759999999997,0.0532,0.1053,0.068,0.0344,1.148,0.005,0.289,0.25174216027874563,0.07,21953.0,0.412
2000.0,0.5588,0.0709,0.1366,0.0661,0.0343,1.145,0.005,0.28,0.24454148471615722,0.07,21965.0,0.3953
2000.0,0.6973824,0.0886,0.1661,0.0641,0.0342,1.142,0.005,0.272,0.23817863397548164,0.07,21978.0,0.3784
2000.0,0.8359648000000001,0.1063,0.1936,0.0619,0.034,1.137,0.005,0.263,0.2313104661389622,0.07,21992.0,0.3615
2000.0,0.9790175999999999,0.1241,0.219,0.0598,0.0339,1.131,0.005,0.253,0.22369584438549955,0.07,22006.0,0.3443
2000.0,1.1176,0.1418,0.2424,0.0575,0.0336,1.124,0.005,0.244,0.2170818505338078,0.07,22021.0,0.3271
2000.0,1.2561824,0.1595,0.2636,0.0552,0.0334,1.115,0.005,0.234,0.20986547085201795,0.07,22036.0,0.3098
2000.0,1.3947648,0.1772,0.2827,0.0528,0.0331,1.105,0.005,0.224,0.20271493212669683,0.07,22053.0,0.2923
2000.0,1.5333472000000001,0.195,0.2994,0.0503,0.0328,1.094,0.005,0.213,0.19469835466179158,0.07,22070.0,0.2748
2000.0,1.6764,0.2127,0.3137,0.0478,0.0324,1.082,0.005,0.203,0.1876155268022181,0.07,22088.0,0.2572
2000.0,1.8149823999999999,0.2304,0.3255,0.0452,0.032,1.067,0.005,0.192,0.17994376757263356,0.07,22107.0,0.2396
2000.0,1.9535648,0.2481,0.3347,0.0425,0.0315,1.052,0.005,0.18,0.17110266159695817,0.07,22126.0,0.2219
2000.0,2.0921472,0.2659,0.3411,0.0397,0.031,1.035,0.005,0.169,0.1632850241545894,0.07,22147.0,0.2041
2000.0,2.2307296,0.2836,0.3445,0.0369,0.0304,1.016,0.005,0.157,0.1545275590551181,0.07,22168.0,0.1863
2000.0,2.3737823999999996,0.3013,0.3447,0.0341,0.0298,0.995,0.005,0.145,0.1457286432160804,0.07,22190.0,0.1685
2000.0,2.5123648,0.319,0.3415,0.0312,0.0291,0.972,0.005,0.132,0.1358024691358025,0.07,22213.0,0.1508
2000.0,2.6509471999999996,0.3368,0.3344,0.0282,0.0284,0.948,0.005,0.12,0.12658227848101267,0.07,22237.0,0.133
2000.0,2.7895296,0.3545,0.3232,0.0252,0.0276,0.922,0.004,0.107,0.11605206073752711,0.07,22261.0,0.1154
2000.0,2.9325824,0.3722,0.3073,0.0221,0.0268,0.894,0.004,0.094,0.10514541387024608,0.07,22287.0,0.0979
2000.0,3.0711648,0.3899,0.2861,0.019,0.0259,0.864,0.004,0.081,0.09375,0.07,22314.0,0.0807
2000.0,3.2097472,0.4077,0.259,0.0158,0.0249,0.832,0.004,0.067,0.08052884615384616,0.07,22341.0,0.0638
2000.0,3.3483296,0.4254,0.225,0.0126,0.0239,0.798,0.004,0.054,0.06766917293233082,0.07,22369.0,0.0474
2000.0,3.486912,0.4431,0.1829,0.0094,0.0228,0.762,0.004,0.04,0.05249343832020997,0.07,22399.0,0.032
2000.0,3.6299647999999998,0.4608,0.1314,0.0062,0.0217,0.724,0.003,0.026,0.03591160220994475,0.07,22429.0,0.0179
2000.0,3.7685472,0.4786,0.0682,0.0029,0.0205,0.685,0.003,0.012,0.01751824817518248,0.07,22460.0,0.0062
2000.0,3.9071296,0.4963,-0.0104,-0.0004,0.0192,0.642,0.003,-0.002,-0.003115264797507788,0.07,22491.0,0.0
