rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1199,0.0554,0.257,0.002,0.138,0.5369649805447471,0.04,11498.0,0.5978
1000.0,0.0849376,0.0215,0.0456,0.1179,0.0555,0.258,0.002,0.136,0.5271317829457365,0.04,11506.0,0.5819
1000.0,0.1743456,0.043,0.0896,0.1157,0.0555,0.258,0.002,0.134,0.5193798449612403,0.04,11515.0,0.5657
1000.0,0.2592832,0.0645,0.1317,0.1134,0.0555,0.258,0.002,0.131,0.5077519379844961,0.04,11524.0,0.5492
1000.0,0.3442208,0.0859,0.1722,0.1109,0.0554,0.257,0.002,0.128,0.4980544747081712,0.04,11535.0,0.5323
1000.0,0.4336288,0.1074,0.2108,0.1083,0.0552,0.256,0.002,0.125,0.48828125,0.04,11545.0,0.5153
1000.0,0.5185664,0.1289,0.2476,0.1054,0.0549,0.255,0.002,0.122,0.4784313725490196,0.04,11556.0,0.4976
1000.0,0.603504,0.1504,0.2825,0.1024,0.0545,0.253,0.002,0.118,0.46640316205533594,0.04,11568.0,0.4796
1000.0,0.692912,0.1719,0.3154,0.0993,0.0541,0.251,0.002,0.115,0.4581673306772909,0.04,11581.0,0.4612
1000.0,0.7778496,0.1934,0.3461,0.0959,0.0536,0.249,0.002,0.111,0.4457831325301205,0.04,11594.0,0.4423
1000.0,0.8627872,0.2149,0.3747,0.0924,0.053,0.246,0.002,0.107,0.4349593495934959,0.04,11608.0,0.423
1000.0,0.9521951999999999,0.2363,0.4008,0.0887,0.0523,0.243,0.002,0.102,0.41975308641975306,0.04,11622.0,0.403
1000.0,1.0371328,0.2578,0.4243,0.0849,0.0516,0.239,0.002,0.098,0.4100418410041841,0.04,11637.0,0.3825
1000.0,1.1220704,0.2793,0.4449,0.0808,0.0507,0.236,0.002,0.093,0.3940677966101695,0.04,11653.0,0.3612
1000.0,1.2114784,0.3008,0.4624,0.0766,0.0498,0.231,0.002,0.088,0.38095238095238093,0.04,11669.0,0.3394
