rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1029,0.0619,0.288,0.003,0.119,0.4131944444444445,0.04,9058.0,0.425
1000.0,0.12070080000000001,0.0303,0.0492,0.102,0.0628,0.292,0.003,0.118,0.4041095890410959,0.04,9065.0,0.4139
1000.0,0.24140160000000002,0.0606,0.0961,0.101,0.0637,0.296,0.003,0.117,0.3952702702702703,0.04,9074.0,0.4024
1000.0,0.3665728,0.0909,0.1407,0.0999,0.0645,0.3,0.003,0.115,0.38333333333333336,0.04,9083.0,0.3905
1000.0,0.48727360000000003,0.1211,0.1829,0.0987,0.0654,0.304,0.003,0.114,0.375,0.04,9092.0,0.3784
1000.0,0.6079744,0.1514,0.2227,0.0973,0.0661,0.307,0.003,0.112,0.36482084690553745,0.04,9103.0,0.3659
1000.0,0.7286752,0.1817,0.2601,0.0957,0.0668,0.31,0.003,0.11,0.3548387096774194,0.04,9115.0,0.3532
1000.0,0.8538464,0.212,0.2951,0.0938,0.0674,0.313,0.003,0.108,0.3450479233226837,0.04,9128.0,0.3402
1000.0,0.9745472000000001,0.2423,0.3277,0.0918,0.0679,0.315,0.003,0.106,0.3365079365079365,0.04,9143.0,0.327
1000.0,1.095248,0.2726,0.3579,0.0895,0.0682,0.317,0.003,0.103,0.3249211356466877,0.04,9158.0,0.3135
1000.0,1.2159488,0.3029,0.3857,0.087,0.0683,0.317,0.003,0.1,0.3154574132492114,0.04,9175.0,0.2997
1000.0,1.34112,0.3331,0.4111,0.0842,0.0682,0.317,0.003,0.097,0.305993690851735,0.04,9192.0,0.2857
1000.0,1.4618208,0.3634,0.434,0.0811,0.0679,0.315,0.003,0.094,0.2984126984126984,0.04,9211.0,0.2714
1000.0,1.5825216,0.3937,0.4544,0.0778,0.0674,0.313,0.003,0.09,0.28753993610223644,0.04,9232.0,0.2568
1000.0,1.7032224,0.424,0.4722,0.0742,0.0666,0.309,0.003,0.086,0.27831715210355984,0.04,9253.0,0.242
1000.0,1.8283935999999998,0.4543,0.4871,0.0703,0.0656,0.304,0.003,0.081,0.26644736842105265,0.04,9276.0,0.2268
1000.0,1.9490944000000001,0.4846,0.4989,0.0662,0.0643,0.299,0.003,0.076,0.25418060200668896,0.04,9299.0,0.2114
1000.0,2.0697951999999997,0.5149,0.5075,0.0619,0.0628,0.291,0.003,0.071,0.24398625429553264,0.04,9324.0,0.1957
1000.0,2.190496,0.5451,0.5125,0.0574,0.061,0.283,0.003,0.066,0.23321554770318023,0.04,9351.0,0.1797
1000.0,2.3156672,0.5754,0.5134,0.0527,0.0591,0.274,0.003,0.061,0.22262773722627735,0.04,9378.0,0.1634
1000.0,2.436368,0.6057,0.5097,0.0479,0.0569,0.264,0.003,0.055,0.20833333333333331,0.04,9406.0,0.1469
1000.0,2.5570687999999997,0.636,0.5006,0.043,0.0546,0.253,0.002,0.05,0.1976284584980237,0.04,9436.0,0.1302
1000.0,2.6777696,0.6663,0.4853,0.0379,0.0521,0.242,0.002,0.044,0.18181818181818182,0.04,9467.0,0.1132
1000.0,2.8029407999999996,0.6966,0.4627,0.0328,0.0494,0.229,0.002,0.038,0.16593886462882096,0.04,9499.0,0.096
1000.0,2.9236416,0.7269,0.431,0.0276,0.0465,0.216,0.002,0.032,0.14814814814814814,0.04,9532.0,0.0786
1000.0,3.0443423999999997,0.7571,0.3882,0.0223,0.0435,0.202,0.002,0.026,0.1287128712871287,0.04,9567.0,0.0611
1000.0,3.1650432,0.7874,0.3313,0.0169,0.0403,0.187,0.002,0.02,0.10695187165775401,0.04,9602.0,0.0437
1000.0,3.2902144,0.8177,0.256,0.0116,0.0369,0.171,0.002,0.013,0.07602339181286549,0.04,9639.0,0.0268
1000.0,3.4109152,0.848,0.156,0.0061,0.0334,0.155,0.001,0.007,0.04516129032258065,0.04,9676.0,0.0115
1000.0,3.531616,0.8783,0.0216,0.0007,0.0298,0.138,0.001,0.001,0.007246376811594202,0.04,9715.0,0.0005
2000.0,0.0,0.0,0.0,0.1035,0.0524,1.946,0.009,0.478,0.24563206577595068,0.08,18116.0,0.5074
2000.0,0.25481279999999995,0.0315,0.0607,0.1027,0.0534,1.983,0.009,0.474,0.23903177004538576,0.08,18131.0,0.4918
2000.0,0.5051551999999999,0.0631,0.118,0.1017,0.0544,2.02,0.01,0.47,0.23267326732673266,0.08,18148.0,0.4759
2000.0,0.759968,0.0946,0.1718,0.1006,0.0554,2.057,0.01,0.464,0.22557122022362666,0.08,18167.0,0.4596
2000.0,1.0147808,0.1261,0.2223,0.0993,0.0563,2.093,0.01,0.459,0.21930243669374105,0.08,18188.0,0.4431
2000.0,1.2695935999999999,0.1577,0.2694,0.0978,0.0572,2.126,0.01,0.452,0.21260583254938853,0.08,18211.0,0.4264
2000.0,1.519936,0.1892,0.3132,0.0961,0.0581,2.157,0.01,0.444,0.20584144645340752,0.08,18237.0,0.4095
2000.0,1.7747488,0.2207,0.3537,0.0942,0.0588,2.184,0.01,0.435,0.19917582417582416,0.08,18265.0,0.3925
2000.0,2.0295616,0.2523,0.3911,0.0921,0.0594,2.205,0.011,0.425,0.1927437641723356,0.08,18295.0,0.3753
2000.0,2.2843744,0.2838,0.4255,0.0896,0.0598,2.221,0.011,0.414,0.1864025213867627,0.08,18328.0,0.3581
2000.0,2.5347168,0.3153,0.4568,0.0869,0.06,2.228,0.011,0.401,0.17998204667863554,0.08,18364.0,0.3408
2000.0,2.7895296,0.3469,0.4853,0.0839,0.06,2.228,0.011,0.387,0.1736983842010772,0.08,18402.0,0.3233
2000.0,3.0443423999999997,0.3784,0.5108,0.0806,0.0597,2.218,0.011,0.372,0.16771866546438233,0.08,18442.0,0.3058
2000.0,3.2991552,0.4099,0.5334,0.077,0.0592,2.198,0.01,0.356,0.16196542311191992,0.08,18486.0,0.2881
2000.0,3.5494976,0.4415,0.5531,0.0731,0.0583,2.167,0.01,0.338,0.15597600369173975,0.08,18532.0,0.2703
2000.0,3.8043104,0.473,0.5696,0.0689,0.0572,2.126,0.01,0.318,0.1495766698024459,0.08,18580.0,0.2523
2000.0,4.0591232,0.5045,0.5829,0.0645,0.0559,2.075,0.01,0.298,0.1436144578313253,0.08,18631.0,0.2341
2000.0,4.313936,0.5361,0.5925,0.0599,0.0542,2.013,0.01,0.277,0.13760556383507205,0.08,18685.0,0.2159
2000.0,4.5642784,0.5676,0.5983,0.0551,0.0523,1.942,0.009,0.255,0.131307929969104,0.08,18741.0,0.1974
2000.0,4.8190912,0.5991,0.5995,0.0502,0.0501,1.862,0.009,0.232,0.12459720730397422,0.08,18800.0,0.1788
2000.0,5.073904,0.6307,0.5956,0.0451,0.0477,1.774,0.008,0.208,0.11724915445321307,0.08,18862.0,0.16
2000.0,5.3242464,0.6622,0.5855,0.0399,0.0451,1.676,0.008,0.184,0.10978520286396182,0.08,18926.0,0.1409
2000.0,5.5790592,0.6937,0.5678,0.0346,0.0423,1.571,0.007,0.16,0.10184595798854233,0.08,18992.0,0.1215
2000.0,5.833872,0.7253,0.5406,0.0292,0.0392,1.457,0.007,0.135,0.09265614275909403,0.08,19061.0,0.1017
2000.0,6.088684799999999,0.7568,0.5009,0.0238,0.0359,1.335,0.006,0.11,0.08239700374531836,0.08,19132.0,0.0814
2000.0,6.339027199999999,0.7883,0.4443,0.0183,0.0324,1.205,0.006,0.084,0.06970954356846473,0.08,19206.0,0.0608
2000.0,6.59384,0.8199,0.3636,0.0128,0.0288,1.068,0.005,0.059,0.05524344569288389,0.08,19283.0,0.04
2000.0,6.8486528,0.8514,0.2468,0.0072,0.0249,0.925,0.004,0.033,0.03567567567567568,0.08,19362.0,0.0196
2000.0,7.1034656,0.8829,0.0713,0.0017,0.0208,0.774,0.004,0.008,0.0103359173126615,0.08,19442.0,0.0026
3000.0,0.0,0.0,0.0,0.1039,0.0484,6.071,0.019,1.079,0.1777301927194861,0.11,27175.0,0.5516
3000.0,0.37104319999999996,0.0309,0.0645,0.103,0.0494,6.197,0.02,1.071,0.1728255607552041,0.11,27197.0,0.534
3000.0,0.7465567999999999,0.0618,0.1252,0.1021,0.0504,6.324,0.02,1.061,0.16777356103731814,0.11,27221.0,0.516
3000.0,1.1176,0.0927,0.1821,0.101,0.0515,6.452,0.021,1.05,0.16274023558586487,0.11,27249.0,0.4979
3000.0,1.4931135999999998,0.1237,0.2353,0.0998,0.0525,6.576,0.021,1.037,0.15769464720194648,0.11,27280.0,0.4795
3000.0,1.8641568,0.1546,0.2848,0.0984,0.0534,6.695,0.021,1.022,0.15265123226288274,0.11,27314.0,0.461
3000.0,2.2396704,0.1855,0.3307,0.0968,0.0543,6.806,0.022,1.006,0.14781075521598588,0.11,27351.0,0.4425
3000.0,2.6107136,0.2164,0.3732,0.0949,0.0551,6.903,0.022,0.987,0.1429813124728379,0.11,27391.0,0.4239
3000.0,2.9862271999999996,0.2473,0.4123,0.0929,0.0557,6.985,0.022,0.965,0.1381531853972799,0.11,27435.0,0.4054
3000.0,3.3572704,0.2782,0.4483,0.0906,0.0562,7.047,0.022,0.941,0.13353199943238256,0.11,27483.0,0.3868
3000.0,3.7283136,0.3092,0.4811,0.088,0.0565,7.085,0.023,0.914,0.12900494001411433,0.11,27535.0,0.3683
3000.0,4.1038272,0.3401,0.5111,0.0851,0.0566,7.097,0.023,0.884,0.1245596731013104,0.11,27590.0,0.3498
3000.0,4.4748703999999995,0.371,0.5381,0.0819,0.0565,7.08,0.023,0.851,0.12019774011299435,0.11,27649.0,0.3312
3000.0,4.850384,0.4019,0.5624,0.0785,0.0561,7.03,0.022,0.815,0.11593172119487907,0.11,27712.0,0.3127
3000.0,5.2214272,0.4328,0.5837,0.0747,0.0554,6.946,0.022,0.776,0.11171897494961129,0.11,27778.0,0.2942
3000.0,5.5969408,0.4637,0.6022,0.0707,0.0545,6.827,0.022,0.735,0.10766075875201406,0.11,27848.0,0.2755
3000.0,5.9679839999999995,0.4947,0.6178,0.0665,0.0532,6.672,0.021,0.691,0.10356714628297362,0.11,27923.0,0.2569
3000.0,6.339027199999999,0.5256,0.6301,0.062,0.0517,6.484,0.021,0.644,0.09932140653917335,0.11,28000.0,0.2382
3000.0,6.7145408,0.5565,0.639,0.0574,0.05,6.264,0.02,0.596,0.09514687100893997,0.11,28082.0,0.2195
3000.0,7.085584,0.5874,0.6441,0.0526,0.048,6.012,0.019,0.546,0.0908183632734531,0.12,28167.0,0.2006
3000.0,7.4610976,0.6183,0.6447,0.0477,0.0457,5.73,0.018,0.495,0.08638743455497382,0.12,28256.0,0.1816
3000.0,7.8321407999999995,0.6492,0.6402,0.0426,0.0432,5.418,0.017,0.443,0.08176448874123293,0.12,28349.0,0.1624
3000.0,8.2076544,0.6801,0.6295,0.0375,0.0405,5.077,0.016,0.389,0.07662005121134528,0.12,28445.0,0.143
3000.0,8.5786976,0.7111,0.6108,0.0323,0.0376,4.708,0.015,0.335,0.07115548003398471,0.12,28544.0,0.1231
3000.0,8.9542112,0.742,0.5819,0.027,0.0344,4.31,0.014,0.28,0.06496519721577727,0.12,28648.0,0.1028
3000.0,9.3252544,0.7729,0.5391,0.0216,0.031,3.886,0.012,0.225,0.057900154400411734,0.12,28755.0,0.0818
3000.0,9.696297600000001,0.8038,0.4762,0.0162,0.0274,3.436,0.011,0.169,0.049185098952270086,0.12,28865.0,0.0602
3000.0,10.0718112,0.8347,0.383,0.0108,0.0236,2.961,0.009,0.113,0.03816278284363391,0.12,28979.0,0.0381
3000.0,10.4428544,0.8656,0.2396,0.0054,0.0197,2.464,0.008,0.057,0.023133116883116884,0.12,29097.0,0.0163
3000.0,10.818368,0.8966,0.0038,0.0001,0.0155,1.945,0.006,0.001,0.0005141388174807198,0.12,29217.0,0.0
4000.0,0.0,0.0,0.0,0.1041,0.0462,13.721,0.033,1.923,0.14015013482982291,0.15,36232.0,0.5804
4000.0,0.5096255999999999,0.0316,0.069,0.1033,0.0472,14.032,0.033,1.908,0.13597491448118584,0.15,36263.0,0.5608
4000.0,1.0147808,0.0631,0.1338,0.1023,0.0483,14.348,0.034,1.89,0.13172567605241148,0.15,36297.0,0.5409
4000.0,1.5244064,0.0947,0.1943,0.1012,0.0493,14.665,0.035,1.87,0.12751449028298673,0.15,36334.0,0.5208
4000.0,2.0295616,0.1263,0.2505,0.1,0.0504,14.975,0.036,1.847,0.123338898163606,0.15,36376.0,0.5005
4000.0,2.5391871999999998,0.1578,0.3026,0.0985,0.0514,15.27,0.036,1.82,0.1191879502292076,0.15,36423.0,0.4802
4000.0,3.0488128,0.1894,0.3508,0.0969,0.0523,15.544,0.037,1.79,0.11515697375193,0.15,36474.0,0.4599
