rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1246,0.0497,0.176,0.002,0.116,0.6590909090909092,0.04,14244.0,0.7052
1000.0,0.0759968,0.0203,0.0498,0.1219,0.0497,0.176,0.002,0.113,0.6420454545454546,0.04,14255.0,0.683
1000.0,0.156464,0.0406,0.0975,0.1191,0.0496,0.176,0.002,0.111,0.6306818181818182,0.04,14266.0,0.6607
1000.0,0.2324608,0.0609,0.143,0.1162,0.0495,0.175,0.002,0.108,0.6171428571428572,0.04,14278.0,0.6382
1000.0,0.3084576,0.0812,0.1863,0.1131,0.0493,0.175,0.002,0.105,0.6,0.04,14291.0,0.6154
1000.0,0.3889248,0.1016,0.2274,0.11,0.0491,0.174,0.002,0.102,0.5862068965517241,0.04,14304.0,0.5925
1000.0,0.4649216,0.1219,0.2663,0.1067,0.0488,0.173,0.002,0.099,0.5722543352601157,0.04,14317.0,0.5694
1000.0,0.5409184,0.1422,0.3029,0.1032,0.0485,0.172,0.002,0.096,0.558139534883721,0.04,14332.0,0.5461
1000.0,0.6169152,0.1625,0.3371,0.0997,0.0481,0.17,0.002,0.093,0.5470588235294117,0.04,14346.0,0.5225
1000.0,0.6973824,0.1828,0.3688,0.096,0.0476,0.169,0.002,0.089,0.5266272189349112,0.04,14362.0,0.4987
1000.0,0.7733791999999999,0.2031,0.398,0.0921,0.047,0.167,0.002,0.086,0.5149700598802395,0.04,14378.0,0.4746
1000.0,0.8493759999999999,0.2234,0.4246,0.0882,0.0464,0.164,0.002,0.082,0.5,0.04,14395.0,0.4502
1000.0,0.9298432,0.2437,0.4483,0.0841,0.0457,0.162,0.002,0.078,0.48148148148148145,0.04,14412.0,0.4255
1000.0,1.00584,0.2641,0.469,0.0798,0.0449,0.159,0.002,0.074,0.4654088050314465,0.04,14430.0,0.4004
1000.0,1.0818368,0.2844,0.4866,0.0755,0.0441,0.156,0.001,0.07,0.44871794871794873,0.04,14448.0,0.375
1000.0,1.162304,0.3047,0.5007,0.071,0.0432,0.153,0.001,0.066,0.43137254901960786,0.04,14468.0,0.3493
1000.0,1.2383008,0.325,0.5111,0.0664,0.0422,0.15,0.001,0.062,0.41333333333333333,0.04,14487.0,0.3233
1000.0,1.3142976,0.3453,0.5175,0.0617,0.0411,0.146,0.001,0.057,0.39041095890410965,0.04,14508.0,0.297
1000.0,1.3947648,0.3656,0.5195,0.0569,0.04,0.142,0.001,0.053,0.3732394366197183,0.04,14529.0,0.2703
1000.0,1.4707616,0.3859,0.5166,0.052,0.0388,0.138,0.001,0.048,0.34782608695652173,0.04,14551.0,0.2435
1000.0,1.5467583999999999,0.4062,0.5082,0.047,0.0376,0.133,0.001,0.044,0.3308270676691729,0.04,14574.0,0.2163
1000.0,1.6272256,0.4266,0.4936,0.0419,0.0362,0.128,0.001,0.039,0.3046875,0.04,14597.0,0.189
1000.0,1.7032224,0.4469,0.4721,0.0368,0.0348,0.123,0.001,0.034,0.2764227642276423,0.04,14621.0,0.1616
1000.0,1.7792192,0.4672,0.4425,0.0316,0.0333,0.118,0.001,0.029,0.24576271186440682,0.04,14646.0,0.1342
1000.0,1.8552160000000002,0.4875,0.4036,0.0263,0.0318,0.113,0.001,0.024,0.21238938053097345,0.04,14671.0,0.1071
1000.0,1.9356832,0.5078,0.3539,0.021,0.0302,0.107,0.001,0.02,0.1869158878504673,0.04,14698.0,0.0806
1000.0,2.01168,0.5281,0.2918,0.0157,0.0285,0.101,0.001,0.015,0.1485148514851485,0.04,14725.0,0.0553
1000.0,2.0876768,0.5484,0.215,0.0105,0.0268,0.095,0.001,0.01,0.10526315789473684,0.04,14752.0,0.032
1000.0,2.168144,0.5687,0.1204,0.0053,0.025,0.089,0.001,0.005,0.05617977528089888,0.04,14781.0,0.0123
1000.0,2.2441408,0.5891,0.0034,0.0001,0.0232,0.082,0.001,0.0,0.0,0.04,14809.0,0.0001
2000.0,0.0,0.0,0.0,0.1247,0.0486,1.379,0.007,0.464,0.3364757070340827,0.07,28488.0,0.7225
2000.0,0.156464,0.0203,0.0511,0.122,0.0486,1.378,0.007,0.454,0.3294629898403484,0.07,28509.0,0.6997
2000.0,0.3084576,0.0407,0.1,0.1192,0.0485,1.376,0.007,0.444,0.3226744186046512,0.07,28532.0,0.6768
2000.0,0.4649216,0.061,0.1467,0.1163,0.0484,1.372,0.007,0.433,0.31559766763848396,0.07,28556.0,0.6537
2000.0,0.6213856,0.0814,0.1911,0.1133,0.0482,1.367,0.007,0.421,0.3079736649597659,0.07,28581.0,0.6305
2000.0,0.7733791999999999,0.1017,0.2334,0.1101,0.048,1.361,0.006,0.41,0.30124908155767816,0.07,28607.0,0.6072
2000.0,0.9298432,0.1221,0.2733,0.1068,0.0477,1.352,0.006,0.397,0.29363905325443784,0.07,28635.0,0.5837
2000.0,1.0863072,0.1424,0.311,0.1033,0.0473,1.342,0.006,0.384,0.28614008941877794,0.07,28663.0,0.56
2000.0,1.2383008,0.1628,0.3462,0.0998,0.0469,1.33,0.006,0.371,0.2789473684210526,0.07,28693.0,0.536
2000.0,1.3947648,0.1831,0.3791,0.0961,0.0464,1.316,0.006,0.357,0.2712765957446808,0.07,28724.0,0.5119
2000.0,1.5512288,0.2035,0.4094,0.0922,0.0458,1.299,0.006,0.343,0.2640492686682063,0.07,28756.0,0.4875
2000.0,1.7076928,0.2238,0.4371,0.0883,0.0452,1.281,0.006,0.328,0.25604996096799376,0.07,28790.0,0.4629
2000.0,1.8596864,0.2442,0.4621,0.0841,0.0445,1.26,0.006,0.313,0.24841269841269842,0.07,28824.0,0.438
2000.0,2.0161504,0.2645,0.4841,0.0799,0.0437,1.237,0.006,0.297,0.24009700889248178,0.07,28860.0,0.4127
2000.0,2.1726144,0.2849,0.503,0.0755,0.0428,1.212,0.006,0.281,0.23184818481848188,0.07,28898.0,0.3871
2000.0,2.324608,0.3052,0.5186,0.071,0.0418,1.185,0.006,0.264,0.22278481012658227,0.07,28936.0,0.3612
2000.0,2.4810719999999997,0.3256,0.5305,0.0664,0.0408,1.155,0.006,0.247,0.21385281385281385,0.07,28976.0,0.335
2000.0,2.6375360000000003,0.3459,0.5385,0.0617,0.0396,1.124,0.005,0.23,0.20462633451957293,0.07,29017.0,0.3085
2000.0,2.7895296,0.3663,0.5422,0.0569,0.0384,1.09,0.005,0.212,0.19449541284403668,0.07,29060.0,0.2817
2000.0,2.9459936,0.3866,0.541,0.052,0.0372,1.054,0.005,0.193,0.18311195445920303,0.07,29104.0,0.2546
2000.0,3.1024576,0.407,0.5343,0.047,0.0358,1.015,0.005,0.175,0.1724137931034483,0.07,29149.0,0.2271
2000.0,3.2544512,0.4273,0.5214,0.0419,0.0344,0.975,0.005,0.156,0.16,0.07,29196.0,0.1994
2000.0,3.4109152,0.4477,0.5013,0.0368,0.0329,0.932,0.004,0.137,0.14699570815450644,0.07,29244.0,0.1714
2000.0,3.5673792,0.468,0.4729,0.0316,0.0313,0.887,0.004,0.118,0.133032694475761,0.07,29294.0,0.1433
2000.0,3.7193728,0.4884,0.4347,0.0264,0.0296,0.839,0.004,0.098,0.11680572109654351,0.07,29345.0,0.1153
2000.0,3.8758368,0.5087,0.3848,0.0211,0.0279,0.79,0.004,0.078,0.09873417721518987,0.07,29398.0,0.0876
2000.0,4.0323008,0.5291,0.321,0.0158,0.0261,0.739,0.004,0.059,0.07983761840324763,0.07,29452.0,0.0609
2000.0,4.1887647999999995,0.5494,0.2402,0.0106,0.0242,0.687,0.003,0.039,0.05676855895196506,0.07,29507.0,0.0359
2000.0,4.3407584,0.5698,0.1381,0.0054,0.0223,0.633,0.003,0.02,0.0315955766192733,0.07,29564.0,0.0142
2000.0,4.4972224,0.5901,0.0078,0.0003,0.0204,0.578,0.003,0.001,0.001730103806228374,0.07,29620.0,0.0002
3000.0,0.0,0.0,0.0,0.1249,0.0481,4.601,0.015,1.045,0.22712453814388175,0.11,42731.0,0.7319
3000.0,0.2369312,0.0207,0.0527,0.1221,0.0481,4.599,0.015,1.022,0.2222222222222222,0.11,42764.0,0.7084
3000.0,0.4738624,0.0415,0.1031,0.1193,0.048,4.592,0.015,0.998,0.21733449477351918,0.11,42799.0,0.6847
3000.0,0.7107936,0.0622,0.1512,0.1163,0.0479,4.579,0.015,0.973,0.21249181043896048,0.11,42836.0,0.661
3000.0,0.9477248,0.083,0.197,0.1132,0.0477,4.561,0.015,0.947,0.2076299057224293,0.11,42875.0,0.6371
3000.0,1.184656,0.1037,0.2404,0.1099,0.0474,4.538,0.014,0.92,0.20273248126928162,0.11,42915.0,0.613
3000.0,1.4215872,0.1245,0.2815,0.1065,0.0471,4.507,0.014,0.892,0.19791435544708233,0.11,42957.0,0.5888
3000.0,1.6585184,0.1452,0.3201,0.103,0.0467,4.471,0.014,0.862,0.1927980317602326,0.11,43001.0,0.5645
3000.0,1.8954496,0.166,0.3563,0.0993,0.0463,4.427,0.014,0.832,0.1879376552970409,0.11,43047.0,0.5399
3000.0,2.1323808,0.1867,0.39,0.0955,0.0457,4.376,0.014,0.8,0.18281535648994515,0.11,43094.0,0.5151
3000.0,2.369312,0.2075,0.4211,0.0916,0.0451,4.317,0.014,0.767,0.17766967801714154,0.11,43144.0,0.4901
3000.0,2.6107136,0.2282,0.4495,0.0875,0.0444,4.251,0.014,0.732,0.17219477769936484,0.11,43195.0,0.4649
3000.0,2.8476448,0.249,0.475,0.0833,0.0437,4.177,0.013,0.697,0.16686617189370362,0.11,43249.0,0.4393
3000.0,3.084576,0.2697,0.4974,0.0789,0.0428,4.094,0.013,0.661,0.16145578895945287,0.11,43304.0,0.4134
3000.0,3.3215071999999997,0.2905,0.5167,0.0744,0.0418,4.003,0.013,0.623,0.1556332750437172,0.11,43362.0,0.3872
3000.0,3.5584384,0.3112,0.5324,0.0698,0.0408,3.904,0.012,0.584,0.14959016393442623,0.11,43422.0,0.3607
3000.0,3.7953696,0.332,0.5444,0.0651,0.0397,3.797,0.012,0.545,0.1435343692388728,0.11,43483.0,0.3338
3000.0,4.0323008,0.3527,0.5522,0.0603,0.0385,3.682,0.012,0.504,0.13688212927756654,0.11,43547.0,0.3066
3000.0,4.269232000000001,0.3734,0.5554,0.0553,0.0372,3.559,0.011,0.463,0.13009272267490868,0.11,43613.0,0.2791
3000.0,4.5061632,0.3942,0.5534,0.0503,0.0358,3.428,0.011,0.421,0.12281213535589265,0.11,43681.0,0.2512
3000.0,4.7430943999999995,0.4149,0.5455,0.0452,0.0344,3.288,0.01,0.378,0.11496350364963505,0.11,43751.0,0.223
3000.0,4.9800256,0.4357,0.5308,0.04,0.0328,3.14,0.01,0.335,0.10668789808917198,0.11,43824.0,0.1944
3000.0,5.2169568,0.4564,0.5081,0.0347,0.0312,2.984,0.009,0.291,0.0975201072386059,0.11,43898.0,0.1655
3000.0,5.453887999999999,0.4772,0.476,0.0294,0.0295,2.82,0.009,0.246,0.08723404255319149,0.11,43975.0,0.1365
3000.0,5.6908192,0.4979,0.4325,0.0241,0.0277,2.649,0.008,0.201,0.07587768969422425,0.11,44055.0,0.1075
3000.0,5.9277504,0.5187,0.3753,0.0187,0.0258,2.471,0.008,0.156,0.0631323350870093,0.11,44136.0,0.0789
3000.0,6.1646816,0.5394,0.3012,0.0133,0.0239,2.287,0.007,0.112,0.04897245299519021,0.11,44220.0,0.0515
3000.0,6.4016128,0.5602,0.2057,0.008,0.0219,2.097,0.007,0.067,0.03195040534096329,0.11,44306.0,0.0263
3000.0,6.638544,0.5809,0.0819,0.0028,0.0199,1.903,0.006,0.023,0.01208617971623752,0.11,44393.0,0.006
4000.0,0.0,0.0,0.0,0.125,0.0478,10.835,0.026,1.86,0.17166589755422243,0.14,56974.0,0.7383
4000.0,0.312928,0.0204,0.0523,0.1223,0.0478,10.83,0.026,1.82,0.1680517082179132,0.14,57018.0,0.7149
4000.0,0.6213856,0.0409,0.1024,0.1195,0.0477,10.813,0.026,1.779,0.1645241838527698,0.14,57064.0,0.6915
4000.0,0.9343136,0.0613,0.1502,0.1166,0.0476,10.784,0.026,1.735,0.16088649851632048,0.14,57112.0,0.6679
4000.0,1.2472416,0.0817,0.1958,0.1135,0.0474,10.742,0.026,1.689,0.1572332898901508,0.14,57162.0,0.6442
4000.0,1.5556992,0.1021,0.2391,0.1103,0.0471,10.687,0.026,1.642,0.15364461495274634,0.14,57215.0,0.6204
4000.0,1.8686272,0.1226,0.2801,0.107,0.0468,10.617,0.025,1.592,0.14994819628897052,0.14,57270.0,0.5965
4000.0,2.1770848,0.143,0.3188,0.1035,0.0464,10.532,0.025,1.541,0.1463159893657425,0.14,57327.0,0.5724
4000.0,2.4900128,0.1634,0.3552,0.1,0.046,10.43,0.025,1.487,0.14256951102588689,0.14,57387.0,0.5482
4000.0,2.8029407999999996,0.1839,0.3891,0.0962,0.0455,10.311,0.025,1.432,0.13888080690524682,0.14,57450.0,0.5238
4000.0,3.1113984,0.2043,0.4205,0.0924,0.0449,10.175,0.024,1.374,0.13503685503685503,0.14,57514.0,0.4991
4000.0,3.4243264,0.2247,0.4493,0.0884,0.0442,10.02,0.024,1.315,0.1312375249500998,0.14,57582.0,0.4742
4000.0,3.7372544,0.2451,0.4754,0.0842,0.0434,9.847,0.024,1.253,0.12724687722148878,0.14,57652.0,0.4491
4000.0,4.045712,0.2656,0.4987,0.0799,0.0426,9.654,0.023,1.19,0.12326496788895794,0.14,57724.0,0.4236
4000.0,4.35864,0.286,0.5188,0.0755,0.0416,9.442,0.023,1.124,0.1190425757254819,0.14,57799.0,0.3978
4000.0,4.671568,0.3064,0.5358,0.071,0.0406,9.211,0.022,1.057,0.11475409836065573,0.14,57877.0,0.3718
4000.0,4.9800256,0.3268,0.5491,0.0664,0.0395,8.961,0.021,0.988,0.11025555183573262,0.14,57957.0,0.3454
4000.0,5.2929536,0.3473,0.5586,0.0617,0.0383,8.692,0.021,0.917,0.10549930971007823,0.14,58040.0,0.3187
4000.0,5.605881599999999,0.3677,0.5638,0.0568,0.0371,8.404,0.02,0.846,0.10066634935744884,0.14,58126.0,0.2917
