rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.0568,0.0243,0.086,0.001,0.053,0.6162790697674418,0.04,9285.0,0.4454
1000.0,0.0625856,0.016,0.0369,0.0562,0.0243,0.086,0.001,0.052,0.6046511627906977,0.04,9288.0,0.4362
1000.0,0.12070080000000001,0.032,0.0727,0.0554,0.0244,0.087,0.001,0.052,0.5977011494252874,0.04,9291.0,0.4266
1000.0,0.1832864,0.048,0.1073,0.0546,0.0245,0.087,0.001,0.051,0.5862068965517241,0.04,9295.0,0.4166
1000.0,0.245872,0.064,0.1406,0.0538,0.0245,0.087,0.001,0.05,0.574712643678161,0.04,9299.0,0.4062
1000.0,0.3039872,0.08,0.1726,0.0528,0.0245,0.087,0.001,0.049,0.5632183908045978,0.04,9303.0,0.3955
1000.0,0.3665728,0.096,0.2032,0.0518,0.0245,0.087,0.001,0.048,0.5517241379310346,0.04,9307.0,0.3843
1000.0,0.42468799999999995,0.112,0.2324,0.0507,0.0244,0.087,0.001,0.047,0.5402298850574713,0.04,9312.0,0.3727
1000.0,0.48727360000000003,0.128,0.2602,0.0495,0.0244,0.086,0.001,0.046,0.5348837209302326,0.04,9317.0,0.3608
1000.0,0.5498592,0.144,0.2865,0.0482,0.0242,0.086,0.001,0.045,0.5232558139534884,0.04,9322.0,0.3484
1000.0,0.6079744,0.1601,0.3112,0.0468,0.0241,0.085,0.001,0.044,0.5176470588235293,0.04,9328.0,0.3356
1000.0,0.67056,0.1761,0.3343,0.0453,0.0238,0.085,0.001,0.042,0.49411764705882355,0.04,9334.0,0.3224
1000.0,0.7331456,0.1921,0.3557,0.0437,0.0236,0.084,0.001,0.041,0.4880952380952381,0.04,9340.0,0.3088
1000.0,0.7912608,0.2081,0.3753,0.0419,0.0232,0.082,0.001,0.039,0.47560975609756095,0.04,9347.0,0.2946
1000.0,0.8538464,0.2241,0.3929,0.04,0.0228,0.081,0.001,0.037,0.4567901234567901,0.04,9354.0,0.2799
1000.0,0.9164319999999999,0.2401,0.4084,0.038,0.0223,0.079,0.001,0.035,0.44303797468354433,0.04,9361.0,0.2646
1000.0,0.9745472000000001,0.2561,0.4216,0.0359,0.0218,0.077,0.001,0.033,0.4285714285714286,0.04,9368.0,0.2488
