rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1146,0.0546,0.193,0.002,0.107,0.5544041450777202,0.04,10398.0,0.5668
1000.0,0.0804672,0.0217,0.0447,0.1127,0.0547,0.194,0.002,0.105,0.5412371134020618,0.04,10405.0,0.5514
1000.0,0.1654048,0.0434,0.0876,0.1106,0.0548,0.194,0.002,0.103,0.5309278350515464,0.04,10413.0,0.5356
1000.0,0.245872,0.0651,0.1288,0.1084,0.0548,0.194,0.002,0.101,0.520618556701031,0.04,10421.0,0.5196
1000.0,0.3308096,0.0868,0.1682,0.106,0.0547,0.194,0.002,0.099,0.5103092783505154,0.04,10430.0,0.5033
1000.0,0.4112768,0.1085,0.2057,0.1035,0.0546,0.193,0.002,0.096,0.49740932642487046,0.04,10439.0,0.4867
1000.0,0.49621440000000006,0.1302,0.2415,0.1008,0.0543,0.193,0.002,0.094,0.48704663212435234,0.04,10449.0,0.4697
1000.0,0.5766816,0.1519,0.2753,0.0979,0.054,0.191,0.002,0.091,0.47643979057591623,0.04,10460.0,0.4525
1000.0,0.6616192,0.1736,0.307,0.0949,0.0536,0.19,0.002,0.088,0.46315789473684205,0.04,10471.0,0.4347
1000.0,0.7420863999999999,0.1953,0.3368,0.0917,0.0532,0.188,0.002,0.085,0.4521276595744681,0.04,10483.0,0.4166
1000.0,0.827024,0.217,0.3643,0.0883,0.0526,0.186,0.002,0.082,0.44086021505376344,0.04,10495.0,0.3981
1000.0,0.9074911999999999,0.2387,0.3893,0.0848,0.052,0.184,0.002,0.079,0.42934782608695654,0.04,10508.0,0.3789
1000.0,0.9924288000000001,0.2604,0.4119,0.081,0.0512,0.182,0.002,0.075,0.41208791208791207,0.04,10521.0,0.3593
1000.0,1.0728959999999998,0.2821,0.4316,0.0771,0.0504,0.179,0.002,0.072,0.40223463687150834,0.04,10535.0,0.3391
1000.0,1.1578336,0.3038,0.4484,0.0731,0.0495,0.176,0.002,0.068,0.3863636363636364,0.04,10550.0,0.3184
1000.0,1.2383008,0.3255,0.4618,0.0689,0.0486,0.172,0.002,0.064,0.372093023255814,0.04,10565.0,0.2973
1000.0,1.3232384,0.3472,0.4717,0.0646,0.0476,0.169,0.002,0.06,0.35502958579881655,0.04,10580.0,0.2756
1000.0,1.4037056,0.3689,0.4776,0.0602,0.0465,0.165,0.002,0.056,0.33939393939393936,0.04,10597.0,0.2535
1000.0,1.4886432,0.3906,0.4792,0.0557,0.0454,0.161,0.002,0.052,0.32298136645962733,0.04,10614.0,0.231
1000.0,1.5691103999999998,0.4123,0.4759,0.051,0.0442,0.157,0.001,0.047,0.29936305732484075,0.04,10631.0,0.208
1000.0,1.654048,0.434,0.4673,0.0462,0.0429,0.152,0.001,0.043,0.28289473684210525,0.04,10649.0,0.1847
1000.0,1.7345152,0.4557,0.4526,0.0413,0.0416,0.147,0.001,0.038,0.2585034013605442,0.04,10668.0,0.1611
1000.0,1.8194528,0.4774,0.4312,0.0364,0.0403,0.143,0.001,0.034,0.2377622377622378,0.04,10688.0,0.1375
1000.0,1.89992,0.4991,0.4023,0.0313,0.0389,0.138,0.001,0.029,0.21014492753623187,0.04,10708.0,0.1138
1000.0,1.9848576000000002,0.5208,0.3648,0.0262,0.0374,0.133,0.001,0.024,0.18045112781954886,0.04,10728.0,0.0905
1000.0,2.0653248,0.5425,0.3176,0.021,0.0359,0.127,0.001,0.02,0.15748031496062992,0.04,10749.0,0.0677
1000.0,2.1502624,0.5642,0.2595,0.0158,0.0344,0.122,0.001,0.015,0.12295081967213115,0.04,10771.0,0.0461
1000.0,2.2307296,0.5859,0.189,0.0106,0.0328,0.116,0.001,0.01,0.08620689655172413,0.04,10794.0,0.0265
1000.0,2.3156672,0.6075,0.1043,0.0053,0.0311,0.11,0.001,0.005,0.045454545454545456,0.04,10817.0,0.01
1000.0,2.3961344,0.6292,0.0032,0.0001,0.0295,0.104,0.001,0.0,0.0,0.04,10840.0,0.0
2000.0,0.0,0.0,0.0,0.1149,0.0498,1.411,0.007,0.428,0.30333097094259387,0.07,20795.0,0.6246
