rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1693,0.1217,0.431,0.004,0.157,0.3642691415313225,0.04,8606.0,0.4569
1000.0,0.1072896,0.0282,0.0385,0.1667,0.1221,0.433,0.004,0.155,0.3579676674364896,0.04,8615.0,0.4448
1000.0,0.2145792,0.0564,0.0755,0.1639,0.1224,0.434,0.004,0.152,0.35023041474654376,0.04,8625.0,0.4325
1000.0,0.3218688,0.0846,0.1109,0.1609,0.1227,0.435,0.004,0.15,0.3448275862068965,0.04,8635.0,0.4198
1000.0,0.4291584,0.1128,0.1448,0.1577,0.1228,0.435,0.004,0.147,0.33793103448275863,0.04,8647.0,0.4068
1000.0,0.5364479999999999,0.141,0.1771,0.1542,0.1228,0.435,0.004,0.143,0.328735632183908,0.04,8659.0,0.3935
1000.0,0.6437376,0.1692,0.2076,0.1505,0.1226,0.435,0.004,0.14,0.32183908045977017,0.04,8672.0,0.3799
1000.0,0.7510272,0.1974,0.2365,0.1466,0.1223,0.433,0.004,0.136,0.3140877598152425,0.04,8685.0,0.366
1000.0,0.8583168,0.2256,0.2635,0.1423,0.1218,0.432,0.004,0.132,0.3055555555555556,0.04,8700.0,0.3517
1000.0,0.9656064000000001,0.2537,0.2888,0.1379,0.1212,0.429,0.004,0.128,0.29836829836829837,0.04,8715.0,0.3371
1000.0,1.0728959999999998,0.2819,0.3121,0.1331,0.1203,0.426,0.004,0.124,0.29107981220657275,0.04,8731.0,0.3222
1000.0,1.1801856,0.3101,0.3334,0.1281,0.1191,0.422,0.004,0.119,0.2819905213270142,0.04,8748.0,0.3069
1000.0,1.2874752,0.3383,0.3526,0.1227,0.1178,0.417,0.004,0.114,0.2733812949640288,0.04,8766.0,0.2913
1000.0,1.3947648,0.3665,0.3696,0.1172,0.1162,0.412,0.004,0.109,0.2645631067961165,0.04,8784.0,0.2754
