rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1224,0.0753,0.267,0.003,0.114,0.42696629213483145,0.04,10342.0,0.4535
1000.0,0.11176,0.0298,0.0473,0.121,0.0762,0.27,0.003,0.113,0.4185185185185185,0.04,10352.0,0.4411
1000.0,0.2279904,0.0596,0.0925,0.1195,0.077,0.273,0.003,0.111,0.4065934065934066,0.04,10362.0,0.4284
1000.0,0.3397504,0.0894,0.1355,0.1179,0.0778,0.276,0.003,0.11,0.39855072463768115,0.04,10373.0,0.4153
1000.0,0.4559808,0.1191,0.1762,0.116,0.0785,0.278,0.003,0.108,0.3884892086330935,0.04,10385.0,0.402
1000.0,0.5677408,0.1489,0.2148,0.114,0.0791,0.28,0.003,0.106,0.3785714285714285,0.04,10398.0,0.3885
1000.0,0.6795008,0.1787,0.2511,0.1117,0.0795,0.282,0.003,0.104,0.3687943262411348,0.04,10413.0,0.3747
1000.0,0.7957312,0.2085,0.2851,0.1093,0.0799,0.283,0.003,0.102,0.36042402826855124,0.04,10428.0,0.3606
1000.0,0.9074911999999999,0.2383,0.3169,0.1065,0.0801,0.284,0.003,0.099,0.3485915492957747,0.04,10445.0,0.3463
1000.0,1.0192511999999998,0.2681,0.3465,0.1035,0.0801,0.284,0.003,0.096,0.33802816901408456,0.04,10463.0,0.3318
1000.0,1.1354816,0.2979,0.3738,0.1003,0.0799,0.283,0.003,0.093,0.3286219081272085,0.04,10483.0,0.3171
1000.0,1.2472416,0.3277,0.3988,0.0968,0.0795,0.282,0.003,0.09,0.3191489361702128,0.04,10503.0,0.3021
1000.0,1.3634719999999998,0.3574,0.4214,0.093,0.0789,0.279,0.003,0.086,0.3082437275985663,0.04,10525.0,0.2868
1000.0,1.4752319999999999,0.3872,0.4415,0.0889,0.078,0.276,0.003,0.083,0.3007246376811594,0.04,10548.0,0.2713
1000.0,1.586992,0.417,0.459,0.0846,0.0769,0.272,0.003,0.079,0.2904411764705882,0.04,10572.0,0.2554
