rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1146,0.0697,0.247,0.002,0.107,0.4331983805668016,0.04,10614.0,0.4444
1000.0,0.1072896,0.0278,0.0448,0.1131,0.0703,0.249,0.002,0.105,0.4216867469879518,0.04,10623.0,0.4321
1000.0,0.21010879999999998,0.0556,0.0875,0.1115,0.0708,0.251,0.002,0.104,0.4143426294820717,0.04,10632.0,0.4194
1000.0,0.31739839999999997,0.0834,0.1283,0.1097,0.0713,0.253,0.002,0.102,0.40316205533596833,0.04,10643.0,0.4065
1000.0,0.42468799999999995,0.1112,0.167,0.1077,0.0717,0.254,0.002,0.1,0.3937007874015748,0.04,10654.0,0.3933
1000.0,0.5275072,0.139,0.2037,0.1056,0.0721,0.255,0.002,0.098,0.3843137254901961,0.04,10667.0,0.3799
1000.0,0.6347967999999999,0.1668,0.2382,0.1033,0.0723,0.256,0.002,0.096,0.375,0.04,10680.0,0.3662
1000.0,0.7420863999999999,0.1946,0.2707,0.1007,0.0724,0.257,0.002,0.094,0.3657587548638132,0.04,10694.0,0.3522
1000.0,0.8493759999999999,0.2224,0.301,0.098,0.0724,0.257,0.002,0.091,0.35408560311284043,0.04,10710.0,0.3381
1000.0,0.9521951999999999,0.2502,0.3291,0.0951,0.0723,0.256,0.002,0.088,0.34375,0.04,10726.0,0.3236
1000.0,1.0594848000000001,0.278,0.3551,0.0919,0.072,0.255,0.002,0.085,0.33333333333333337,0.04,10744.0,0.3089
1000.0,1.1667744,0.3058,0.3787,0.0885,0.0715,0.253,0.002,0.082,0.3241106719367589,0.04,10762.0,0.294
1000.0,1.2695935999999999,0.3336,0.4,0.0849,0.0708,0.251,0.002,0.079,0.3147410358565737,0.04,10782.0,0.2787
1000.0,1.3768832,0.3614,0.4188,0.081,0.0699,0.248,0.002,0.075,0.3024193548387097,0.04,10803.0,0.2632
1000.0,1.4841727999999998,0.3892,0.4351,0.077,0.0689,0.244,0.002,0.072,0.29508196721311475,0.04,10824.0,0.2474
1000.0,1.586992,0.417,0.4485,0.0727,0.0676,0.24,0.002,0.068,0.2833333333333334,0.04,10847.0,0.2314
1000.0,1.6942816,0.4448,0.4589,0.0683,0.0662,0.234,0.002,0.063,0.2692307692307692,0.04,10872.0,0.2151
1000.0,1.8015712000000002,0.4726,0.4661,0.0637,0.0645,0.229,0.002,0.059,0.2576419213973799,0.04,10897.0,0.1986
1000.0,1.9043903999999998,0.5004,0.4698,0.0589,0.0628,0.222,0.002,0.055,0.24774774774774774,0.04,10923.0,0.1818
1000.0,2.01168,0.5282,0.4694,0.0541,0.0608,0.216,0.002,0.05,0.2314814814814815,0.04,10951.0,0.1648
1000.0,2.1189696000000002,0.556,0.4646,0.0491,0.0587,0.208,0.002,0.046,0.22115384615384617,0.04,10979.0,0.1477
1000.0,2.2262592000000003,0.5838,0.4547,0.044,0.0565,0.2,0.002,0.041,0.205,0.04,11009.0,0.1303
1000.0,2.3290783999999998,0.6116,0.4389,0.0388,0.054,0.192,0.002,0.036,0.18749999999999997,0.04,11040.0,0.1128
1000.0,2.436368,0.6394,0.4162,0.0335,0.0515,0.182,0.002,0.031,0.17032967032967034,0.04,11072.0,0.0951
1000.0,2.5436576,0.6672,0.3853,0.0282,0.0488,0.173,0.002,0.026,0.15028901734104047,0.04,11105.0,0.0773
1000.0,2.6464768,0.695,0.3444,0.0228,0.0459,0.163,0.002,0.021,0.12883435582822086,0.04,11139.0,0.0596
1000.0,2.7537664,0.7228,0.2913,0.0173,0.0429,0.152,0.001,0.016,0.10526315789473685,0.04,11174.0,0.0423
1000.0,2.861056,0.7506,0.2227,0.0118,0.0398,0.141,0.001,0.011,0.07801418439716312,0.04,11210.0,0.0257
1000.0,2.9638752,0.7784,0.1342,0.0063,0.0365,0.129,0.001,0.006,0.046511627906976744,0.04,11248.0,0.0109
1000.0,3.0711648,0.8062,0.0194,0.0008,0.0331,0.117,0.001,0.001,0.008547008547008546,0.04,11286.0,0.0005
2000.0,0.0,0.0,0.0,0.1154,0.0592,1.678,0.008,0.429,0.2556615017878427,0.07,21228.0,0.528
2000.0,0.21904959999999998,0.029,0.055,0.1138,0.0599,1.699,0.008,0.423,0.24896998234255444,0.07,21246.0,0.5113
2000.0,0.4425696,0.0579,0.1072,0.1122,0.0606,1.718,0.008,0.417,0.24272409778812573,0.07,21266.0,0.4943
2000.0,0.6616192,0.0869,0.1565,0.1103,0.0613,1.736,0.008,0.41,0.23617511520737325,0.07,21288.0,0.4771
2000.0,0.8851392,0.1159,0.2029,0.1083,0.0618,1.752,0.008,0.403,0.23002283105022833,0.07,21312.0,0.4598
2000.0,1.1041888,0.1448,0.2466,0.106,0.0623,1.766,0.008,0.394,0.2231030577576444,0.07,21338.0,0.4423
2000.0,1.3232384,0.1738,0.2874,0.1036,0.0627,1.776,0.008,0.385,0.21677927927927929,0.07,21367.0,0.4246
2000.0,1.5467583999999999,0.2028,0.3254,0.1009,0.0629,1.783,0.009,0.376,0.21088053841839596,0.07,21397.0,0.4068
2000.0,1.765808,0.2317,0.3607,0.0981,0.063,1.786,0.009,0.365,0.2043673012318029,0.07,21430.0,0.3889
2000.0,1.9848576000000002,0.2607,0.3933,0.0949,0.0629,1.784,0.009,0.353,0.19786995515695066,0.07,21465.0,0.3709
2000.0,2.2083776,0.2897,0.4232,0.0916,0.0627,1.776,0.008,0.341,0.19200450450450451,0.07,21502.0,0.3527
2000.0,2.4274272,0.3187,0.4504,0.0879,0.0622,1.763,0.008,0.327,0.18547929665343166,0.07,21542.0,0.3344
2000.0,2.6509471999999996,0.3476,0.4748,0.0841,0.0615,1.744,0.008,0.313,0.17947247706422018,0.07,21584.0,0.316
2000.0,2.8699968,0.3766,0.4964,0.0799,0.0606,1.719,0.008,0.297,0.17277486910994763,0.07,21629.0,0.2973
2000.0,3.0890464,0.4056,0.515,0.0756,0.0595,1.688,0.008,0.281,0.16646919431279622,0.07,21676.0,0.2786
2000.0,3.3125664,0.4345,0.5305,0.0711,0.0582,1.65,0.008,0.264,0.16,0.07,21725.0,0.2596
2000.0,3.531616,0.4635,0.5427,0.0663,0.0567,1.606,0.008,0.247,0.15379825653798254,0.07,21777.0,0.2406
2000.0,3.7506656,0.4925,0.5512,0.0615,0.0549,1.557,0.007,0.229,0.14707771355170202,0.07,21831.0,0.2214
2000.0,3.9741856,0.5214,0.5558,0.0565,0.053,1.501,0.007,0.21,0.13990672884743505,0.07,21888.0,0.2021
2000.0,4.1932352,0.5504,0.5558,0.0513,0.0508,1.44,0.007,0.191,0.1326388888888889,0.07,21947.0,0.1825
2000.0,4.4167552,0.5794,0.5507,0.0461,0.0485,1.374,0.007,0.171,0.12445414847161572,0.07,22008.0,0.1628
2000.0,4.6358048,0.6083,0.5393,0.0407,0.0459,1.302,0.006,0.151,0.11597542242703532,0.07,22072.0,0.1427
2000.0,4.8548544,0.6373,0.5206,0.0353,0.0432,1.224,0.006,0.131,0.10702614379084968,0.07,22138.0,0.1224
2000.0,5.0783743999999995,0.6663,0.4926,0.0298,0.0403,1.141,0.005,0.111,0.09728308501314636,0.07,22207.0,0.1018
2000.0,5.2974239999999995,0.6952,0.4528,0.0242,0.0371,1.053,0.005,0.09,0.08547008547008547,0.07,22278.0,0.0808
2000.0,5.516473599999999,0.7242,0.3973,0.0186,0.0338,0.959,0.005,0.069,0.07194994786235663,0.07,22352.0,0.0597
2000.0,5.7399936,0.7532,0.3205,0.0129,0.0304,0.861,0.004,0.048,0.05574912891986063,0.07,22428.0,0.0386
2000.0,5.9590432,0.7821,0.2129,0.0073,0.0268,0.758,0.004,0.027,0.03562005277044855,0.07,22506.0,0.0185
2000.0,6.1825632,0.8111,0.0583,0.0017,0.023,0.651,0.003,0.006,0.009216589861751152,0.07,22586.0,0.0023
3000.0,0.0,0.0,0.0,0.1157,0.0549,5.249,0.017,0.969,0.18460659173175845,0.11,31842.0,0.5726
3000.0,0.3263392,0.0284,0.0583,0.1143,0.0556,5.322,0.017,0.956,0.17963171739947387,0.11,31869.0,0.554
3000.0,0.648208,0.0568,0.1134,0.1126,0.0564,5.391,0.017,0.943,0.1749211649044704,0.11,31898.0,0.5352
3000.0,0.9745472000000001,0.0851,0.1655,0.1108,0.057,5.456,0.017,0.928,0.17008797653958943,0.11,31930.0,0.5163
3000.0,1.296416,0.1135,0.2144,0.1089,0.0576,5.515,0.018,0.911,0.16518585675430644,0.11,31965.0,0.4973
3000.0,1.6227551999999998,0.1419,0.2603,0.1067,0.0582,5.565,0.018,0.893,0.1604672057502246,0.11,32003.0,0.4782
3000.0,1.944624,0.1703,0.3033,0.1044,0.0586,5.606,0.018,0.874,0.15590438815554764,0.11,32044.0,0.4591
3000.0,2.2709632,0.1987,0.3433,0.1018,0.0589,5.636,0.018,0.852,0.15117104329311568,0.11,32089.0,0.4399
3000.0,2.5973024,0.2271,0.3805,0.099,0.0591,5.653,0.018,0.829,0.14664779762957722,0.11,32136.0,0.4208
3000.0,2.9191712,0.2554,0.4149,0.096,0.0591,5.655,0.018,0.804,0.14217506631299734,0.11,32187.0,0.4016
3000.0,3.2455103999999997,0.2838,0.4466,0.0928,0.059,5.64,0.018,0.776,0.1375886524822695,0.11,32242.0,0.3824
3000.0,3.5673792,0.3122,0.4755,0.0893,0.0586,5.607,0.018,0.747,0.1332263242375602,0.11,32299.0,0.3631
3000.0,3.8937184000000005,0.3406,0.5018,0.0855,0.0581,5.554,0.018,0.716,0.12891609650702196,0.11,32361.0,0.3438
3000.0,4.2155872,0.369,0.5253,0.0816,0.0573,5.481,0.017,0.683,0.12461229702609014,0.11,32425.0,0.3244
3000.0,4.5419264,0.3973,0.546,0.0774,0.0563,5.386,0.017,0.648,0.12031191979205347,0.11,32493.0,0.305
3000.0,4.8637952,0.4257,0.5639,0.073,0.0551,5.271,0.017,0.611,0.11591728324796054,0.11,32565.0,0.2855
3000.0,5.1901344,0.4541,0.5788,0.0684,0.0537,5.136,0.016,0.573,0.11156542056074766,0.11,32640.0,0.266
3000.0,5.516473599999999,0.4825,0.5904,0.0637,0.0521,4.981,0.016,0.533,0.10700662517566754,0.11,32718.0,0.2464
3000.0,5.8383424,0.5109,0.5984,0.0588,0.0502,4.806,0.015,0.493,0.10258010819808572,0.11,32800.0,0.2267
3000.0,6.1646816,0.5392,0.6026,0.0539,0.0482,4.612,0.015,0.451,0.09778837814397225,0.11,32885.0,0.2069
3000.0,6.4865504,0.5676,0.6022,0.0488,0.046,4.398,0.014,0.408,0.0927694406548431,0.11,32974.0,0.1869
3000.0,6.8128896,0.596,0.5966,0.0436,0.0435,4.165,0.013,0.365,0.08763505402160864,0.11,33067.0,0.1667
3000.0,7.1347584,0.6244,0.5846,0.0383,0.0409,3.914,0.012,0.321,0.08201328564128768,0.11,33163.0,0.1462
3000.0,7.4610976,0.6528,0.5648,0.033,0.0381,3.644,0.012,0.276,0.07574094401756312,0.11,33262.0,0.1253
3000.0,7.787436800000001,0.6812,0.5349,0.0275,0.0351,3.355,0.011,0.23,0.06855439642324888,0.11,33365.0,0.104
3000.0,8.1093056,0.7095,0.4917,0.0221,0.0319,3.048,0.01,0.185,0.06069553805774278,0.11,33471.0,0.0822
3000.0,8.4356448,0.7379,0.4298,0.0166,0.0285,2.724,0.009,0.139,0.05102790014684288,0.11,33581.0,0.0599
3000.0,8.7575136,0.7663,0.3409,0.0111,0.0249,2.384,0.008,0.093,0.03901006711409396,0.11,33694.0,0.0374
