rpm,speed_mps,advance_ratio,efficiency,thrust_coeff,power_coeff,power_w,torque_nm,thrust_n,thrust_per_power_n_w,mach,reynolds,figure_of_merit
1000.0,0.0,0.0,0.0,0.1416,0.0833,0.295,0.003,0.132,0.4474576271186441,0.04,10663.0,0.5104
1000.0,0.1296416,0.0336,0.0558,0.1404,0.0845,0.299,0.003,0.131,0.4381270903010034,0.04,10675.0,0.4971
1000.0,0.25481279999999995,0.0671,0.109,0.1391,0.0856,0.303,0.003,0.129,0.4257425742574258,0.04,10687.0,0.4833
1000.0,0.3844544,0.1007,0.1596,0.1376,0.0868,0.307,0.003,0.128,0.4169381107491857,0.04,10701.0,0.4692
1000.0,0.5096255999999999,0.1342,0.2075,0.1359,0.0879,0.311,0.003,0.126,0.40514469453376206,0.04,10717.0,0.4548
1000.0,0.6392671999999999,0.1678,0.2528,0.134,0.0889,0.315,0.003,0.125,0.3968253968253968,0.04,10733.0,0.4402
1000.0,0.7689088,0.2013,0.2955,0.1319,0.0898,0.318,0.003,0.123,0.38679245283018865,0.04,10752.0,0.4253
1000.0,0.89408,0.2349,0.3355,0.1295,0.0906,0.321,0.003,0.12,0.37383177570093457,0.04,10772.0,0.4102
1000.0,1.0237216,0.2684,0.373,0.1269,0.0913,0.323,0.003,0.118,0.36532507739938075,0.04,10793.0,0.395
1000.0,1.1488927999999998,0.302,0.408,0.1239,0.0917,0.325,0.003,0.115,0.35384615384615387,0.04,10817.0,0.3795
1000.0,1.2785343999999998,0.3355,0.4406,0.1206,0.0919,0.326,0.003,0.112,0.34355828220858897,0.04,10842.0,0.3639
1000.0,1.4081759999999999,0.3691,0.4707,0.117,0.0918,0.325,0.003,0.109,0.3353846153846154,0.04,10869.0,0.3482
1000.0,1.5333472000000001,0.4026,0.4985,0.1131,0.0913,0.324,0.003,0.105,0.32407407407407407,0.04,10897.0,0.3322
1000.0,1.6629888000000002,0.4362,0.5239,0.1087,0.0905,0.321,0.003,0.101,0.31464174454828664,0.04,10928.0,0.3159
1000.0,1.78816,0.4697,0.5467,0.104,0.0893,0.316,0.003,0.097,0.3069620253164557,0.04,10960.0,0.2994
1000.0,1.9178016,0.5033,0.567,0.0988,0.0877,0.311,0.003,0.092,0.2958199356913183,0.04,10994.0,0.2826
1000.0,2.0474432,0.5368,0.5844,0.0933,0.0857,0.304,0.003,0.087,0.28618421052631576,0.04,11029.0,0.2654
1000.0,2.1726144,0.5704,0.5986,0.0875,0.0833,0.295,0.003,0.081,0.2745762711864407,0.04,11066.0,0.2477
1000.0,2.3022560000000003,0.6039,0.6092,0.0812,0.0805,0.285,0.003,0.076,0.26666666666666666,0.04,11105.0,0.2294
1000.0,2.4274272,0.6375,0.6155,0.0746,0.0773,0.274,0.003,0.069,0.2518248175182482,0.04,11146.0,0.2105
1000.0,2.5570687999999997,0.671,0.6167,0.0678,0.0738,0.261,0.002,0.063,0.24137931034482757,0.04,11188.0,0.1909
1000.0,2.68224,0.7046,0.6118,0.0607,0.07,0.248,0.002,0.056,0.22580645161290322,0.04,11232.0,0.1708
1000.0,2.8118816,0.7381,0.5995,0.0535,0.0659,0.233,0.002,0.05,0.2145922746781116,0.04,11278.0,0.1499
1000.0,2.9415232,0.7717,0.578,0.0461,0.0615,0.218,0.002,0.043,0.19724770642201833,0.04,11325.0,0.1283
1000.0,3.0666944000000003,0.8052,0.5449,0.0386,0.057,0.202,0.002,0.036,0.17821782178217818,0.04,11374.0,0.106
1000.0,3.196336,0.8388,0.4969,0.0309,0.0522,0.185,0.002,0.029,0.15675675675675677,0.04,11424.0,0.0831
1000.0,3.3215071999999997,0.8723,0.4292,0.0233,0.0473,0.168,0.002,0.022,0.13095238095238093,0.04,11476.0,0.0599
1000.0,3.4511488,0.9059,0.3347,0.0156,0.0422,0.15,0.001,0.015,0.1,0.04,11529.0,0.0368
1000.0,3.5807903999999997,0.9394,0.2021,0.008,0.037,0.131,0.001,0.007,0.05343511450381679,0.04,11584.0,0.0153
1000.0,3.7059615999999997,0.973,0.0132,0.0004,0.0318,0.113,0.001,0.0,0.0,0.04,11641.0,0.0002
2000.0,0.0,0.0,0.0,0.1422,0.076,2.154,0.01,0.529,0.24558960074280412,0.07,21327.0,0.5633
2000.0,0.2592832,0.0339,0.0618,0.141,0.0772,2.189,0.01,0.525,0.23983554134307902,0.07,21350.0,0.5473
2000.0,0.514096,0.0677,0.1205,0.1397,0.0785,2.225,0.011,0.52,0.23370786516853934,0.07,21375.0,0.5309
2000.0,0.7733791999999999,0.1016,0.176,0.1382,0.0797,2.26,0.011,0.514,0.2274336283185841,0.07,21403.0,0.5142
2000.0,1.0326624,0.1354,0.2284,0.1365,0.081,2.295,0.011,0.508,0.22135076252723312,0.07,21434.0,0.4972
2000.0,1.2919456,0.1693,0.2775,0.1346,0.0821,2.328,0.011,0.501,0.21520618556701032,0.07,21468.0,0.48
2000.0,1.5467583999999999,0.2031,0.3236,0.1325,0.0832,2.358,0.011,0.493,0.20907548770144188,0.07,21505.0,0.4627
2000.0,1.8060416,0.237,0.3666,0.1301,0.0841,2.385,0.011,0.484,0.2029350104821803,0.07,21546.0,0.4453
2000.0,2.0653248,0.2708,0.4067,0.1275,0.0849,2.406,0.011,0.474,0.19700748129675807,0.07,21590.0,0.4278
2000.0,2.3201376000000002,0.3047,0.444,0.1245,0.0854,2.422,0.012,0.463,0.1911643270024773,0.07,21637.0,0.4102
2000.0,2.5794208,0.3385,0.4785,0.1212,0.0857,2.43,0.012,0.451,0.18559670781893003,0.07,21688.0,0.3926
2000.0,2.838704,0.3724,0.5105,0.1175,0.0857,2.43,0.012,0.437,0.17983539094650206,0.07,21743.0,0.3749
2000.0,3.0935167999999997,0.4063,0.5399,0.1135,0.0854,2.421,0.012,0.422,0.17430813713341595,0.07,21801.0,0.3572
2000.0,3.3528,0.4401,0.5668,0.1091,0.0847,2.4,0.011,0.406,0.1691666666666667,0.07,21863.0,0.3393
2000.0,3.6120832,0.474,0.5912,0.1042,0.0836,2.369,0.011,0.388,0.16378218657661459,0.07,21928.0,0.3213
2000.0,3.8713664,0.5078,0.613,0.099,0.082,2.325,0.011,0.368,0.1582795698924731,0.07,21997.0,0.3031
